Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,nonghyup.com,Heavy Industry and Engineering > Agriculture,=,00:06:18,9.01,17.03%
2,xsion-service.com,Heavy Industry and Engineering > Agriculture,=,00:04:18,2.81,27.98%
3,agrarheute.com,Heavy Industry and Engineering > Agriculture,1,00:01:19,1.69,61.21%
4,farmer.pl,Heavy Industry and Engineering > Agriculture,1,00:00:53,1.73,38.12%
5,agroinform.hu,Heavy Industry and Engineering > Agriculture,1,00:04:00,4.49,53.94%
6,ruralking.com,Heavy Industry and Engineering > Agriculture,1,00:02:50,3.65,45.12%
7,wur.nl,Heavy Industry and Engineering > Agriculture,=,00:05:57,5.51,34.75%
8,canalrural.com.br,Heavy Industry and Engineering > Agriculture,9,00:00:46,1.70,63.28%
9,tygodnik-rolniczy.pl,Heavy Industry and Engineering > Agriculture,=,00:01:36,1.28,55.74%
10,aurena.at,Heavy Industry and Engineering > Agriculture,6,00:08:53,14.50,35.02%
11,noticiasagricolas.com.br,Heavy Industry and Engineering > Agriculture,3,00:01:32,1.63,66.21%
12,landwirt.com,Heavy Industry and Engineering > Agriculture,1,00:07:04,8.84,35.2%
13,embrapa.br,Heavy Industry and Engineering > Agriculture,3,00:03:14,2.32,47.49%
14,takii.co.jp,Heavy Industry and Engineering > Agriculture,5,00:02:02,3.26,44.95%
15,landi.ch,Heavy Industry and Engineering > Agriculture,1,00:02:24,3.45,47.72%
16,topagrar.pl,Heavy Industry and Engineering > Agriculture,3,00:01:39,1.26,53.57%
17,wiescirolnicze.pl,Heavy Industry and Engineering > Agriculture,6,00:01:01,1.68,38.88%
18,tractordata.com,Heavy Industry and Engineering > Agriculture,3,00:02:28,3.44,47.43%
19,kramp.com,Heavy Industry and Engineering > Agriculture,1,00:10:21,9.19,23.26%
20,agroserver.ru,Heavy Industry and Engineering > Agriculture,6,00:02:50,4.10,43.56%
21,agrofoto.pl,Heavy Industry and Engineering > Agriculture,3,00:04:03,3.15,33.47%
22,cenyrolnicze.pl,Heavy Industry and Engineering > Agriculture,10,00:00:39,1.72,31.87%
23,agcocorp.com,Heavy Industry and Engineering > Agriculture,5,00:08:15,8.05,27.94%
24,thefarmingforum.co.uk,Heavy Industry and Engineering > Agriculture,5,00:05:19,6.16,45.36%
25,agrolink.com.br,Heavy Industry and Engineering > Agriculture,2,00:04:32,2.24,64.02%
26,pleinchamp.com,Heavy Industry and Engineering > Agriculture,2,00:01:06,1.91,55.21%
27,tractorbynet.com,Heavy Industry and Engineering > Agriculture,6,00:01:33,1.97,64.57%
28,traktorpool.de,Heavy Industry and Engineering > Agriculture,6,00:06:07,6.12,37.79%
29,mfrural.com.br,Heavy Industry and Engineering > Agriculture,4,00:02:43,3.14,51.02%
30,shop.takii.co.jp,Heavy Industry and Engineering > Agriculture,8,00:02:10,3.80,58.2%
31,toro.com,Heavy Industry and Engineering > Agriculture,=,00:03:08,3.96,44.07%
32,kubota.co.jp,Heavy Industry and Engineering > Agriculture,1,00:05:18,5.19,35.83%
33,naro.go.jp,Heavy Industry and Engineering > Agriculture,1,00:09:51,8.30,54.85%
34,ama.at,Heavy Industry and Engineering > Agriculture,52,00:06:45,3.46,57.67%
35,bighaat.com,Heavy Industry and Engineering > Agriculture,5,00:02:54,2.77,51.35%
36,salon-agriculture.com,Heavy Industry and Engineering > Agriculture,680,00:03:00,4.18,55.03%
37,foodmate.net,Heavy Industry and Engineering > Agriculture,1,00:03:16,4.47,41.88%
38,sakata-tsushin.com,Heavy Industry and Engineering > Agriculture,16,00:01:38,1.63,71.42%
39,provenwinners.com,Heavy Industry and Engineering > Agriculture,10,00:02:57,3.38,52.32%
40,machinio.com,Heavy Industry and Engineering > Agriculture,10,00:03:52,8.43,42.17%
41,fairpoint.net,Heavy Industry and Engineering > Agriculture,59,00:10:12,3.88,35.15%
42,agribegri.com,Heavy Industry and Engineering > Agriculture,23,00:05:02,3.37,50.73%
43,siteone.com,Heavy Industry and Engineering > Agriculture,=,00:03:16,4.07,43.11%
44,terre-net.fr,Heavy Industry and Engineering > Agriculture,1,00:01:29,2.01,60.39%
45,arboristsite.com,Heavy Industry and Engineering > Agriculture,10,00:02:06,1.90,59.75%
46,landandfarm.com,Heavy Industry and Engineering > Agriculture,7,00:05:06,5.89,45.71%
47,bigiron.com,Heavy Industry and Engineering > Agriculture,5,00:03:11,7.25,36.97%
48,fwi.co.uk,Heavy Industry and Engineering > Agriculture,2,00:01:09,1.88,60.19%
49,agweb.com,Heavy Industry and Engineering > Agriculture,5,00:01:24,1.68,63.94%
50,sakata-netshop.com,Heavy Industry and Engineering > Agriculture,9,00:03:17,5.06,30.6%
