Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,skyscrapercity.com,Heavy Industry and Engineering > Architecture,=,00:06:09,7.45,18.77%
2,archdaily.com,Heavy Industry and Engineering > Architecture,=,00:04:43,16.65,37.23%
3,larchitetto.it,Heavy Industry and Engineering > Architecture,=,00:01:27,1.33,83.15%
4,architecturaldigest.in,Heavy Industry and Engineering > Architecture,=,00:00:41,1.68,39.11%
5,ad-italia.it,Heavy Industry and Engineering > Architecture,=,00:00:37,1.50,37.48%
6,chateauversailles.fr,Heavy Industry and Engineering > Architecture,=,00:04:07,5.60,38.42%
7,skyscraperpage.com,Heavy Industry and Engineering > Architecture,4,00:04:27,7.04,29.4%
8,architizer.com,Heavy Industry and Engineering > Architecture,1,00:01:42,3.51,49.72%
9,hrp.org.uk,Heavy Industry and Engineering > Architecture,2,00:02:06,3.82,34.64%
10,gooood.cn,Heavy Industry and Engineering > Architecture,2,00:07:12,8.66,39.77%
11,sagradafamilia.org,Heavy Industry and Engineering > Architecture,1,00:04:13,4.34,38.16%
12,archi.fr,Heavy Industry and Engineering > Architecture,6,00:04:07,5.11,34.33%
13,archello.com,Heavy Industry and Engineering > Architecture,1,00:01:52,4.49,47.3%
14,vigilantcitizen.com,Heavy Industry and Engineering > Architecture,1,00:03:24,2.60,54.79%
15,usgbc.org,Heavy Industry and Engineering > Architecture,=,00:03:46,4.69,35.01%
16,professionearchitetto.it,Heavy Industry and Engineering > Architecture,1,00:02:44,2.87,51.56%
17,arquitecturaydiseno.es,Heavy Industry and Engineering > Architecture,1,00:00:44,2.44,34%
18,archweb.com,Heavy Industry and Engineering > Architecture,1,00:03:58,7.01,34.04%
19,re-thinkingthefuture.com,Heavy Industry and Engineering > Architecture,2,00:01:05,2.54,48.37%
20,soloarquitectura.com,Heavy Industry and Engineering > Architecture,11,00:01:52,1.68,62.21%
21,architectsjournal.co.uk,Heavy Industry and Engineering > Architecture,4,00:01:09,1.67,53.43%
22,archinect.com,Heavy Industry and Engineering > Architecture,10,00:02:23,3.57,49.74%
23,monuments-nationaux.fr,Heavy Industry and Engineering > Architecture,3,00:02:22,3.86,35.78%
24,domusweb.it,Heavy Industry and Engineering > Architecture,3,00:01:04,1.84,56.94%
25,arquitecturaviva.com,Heavy Industry and Engineering > Architecture,20,00:02:07,3.72,43.73%
26,parametric-architecture.com,Heavy Industry and Engineering > Architecture,3,00:01:05,2.01,47.57%
27,geoportal-krajowy.pl,Heavy Industry and Engineering > Architecture,7,00:04:52,17.30,39.02%
28,aia.org,Heavy Industry and Engineering > Architecture,4,00:03:10,5.09,43.18%
29,ncarb.org,Heavy Industry and Engineering > Architecture,6,00:03:36,5.65,38.2%
30,deutsches-architekturforum.de,Heavy Industry and Engineering > Architecture,2,00:01:13,4.94,12.51%
31,cadmapper.com,Heavy Industry and Engineering > Architecture,18,00:03:46,4.13,37.52%
32,arq.com.mx,Heavy Industry and Engineering > Architecture,7,00:02:19,4.94,43.83%
33,wbmcc.nic.in,Heavy Industry and Engineering > Architecture,15,00:06:58,4.88,45.07%
34,suncalc.org,Heavy Industry and Engineering > Architecture,2,00:17:32,31.07,24.72%
35,siskom.waw.pl,Heavy Industry and Engineering > Architecture,13,00:01:07,1.81,43.51%
36,archi.ru,Heavy Industry and Engineering > Architecture,1,00:01:37,3.02,52.81%
37,kira.or.kr,Heavy Industry and Engineering > Architecture,3,00:04:10,6.87,36.17%
38,vmspace.com,Heavy Industry and Engineering > Architecture,23,00:03:33,5.04,46.32%
39,architecture.com,Heavy Industry and Engineering > Architecture,9,00:02:56,4.21,49.77%
40,thearchitectsdiary.com,Heavy Industry and Engineering > Architecture,20,00:00:55,1.81,40.07%
41,abcb.gov.au,Heavy Industry and Engineering > Architecture,16,00:03:38,3.44,44.97%
42,urbanfile.org,Heavy Industry and Engineering > Architecture,1,00:01:06,2.37,37.3%
43,novatr.com,Heavy Industry and Engineering > Architecture,5,00:02:29,3.10,47.37%
44,sunearthtools.com,Heavy Industry and Engineering > Architecture,14,00:01:19,2.44,53.74%
45,arkitera.com,Heavy Industry and Engineering > Architecture,2,00:02:45,2.65,52.43%
46,esbnyc.com,Heavy Industry and Engineering > Architecture,5,00:00:59,2.04,48.84%
47,firstinarchitecture.co.uk,Heavy Industry and Engineering > Architecture,6,00:01:11,1.82,58.73%
48,architectandinteriorsindia.com,Heavy Industry and Engineering > Architecture,7,00:00:28,1.80,21.7%
49,archpaper.com,Heavy Industry and Engineering > Architecture,1,00:00:51,1.81,55.81%
50,archdaily.co,Heavy Industry and Engineering > Architecture,42,00:04:03,12.22,39.39%
