Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,laplasturgie.fr,Heavy Industry and Engineering > Chemical Industry,49,00:00:15,1.26,31.18%
2,orange-book.com,Heavy Industry and Engineering > Chemical Industry,1,00:08:07,7.36,30.03%
3,as-1.co.jp,Heavy Industry and Engineering > Chemical Industry,1,00:04:10,5.10,48.09%
4,atlbattery.com,Heavy Industry and Engineering > Chemical Industry,6,00:03:41,20.17,4.75%
5,mksegment.ru,Heavy Industry and Engineering > Chemical Industry,7,00:00:37,1.19,81.59%
6,hyponex.co.jp,Heavy Industry and Engineering > Chemical Industry,=,00:00:51,1.32,65.74%
7,ulprospector.com,Heavy Industry and Engineering > Chemical Industry,3,00:04:35,4.91,42.13%
8,basf.com,Heavy Industry and Engineering > Chemical Industry,=,00:02:06,2.94,50.98%
9,asahi-kasei.co.jp,Heavy Industry and Engineering > Chemical Industry,2,00:01:40,2.55,52.21%
10,hanwha.co.kr,Heavy Industry and Engineering > Chemical Industry,7,00:00:33,1.77,54.13%
11,sekisui.co.jp,Heavy Industry and Engineering > Chemical Industry,6,00:23:17,17.52,17.91%
12,jotun.com,Heavy Industry and Engineering > Chemical Industry,1,00:02:26,4.31,40.62%
13,graco.com,Heavy Industry and Engineering > Chemical Industry,=,00:03:08,3.99,43.05%
14,chinaplasonline.com,Heavy Industry and Engineering > Chemical Industry,56,00:01:28,2.19,55.09%
15,krasko.ru,Heavy Industry and Engineering > Chemical Industry,31,00:00:17,1.30,37.99%
16,crlaurence.com,Heavy Industry and Engineering > Chemical Industry,2,00:09:04,10.26,27.37%
17,dupont.com,Heavy Industry and Engineering > Chemical Industry,2,00:01:49,2.79,47.69%
18,airgas.com,Heavy Industry and Engineering > Chemical Industry,2,00:02:26,3.88,43.43%
19,swagelok.com,Heavy Industry and Engineering > Chemical Industry,2,00:04:47,5.02,39.86%
20,henkel-adhesives.com,Heavy Industry and Engineering > Chemical Industry,3,00:01:55,3.17,52.75%
21,specialchem.com,Heavy Industry and Engineering > Chemical Industry,3,00:03:03,3.47,57.5%
22,ppg.com,Heavy Industry and Engineering > Chemical Industry,2,00:02:29,3.76,45.89%
23,guidechem.com,Heavy Industry and Engineering > Chemical Industry,1,00:01:34,4.58,40.25%
24,dow.com,Heavy Industry and Engineering > Chemical Industry,5,00:01:58,3.77,42.64%
25,pcc.eu,Heavy Industry and Engineering > Chemical Industry,2,00:00:57,1.59,60.61%
26,sabic.com,Heavy Industry and Engineering > Chemical Industry,1,00:01:25,2.85,46.02%
27,echemi.com,Heavy Industry and Engineering > Chemical Industry,=,00:00:46,1.73,52.99%
28,lubricantadvisor.com,Heavy Industry and Engineering > Chemical Industry,2,00:02:08,3.45,27.11%
29,sibur.ru,Heavy Industry and Engineering > Chemical Industry,14,00:02:53,4.92,40.6%
30,lonza.com,Heavy Industry and Engineering > Chemical Industry,1,00:01:20,3.76,53.41%
31,denka365.sharepoint.com,Heavy Industry and Engineering > Chemical Industry,3,00:07:42,5.23,25.59%
32,rustoleum.com,Heavy Industry and Engineering > Chemical Industry,1,00:01:34,2.44,46.02%
33,basf.co.jp,Heavy Industry and Engineering > Chemical Industry,1,00:00:57,1.46,55.23%
34,akzonobel.com,Heavy Industry and Engineering > Chemical Industry,1,00:01:26,2.26,49.76%
35,protolabs.com,Heavy Industry and Engineering > Chemical Industry,1,00:02:51,4.85,46.49%
36,vanguard.ca,Heavy Industry and Engineering > Chemical Industry,12,00:02:21,2.31,53.45%
37,whmall.com,Heavy Industry and Engineering > Chemical Industry,25,00:10:36,10.87,24.53%
38,mitsubishichem-hd.co.jp,Heavy Industry and Engineering > Chemical Industry,=,00:02:35,2.10,51.78%
39,master.pro,Heavy Industry and Engineering > Chemical Industry,16,00:07:17,5.67,27.39%
40,usplastic.com,Heavy Industry and Engineering > Chemical Industry,7,00:01:44,3.51,51.72%
41,vertical.ru,Heavy Industry and Engineering > Chemical Industry,1,00:40:39,8.21,33.53%
42,adama.com,Heavy Industry and Engineering > Chemical Industry,3,00:00:49,1.98,54.48%
43,severnaya.ru,Heavy Industry and Engineering > Chemical Industry,18,00:02:18,2.56,55.94%
44,kansai.co.jp,Heavy Industry and Engineering > Chemical Industry,5,00:07:58,6.07,30.25%
45,nipponpaint.co.jp,Heavy Industry and Engineering > Chemical Industry,3,00:07:28,6.41,35.72%
46,loctiteproducts.com,Heavy Industry and Engineering > Chemical Industry,16,00:00:41,1.86,51.52%
47,chembk.com,Heavy Industry and Engineering > Chemical Industry,2,00:01:07,1.63,55.49%
48,averydennison.com,Heavy Industry and Engineering > Chemical Industry,4,00:01:34,2.93,49.35%
49,fuchs.com,Heavy Industry and Engineering > Chemical Industry,9,00:01:21,2.36,51.13%
50,kirelis.ru,Heavy Industry and Engineering > Chemical Industry,31,00:03:20,4.73,49.71%
