Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,edf.fr,Heavy Industry and Engineering > Energy Industry,=,00:03:42,5.92,28.68%
2,tepco.co.jp,Heavy Industry and Engineering > Energy Industry,=,00:03:16,5.51,35.3%
3,mosenergosbyt.ru,Heavy Industry and Engineering > Energy Industry,=,00:04:10,8.20,19.81%
4,cfe.mx,Heavy Industry and Engineering > Energy Industry,2,00:04:10,4.19,36.41%
5,cpfl.com.br,Heavy Industry and Engineering > Energy Industry,2,00:04:48,4.59,29.7%
6,tokyo-gas.co.jp,Heavy Industry and Engineering > Energy Industry,4,00:02:23,4.85,35.58%
7,enel.com,Heavy Industry and Engineering > Energy Industry,2,00:02:31,2.53,60.13%
8,pge.com,Heavy Industry and Engineering > Energy Industry,1,00:04:09,6.87,25.72%
9,enel.com.br,Heavy Industry and Engineering > Energy Industry,1,00:04:34,5.49,25%
10,duke-energy.com,Heavy Industry and Engineering > Energy Industry,2,00:03:14,4.24,29.91%
11,engie.fr,Heavy Industry and Engineering > Energy Industry,=,00:03:27,5.25,27.43%
12,mnei.fr,Heavy Industry and Engineering > Energy Industry,17,00:00:38,1.27,77.71%
13,solarweb.com,Heavy Industry and Engineering > Energy Industry,7,00:03:44,3.16,38.93%
14,kepco.jp,Heavy Industry and Engineering > Energy Industry,=,00:03:29,5.56,20.29%
15,indianoil.in,Heavy Industry and Engineering > Energy Industry,2,00:16:23,37.80,29.88%
16,enel.it,Heavy Industry and Engineering > Energy Industry,1,00:03:37,4.99,36.66%
17,vattenfall.de,Heavy Industry and Engineering > Energy Industry,1,00:03:17,4.24,52.92%
18,firstenergycorp.com,Heavy Industry and Engineering > Energy Industry,=,00:04:00,5.25,27.36%
19,hydroquebec.com,Heavy Industry and Engineering > Energy Industry,4,00:03:44,7.79,26.03%
20,enpal.de,Heavy Industry and Engineering > Energy Industry,2,00:00:50,1.30,83.92%
21,fpl.com,Heavy Industry and Engineering > Energy Industry,2,00:03:05,6.32,27.63%
22,nationalgrid.com,Heavy Industry and Engineering > Energy Industry,1,00:03:32,8.55,28.98%
23,sce.com,Heavy Industry and Engineering > Energy Industry,19,00:03:44,6.09,25.78%
24,tecnomat.it,Heavy Industry and Engineering > Energy Industry,1,00:04:33,4.54,43.04%
25,gas.ua,Heavy Industry and Engineering > Energy Industry,1,00:02:33,3.56,25.75%
26,shell.com,Heavy Industry and Engineering > Energy Industry,7,00:03:42,5.40,38.18%
27,edfenergy.com,Heavy Industry and Engineering > Energy Industry,1,00:03:27,5.12,32.71%
28,chuden.co.jp,Heavy Industry and Engineering > Energy Industry,3,00:02:33,3.83,39.58%
29,osakagas.co.jp,Heavy Industry and Engineering > Energy Industry,11,00:02:18,4.78,30.69%
30,wm.com,Heavy Industry and Engineering > Energy Industry,6,00:03:02,4.24,38.09%
31,cemig.com.br,Heavy Industry and Engineering > Energy Industry,14,00:07:47,8.84,29.93%
32,nationalgridus.com,Heavy Industry and Engineering > Energy Industry,3,00:02:01,2.66,50.52%
33,totalenergies.fr,Heavy Industry and Engineering > Energy Industry,8,00:03:34,4.14,39.34%
34,eon.de,Heavy Industry and Engineering > Energy Industry,7,00:04:51,7.55,35.96%
35,tohoku-epco.co.jp,Heavy Industry and Engineering > Energy Industry,1,00:03:04,5.05,37.9%
36,ovoenergy.com,Heavy Industry and Engineering > Energy Industry,6,00:03:43,5.74,26.71%
37,solaredge.com,Heavy Industry and Engineering > Energy Industry,2,00:04:56,4.48,48.92%
38,vbrr.ru,Heavy Industry and Engineering > Energy Industry,12,00:01:20,2.55,25.34%
39,etc-meisai.jp,Heavy Industry and Engineering > Energy Industry,5,00:05:28,7.30,17.13%
40,southernco.com,Heavy Industry and Engineering > Energy Industry,2,00:03:43,3.49,34.22%
41,iberdrola.es,Heavy Industry and Engineering > Energy Industry,5,00:02:44,4.65,38.07%
42,enphaseenergy.com,Heavy Industry and Engineering > Energy Industry,1,00:04:18,4.07,36.57%
43,tylerportico.com,Heavy Industry and Engineering > Energy Industry,5,00:02:33,3.89,34.28%
44,centerpointenergy.com,Heavy Industry and Engineering > Energy Industry,7,00:04:22,5.88,27.72%
45,mvmnext.hu,Heavy Industry and Engineering > Energy Industry,13,00:08:01,7.15,20.87%
46,bchydro.com,Heavy Industry and Engineering > Energy Industry,6,00:03:20,4.40,28.45%
47,comed.com,Heavy Industry and Engineering > Energy Industry,4,00:08:27,5.87,26.84%
48,coned.com,Heavy Industry and Engineering > Energy Industry,1,00:03:34,4.91,28.95%
49,light.com.br,Heavy Industry and Engineering > Energy Industry,5,00:04:31,4.05,32.94%
50,hpcl.co.in,Heavy Industry and Engineering > Energy Industry,4,00:22:26,18.20,22.62%
