Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,mcmaster.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:06:18,8.54,23.18%
2,abb.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:04:31,4.20,44.5%
3,geoportal.gov.pl,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:03:53,6.04,29%
4,regione.toscana.it,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:05:02,4.74,44.23%
5,geoportal2.pl,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:05:10,4.31,25.82%
6,alabuga.ru,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,7,00:02:12,6.75,42.36%
7,regione.piemonte.it,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,1,00:03:31,3.22,57.03%
8,nearmap.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,1,00:06:53,20.45,17.28%
9,vortexoptics.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:01:40,3.22,43.1%
10,atlascopco.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,2,00:02:38,3.22,52.24%
11,accurateshooter.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,1,00:02:20,2.77,51.11%
12,thefiringline.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,4,00:00:54,1.34,66.33%
13,luckygunner.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,2,00:02:35,4.27,44.25%
14,frazier.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:11:48,8.01,2.82%
15,ferrovial.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,3,00:01:09,1.58,60.08%
16,icetrade.by,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,1,00:08:22,6.83,27.69%
17,bicotender.ru,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,4,00:02:46,3.21,47.25%
18,smarttender.biz,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,1,00:09:33,8.41,32.96%
19,canadiangunnutz.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,1,00:05:27,9.59,30.02%
20,arcelormittal.com.br,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,4,00:09:26,10.14,34.11%
21,ammoland.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,2,00:01:48,2.00,52.67%
22,surplex.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:02:46,8.58,35.01%
23,jpdata.net,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:03:03,5.61,29.05%
24,prom.uz,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:05:25,10.37,43.99%
25,nihon-trim.co.jp,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:01:26,2.96,45.64%
26,doosan.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:06:47,6.19,27.38%
27,rinnovabili.it,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,1,00:00:57,1.54,70.99%
28,altec.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,1,00:05:51,5.46,29.91%
29,nen.nl,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,2,00:02:27,3.27,48.46%
30,spiraxsarco.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,3,00:01:25,2.60,45.92%
31,hoechsmann.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,5,00:05:41,12.99,35.32%
32,webshiro.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:01:51,2.27,59.82%
33,applied.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,4,00:02:13,4.03,37.95%
34,sigforum.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,=,00:03:24,3.13,42.44%
35,blackwoods.com.au,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,2,00:04:53,5.43,41.21%
36,norgren.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,16,00:01:27,2.68,44.49%
37,isprambiente.it,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,9,00:04:49,6.67,40.28%
38,directindustry.de,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,4,00:00:50,2.09,55.19%
39,kleen-ritecorp.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,4,00:02:13,4.91,45.56%
40,maps.zh.ch,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,10,00:03:49,1.89,70.53%
41,vesservice.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,22,00:01:12,1.67,59.65%
42,finning.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,1,00:10:58,5.77,50.64%
43,lowtechmagazine.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,13,00:04:11,4.85,49.24%
44,haberkorn.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,17,00:02:20,3.88,38.37%
45,pvcfittingsonline.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,7,00:01:26,2.14,55.13%
46,seichemical.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,"2,203",--,1.00,97.54%
47,ecostandard.ru,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,12,00:01:41,1.85,64.63%
48,daikinthai.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,9,00:00:54,1.57,53.69%
49,repurposedmaterialsinc.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,25,00:04:13,7.01,42.44%
50,dillonprecision.com,Heavy Industry and Engineering > Heavy Industry and Engineering - Other,10,00:02:38,3.73,37.65%
