Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,gpb.ru,Heavy Industry and Engineering > Metals and Mining,=,00:03:26,4.15,38.23%
2,b2b-center.ru,Heavy Industry and Engineering > Metals and Mining,3,00:11:36,9.95,30.18%
3,practicalmachinist.com,Heavy Industry and Engineering > Metals and Mining,1,00:01:57,1.97,61.88%
4,mmc.co.jp,Heavy Industry and Engineering > Metals and Mining,4,00:01:18,2.42,49.36%
5,mining.com,Heavy Industry and Engineering > Metals and Mining,2,00:00:53,1.61,67.45%
6,chipmaker.ru,Heavy Industry and Engineering > Metals and Mining,3,00:02:25,2.41,59.85%
7,nipponsteel.com,Heavy Industry and Engineering > Metals and Mining,1,00:03:18,7.07,40.88%
8,parker.com,Heavy Industry and Engineering > Metals and Mining,6,00:02:29,3.21,49.23%
9,alcast.eu,Heavy Industry and Engineering > Metals and Mining,=,00:00:13,1.76,62.2%
10,mye2shop.com,Heavy Industry and Engineering > Metals and Mining,1,00:29:42,38.88,5.13%
11,arcelormittal.com,Heavy Industry and Engineering > Metals and Mining,=,00:02:44,3.46,42.33%
12,bhp.com,Heavy Industry and Engineering > Metals and Mining,1,00:03:52,3.66,36.67%
13,etpgpb.ru,Heavy Industry and Engineering > Metals and Mining,6,00:06:03,3.82,45.67%
14,hoffmann-group.com,Heavy Industry and Engineering > Metals and Mining,2,00:03:56,8.33,38.53%
15,kikakurui.com,Heavy Industry and Engineering > Metals and Mining,=,00:03:41,2.09,57.57%
16,coromant.com,Heavy Industry and Engineering > Metals and Mining,2,00:03:57,6.24,41.21%
17,pgg.pl,Heavy Industry and Engineering > Metals and Mining,3,00:03:11,3.92,28.78%
18,haascnc.com,Heavy Industry and Engineering > Metals and Mining,2,00:02:57,4.63,44.83%
19,cnbm.com.cn,Heavy Industry and Engineering > Metals and Mining,1,00:01:27,2.98,55.26%
20,pilkington.com,Heavy Industry and Engineering > Metals and Mining,3,00:07:58,4.50,28.76%
21,23met.ru,Heavy Industry and Engineering > Metals and Mining,8,00:03:24,3.30,50.84%
22,tatasteel.co.in,Heavy Industry and Engineering > Metals and Mining,12,00:11:05,10.79,27.41%
23,fabrikant.ru,Heavy Industry and Engineering > Metals and Mining,21,00:11:39,8.98,36.81%
24,donaldson.com,Heavy Industry and Engineering > Metals and Mining,3,00:04:25,3.40,41.28%
25,rizhaosteel.com,Heavy Industry and Engineering > Metals and Mining,3,00:03:08,4.53,15.77%
26,severstal.com,Heavy Industry and Engineering > Metals and Mining,11,00:03:53,4.84,40.77%
27,oegussa.at,Heavy Industry and Engineering > Metals and Mining,21,00:02:35,2.14,70.26%
28,tender.pro,Heavy Industry and Engineering > Metals and Mining,14,00:06:36,6.23,36.84%
29,lincolnelectric.com,Heavy Industry and Engineering > Metals and Mining,6,00:02:31,3.61,49.01%
30,angloamerican.com,Heavy Industry and Engineering > Metals and Mining,2,00:03:10,3.53,38.83%
31,napgp.ru,Heavy Industry and Engineering > Metals and Mining,7,00:03:22,3.42,47.33%
32,csc.com.tw,Heavy Industry and Engineering > Metals and Mining,1,00:12:38,10.49,23.58%
33,tatasteel.com,Heavy Industry and Engineering > Metals and Mining,6,00:02:56,4.08,41.23%
34,railway.supply,Heavy Industry and Engineering > Metals and Mining,8,00:01:02,1.76,50.76%
35,millerwelds.com,Heavy Industry and Engineering > Metals and Mining,3,00:01:41,3.03,48.22%
36,riotinto.com,Heavy Industry and Engineering > Metals and Mining,6,00:02:50,3.35,39.89%
37,metalsupermarkets.com,Heavy Industry and Engineering > Metals and Mining,1,00:01:44,2.50,50.51%
38,novat.ru,Heavy Industry and Engineering > Metals and Mining,9,00:04:18,3.05,44.14%
39,nlmk.com,Heavy Industry and Engineering > Metals and Mining,6,00:07:16,7.89,26.74%
40,mc.ru,Heavy Industry and Engineering > Metals and Mining,12,00:05:05,5.56,32.92%
41,mossklad.ru,Heavy Industry and Engineering > Metals and Mining,1,00:01:10,1.97,43.94%
42,stanki.ru,Heavy Industry and Engineering > Metals and Mining,8,00:01:14,2.59,43.63%
43,ussteel.com,Heavy Industry and Engineering > Metals and Mining,12,00:01:00,1.79,60.01%
44,epiroc.com,Heavy Industry and Engineering > Metals and Mining,5,00:03:31,4.61,42.96%
45,alfalaval.com,Heavy Industry and Engineering > Metals and Mining,5,00:01:27,3.00,43.5%
46,woodone.co.jp,Heavy Industry and Engineering > Metals and Mining,5,00:04:20,3.04,46.14%
47,fabricators.ru,Heavy Industry and Engineering > Metals and Mining,11,00:03:11,6.08,43.77%
48,metso.com,Heavy Industry and Engineering > Metals and Mining,5,00:01:10,2.46,47.21%
49,kuzcsm.ru,Heavy Industry and Engineering > Metals and Mining,14,00:14:07,6.29,19.44%
50,thyssenkrupp.com,Heavy Industry and Engineering > Metals and Mining,4,00:02:03,3.17,39.24%
