Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,ancestry.com,Hobbies and Leisure > Ancestry and Genealogy,=,00:13:58,24.04,35.78%
2,familysearch.org,Hobbies and Leisure > Ancestry and Genealogy,=,00:13:05,20.22,24.92%
3,myheritage.com,Hobbies and Leisure > Ancestry and Genealogy,=,00:05:25,9.52,44.8%
4,geneanet.org,Hobbies and Leisure > Ancestry and Genealogy,=,00:11:45,16.84,39.87%
5,23andme.com,Hobbies and Leisure > Ancestry and Genealogy,=,00:04:06,6.59,30.51%
6,ancestry.co.uk,Hobbies and Leisure > Ancestry and Genealogy,=,00:17:38,26.96,29.28%
7,geni.com,Hobbies and Leisure > Ancestry and Genealogy,=,00:07:28,9.50,41.23%
8,wikitree.com,Hobbies and Leisure > Ancestry and Genealogy,=,00:07:53,8.41,39.36%
9,ancestry.ca,Hobbies and Leisure > Ancestry and Genealogy,=,00:14:44,23.21,30.58%
10,ancestry.com.au,Hobbies and Leisure > Ancestry and Genealogy,=,00:13:57,23.16,29.75%
11,findmypast.co.uk,Hobbies and Leisure > Ancestry and Genealogy,1,00:11:41,20.78,27.67%
12,myheritage.fr,Hobbies and Leisure > Ancestry and Genealogy,1,00:06:52,12.30,33.69%
13,myheritage.de,Hobbies and Leisure > Ancestry and Genealogy,1,00:08:16,13.36,41.26%
14,filae.com,Hobbies and Leisure > Ancestry and Genealogy,3,00:09:49,18.92,34.66%
15,myheritage.es,Hobbies and Leisure > Ancestry and Genealogy,6,00:04:05,6.60,35.47%
16,familytreedna.com,Hobbies and Leisure > Ancestry and Genealogy,2,00:04:48,7.44,34.44%
17,ancestry.de,Hobbies and Leisure > Ancestry and Genealogy,2,00:10:43,16.32,30.83%
18,vgd.ru,Hobbies and Leisure > Ancestry and Genealogy,2,00:06:12,9.31,39.82%
19,houseofnames.com,Hobbies and Leisure > Ancestry and Genealogy,=,00:01:10,2.07,60.15%
20,rootsweb.com,Hobbies and Leisure > Ancestry and Genealogy,=,00:01:55,3.77,54.15%
21,genealodzy.pl,Hobbies and Leisure > Ancestry and Genealogy,1,00:10:07,18.48,22%
22,familytreex.com,Hobbies and Leisure > Ancestry and Genealogy,11,00:00:15,1.66,65.29%
23,chatbotgpt.fr,Hobbies and Leisure > Ancestry and Genealogy,5,00:01:06,1.36,77.97%
24,grobonet.com,Hobbies and Leisure > Ancestry and Genealogy,=,00:04:14,7.14,37.45%
25,genomelink.io,Hobbies and Leisure > Ancestry and Genealogy,5,00:02:06,4.06,35.01%
26,genealogybank.com,Hobbies and Leisure > Ancestry and Genealogy,3,00:03:52,6.31,38.34%
27,historicengland.org.uk,Hobbies and Leisure > Ancestry and Genealogy,1,00:02:13,2.66,52.64%
28,myheritage.se,Hobbies and Leisure > Ancestry and Genealogy,10,00:05:41,11.10,39.58%
29,myheritage.pl,Hobbies and Leisure > Ancestry and Genealogy,=,00:06:50,11.78,26.88%
30,findmypast.com,Hobbies and Leisure > Ancestry and Genealogy,5,00:02:54,6.92,49.8%
31,myheritage.nl,Hobbies and Leisure > Ancestry and Genealogy,4,00:06:13,10.03,42.18%
32,cognomix.it,Hobbies and Leisure > Ancestry and Genealogy,1,00:01:40,4.20,29.83%
33,arkivdigital.se,Hobbies and Leisure > Ancestry and Genealogy,=,00:37:44,82.06,11.14%
34,genealogy.net,Hobbies and Leisure > Ancestry and Genealogy,2,00:05:33,9.24,40.67%
35,digitalarkivet.no,Hobbies and Leisure > Ancestry and Genealogy,1,00:09:59,20.46,28.16%
36,familyecho.com,Hobbies and Leisure > Ancestry and Genealogy,1,00:03:06,3.49,49%
37,afdoede.dk,Hobbies and Leisure > Ancestry and Genealogy,1,00:02:38,4.26,35.45%
38,archives.com,Hobbies and Leisure > Ancestry and Genealogy,3,00:02:37,5.55,35.41%
39,myheritage.com.br,Hobbies and Leisure > Ancestry and Genealogy,1,00:03:54,5.88,43.43%
40,nam.ac.uk,Hobbies and Leisure > Ancestry and Genealogy,8,00:00:53,1.62,56.11%
41,freebmd.org.uk,Hobbies and Leisure > Ancestry and Genealogy,3,00:10:43,8.14,24.19%
42,deces-en-france.fr,Hobbies and Leisure > Ancestry and Genealogy,5,00:02:51,7.86,22.44%
43,myheritage.dk,Hobbies and Leisure > Ancestry and Genealogy,11,00:08:06,9.80,34.72%
44,newspaperarchive.com,Hobbies and Leisure > Ancestry and Genealogy,1,00:03:19,5.11,42.02%
45,fold3.com,Hobbies and Leisure > Ancestry and Genealogy,2,00:04:29,11.19,34.63%
46,smartholidayshopping.com,Hobbies and Leisure > Ancestry and Genealogy,4,00:02:02,1.94,51.63%
47,szukajwarchiwach.gov.pl,Hobbies and Leisure > Ancestry and Genealogy,5,00:07:24,8.61,27.28%
48,spokt.com,Hobbies and Leisure > Ancestry and Genealogy,11,00:05:59,4.67,23.8%
49,myheritage.it,Hobbies and Leisure > Ancestry and Genealogy,7,00:06:14,9.17,34.57%
50,hmdb.org,Hobbies and Leisure > Ancestry and Genealogy,3,00:01:52,3.00,55.4%
