Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,todocoleccion.net,Hobbies and Leisure > Antiques and Collectibles,=,00:07:51,12.33,38.37%
2,apmex.com,Hobbies and Leisure > Antiques and Collectibles,1,00:02:54,3.35,52.23%
3,worthpoint.com,Hobbies and Leisure > Antiques and Collectibles,1,00:01:46,3.50,56.98%
4,psacard.com,Hobbies and Leisure > Antiques and Collectibles,2,00:03:20,3.81,40.22%
5,jmbullion.com,Hobbies and Leisure > Antiques and Collectibles,1,00:02:33,3.44,57.57%
6,brickset.com,Hobbies and Leisure > Antiques and Collectibles,1,00:03:00,3.70,45.16%
7,ucoin.net,Hobbies and Leisure > Antiques and Collectibles,=,00:06:20,7.45,38.31%
8,sdbullion.com,Hobbies and Leisure > Antiques and Collectibles,3,00:03:40,4.01,52.21%
9,bradfordexchange.com,Hobbies and Leisure > Antiques and Collectibles,5,00:01:50,2.85,54.21%
10,comc.com,Hobbies and Leisure > Antiques and Collectibles,2,00:09:59,12.49,30.81%
11,numista.com,Hobbies and Leisure > Antiques and Collectibles,2,00:05:35,5.40,47.79%
12,usmint.gov,Hobbies and Leisure > Antiques and Collectibles,1,00:02:10,3.62,44.15%
13,royalmint.com,Hobbies and Leisure > Antiques and Collectibles,3,00:02:52,4.44,47.95%
14,mutualart.com,Hobbies and Leisure > Antiques and Collectibles,1,00:01:35,2.65,44.69%
15,pcgs.com,Hobbies and Leisure > Antiques and Collectibles,3,00:05:15,4.03,41.45%
16,ngccoin.com,Hobbies and Leisure > Antiques and Collectibles,=,00:03:55,3.46,49.44%
17,postcrossing.com,Hobbies and Leisure > Antiques and Collectibles,1,00:13:00,16.95,26.68%
18,collectors.com,Hobbies and Leisure > Antiques and Collectibles,1,00:03:15,3.72,44.44%
19,monetnik.ru,Hobbies and Leisure > Antiques and Collectibles,2,00:02:50,4.19,46.05%
20,tcdb.com,Hobbies and Leisure > Antiques and Collectibles,=,00:07:17,16.65,27.08%
21,bidspirit.com,Hobbies and Leisure > Antiques and Collectibles,6,00:07:13,9.28,28.31%
22,coinvaluechecker.com,Hobbies and Leisure > Antiques and Collectibles,2,00:03:10,2.44,52.89%
23,radiomuseum.org,Hobbies and Leisure > Antiques and Collectibles,=,00:01:51,2.66,52.92%
24,rubylane.com,Hobbies and Leisure > Antiques and Collectibles,2,00:02:53,4.88,49.37%
25,colnect.com,Hobbies and Leisure > Antiques and Collectibles,=,00:08:49,14.45,39.42%
26,kettner-edelmetalle.de,Hobbies and Leisure > Antiques and Collectibles,5,00:02:12,2.59,56.94%
27,littletoncoin.com,Hobbies and Leisure > Antiques and Collectibles,1,00:02:22,2.93,67.98%
28,westminstercollection.com,Hobbies and Leisure > Antiques and Collectibles,11,00:03:11,4.41,54.44%
29,horlogeforum.nl,Hobbies and Leisure > Antiques and Collectibles,3,00:03:59,9.38,43.02%
30,paniniamerica.net,Hobbies and Leisure > Antiques and Collectibles,1,00:02:45,4.98,39.44%
31,lofty.com,Hobbies and Leisure > Antiques and Collectibles,1,00:06:21,10.76,43.04%
32,mennica.com.pl,Hobbies and Leisure > Antiques and Collectibles,10,00:01:31,3.49,29.53%
33,watchprosite.com,Hobbies and Leisure > Antiques and Collectibles,15,00:07:04,8.33,27.75%
34,mdm.de,Hobbies and Leisure > Antiques and Collectibles,3,00:01:38,2.54,60.49%
35,picryl.com,Hobbies and Leisure > Antiques and Collectibles,3,00:01:38,3.74,47.33%
36,stampworld.com,Hobbies and Leisure > Antiques and Collectibles,1,00:15:54,17.62,28.7%
37,fnmt.es,Hobbies and Leisure > Antiques and Collectibles,3,00:03:28,3.67,49.15%
38,bullionbypost.eu,Hobbies and Leisure > Antiques and Collectibles,6,00:01:43,2.57,41.5%
39,heubach-edelmetalle.de,Hobbies and Leisure > Antiques and Collectibles,6,00:03:47,3.52,49.69%
40,bullionexchanges.com,Hobbies and Leisure > Antiques and Collectibles,3,00:02:04,2.76,55.35%
41,onebid.pl,Hobbies and Leisure > Antiques and Collectibles,9,00:03:08,7.60,31.7%
42,yy11.com,Hobbies and Leisure > Antiques and Collectibles,9,00:02:28,10.83,20.01%
43,hobbydb.com,Hobbies and Leisure > Antiques and Collectibles,=,00:02:14,4.12,45.59%
44,govmint.com,Hobbies and Leisure > Antiques and Collectibles,3,00:01:48,3.03,53.21%
45,usacoinbook.com,Hobbies and Leisure > Antiques and Collectibles,1,00:03:20,4.15,52.99%
46,messicks.com,Hobbies and Leisure > Antiques and Collectibles,3,00:03:59,4.49,37.96%
47,mp-edelmetalle.de,Hobbies and Leisure > Antiques and Collectibles,9,00:03:25,4.44,54.05%
48,coinapps.com,Hobbies and Leisure > Antiques and Collectibles,31,00:02:09,1.98,57.88%
49,5ktoys.com,Hobbies and Leisure > Antiques and Collectibles,13,00:02:20,3.42,45.88%
50,muenzeoesterreich.at,Hobbies and Leisure > Antiques and Collectibles,4,00:01:57,3.28,56.07%
