Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,derstandard.at,Hobbies and Leisure > Camping Scouting and Outdoors,=,00:03:57,3.59,32.21%
2,alltrails.com,Hobbies and Leisure > Camping Scouting and Outdoors,=,00:02:40,5.63,43.63%
3,cabelas.com,Hobbies and Leisure > Camping Scouting and Outdoors,=,00:03:30,4.40,53.22%
4,girlscouts.org,Hobbies and Leisure > Camping Scouting and Outdoors,=,00:04:25,4.10,43.75%
5,recreation.gov,Hobbies and Leisure > Camping Scouting and Outdoors,2,00:05:06,5.17,41.99%
6,outsideonline.com,Hobbies and Leisure > Camping Scouting and Outdoors,=,00:01:19,1.83,56.25%
7,arcteryx.com,Hobbies and Leisure > Camping Scouting and Outdoors,2,00:02:42,4.63,32.74%
8,yamap.com,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:05:42,5.75,46.03%
9,outdooractive.com,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:04:21,9.39,45.3%
10,geocaching.com,Hobbies and Leisure > Camping Scouting and Outdoors,=,00:10:49,15.89,27.9%
11,rusfishing.ru,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:10:00,7.99,26.03%
12,scouting.org,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:06:47,8.27,36.96%
13,certitudes.org,Hobbies and Leisure > Camping Scouting and Outdoors,7,00:05:15,4.16,42.51%
14,outdoorlife.com,Hobbies and Leisure > Camping Scouting and Outdoors,3,00:01:02,1.52,73.12%
15,reserveamerica.com,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:06:26,9.66,35.59%
16,umitenki.jp,Hobbies and Leisure > Camping Scouting and Outdoors,2,00:02:14,2.44,45.69%
17,padi.com,Hobbies and Leisure > Camping Scouting and Outdoors,=,00:03:28,3.91,41.43%
18,hipcamp.com,Hobbies and Leisure > Camping Scouting and Outdoors,3,00:03:48,6.74,33.95%
19,gearjunkie.com,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:00:50,1.50,62.57%
20,bepal.net,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:01:15,1.56,66.16%
21,campspot.com,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:05:06,6.36,32.84%
22,onxmaps.com,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:05:25,38.69,30.98%
23,koa.com,Hobbies and Leisure > Camping Scouting and Outdoors,4,00:03:48,4.52,42.07%
24,guatemala.com,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:01:30,1.77,64.25%
25,campings.com,Hobbies and Leisure > Camping Scouting and Outdoors,8,00:05:05,5.07,42.53%
26,blm.gov,Hobbies and Leisure > Camping Scouting and Outdoors,=,00:02:19,3.36,46.85%
27,lake-link.com,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:03:09,3.99,33.53%
28,thetrek.co,Hobbies and Leisure > Camping Scouting and Outdoors,2,00:02:51,2.15,55.79%
29,backpacker.com,Hobbies and Leisure > Camping Scouting and Outdoors,5,00:01:03,1.67,43.64%
30,goodsam.com,Hobbies and Leisure > Camping Scouting and Outdoors,2,00:02:43,3.14,51.45%
31,pirsch.de,Hobbies and Leisure > Camping Scouting and Outdoors,6,00:01:20,1.96,67.12%
32,promobil.de,Hobbies and Leisure > Camping Scouting and Outdoors,3,00:02:13,1.79,68.66%
33,auvieuxcampeur.fr,Hobbies and Leisure > Camping Scouting and Outdoors,2,00:05:09,7.97,38.3%
34,littlebrownie.com,Hobbies and Leisure > Camping Scouting and Outdoors,49,00:02:43,3.45,31.39%
35,dabet.com,Hobbies and Leisure > Camping Scouting and Outdoors,1,00:02:06,1.43,69.32%
36,switchbacktravel.com,Hobbies and Leisure > Camping Scouting and Outdoors,7,00:01:16,1.61,58.2%
37,sepaq.com,Hobbies and Leisure > Camping Scouting and Outdoors,=,00:03:45,6.06,43.93%
38,onlinescoutmanager.co.uk,Hobbies and Leisure > Camping Scouting and Outdoors,6,00:02:11,2.29,42.41%
39,johnsonoutdoors.com,Hobbies and Leisure > Camping Scouting and Outdoors,11,00:03:05,3.42,42.15%
40,reviewdetector.ru,Hobbies and Leisure > Camping Scouting and Outdoors,8,00:09:11,13.17,27.45%
41,scouts.org.uk,Hobbies and Leisure > Camping Scouting and Outdoors,5,00:06:17,7.38,40.36%
42,naturum.ne.jp,Hobbies and Leisure > Camping Scouting and Outdoors,3,00:01:43,3.69,58.54%
43,gulliver.it,Hobbies and Leisure > Camping Scouting and Outdoors,5,00:03:47,3.26,52.7%
44,rvusa.com,Hobbies and Leisure > Camping Scouting and Outdoors,3,00:02:20,2.62,54.95%
45,big4.com.au,Hobbies and Leisure > Camping Scouting and Outdoors,5,00:03:13,4.59,40.19%
46,eventyrsport.dk,Hobbies and Leisure > Camping Scouting and Outdoors,12,00:02:43,4.62,32.73%
47,gaiagps.com,Hobbies and Leisure > Camping Scouting and Outdoors,=,00:06:10,39.21,30.98%
48,campintouch.com,Hobbies and Leisure > Camping Scouting and Outdoors,9,00:05:07,5.90,34.2%
49,pecheur.com,Hobbies and Leisure > Camping Scouting and Outdoors,4,00:04:22,6.81,39.18%
50,girlscoutshop.com,Hobbies and Leisure > Camping Scouting and Outdoors,9,00:02:40,3.96,60.91%
