Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,ravelry.com,Hobbies and Leisure > Crafts,=,00:06:43,11.38,33.06%
2,hobbylobby.com,Hobbies and Leisure > Crafts,=,00:02:58,5.57,44.19%
3,lu.ma,Hobbies and Leisure > Crafts,1,00:03:58,3.38,45.03%
4,dzeninfra.ru,Hobbies and Leisure > Crafts,1,00:01:10,1.33,82.05%
5,parentfromheart.com,Hobbies and Leisure > Crafts,2,00:01:40,1.68,63.62%
6,katiaribeiro.com.br,Hobbies and Leisure > Crafts,6,00:00:29,2.60,24.26%
7,mondaymandala.com,Hobbies and Leisure > Crafts,2,00:03:02,5.10,28.39%
8,lovecrafts.com,Hobbies and Leisure > Crafts,1,00:03:38,6.23,40.93%
9,postila.ru,Hobbies and Leisure > Crafts,3,00:01:26,2.68,35.97%
10,stranamam.ru,Hobbies and Leisure > Crafts,1,00:03:55,3.33,45.39%
11,missouriquiltco.com,Hobbies and Leisure > Crafts,3,00:04:35,4.51,41.93%
12,strana.today,Hobbies and Leisure > Crafts,3,00:07:05,2.10,57.39%
13,thesprucecrafts.com,Hobbies and Leisure > Crafts,3,00:01:09,1.57,66.65%
14,hobbii.com,Hobbies and Leisure > Crafts,1,00:03:15,6.01,46.17%
15,entertainment.ie,Hobbies and Leisure > Crafts,2,00:00:54,1.77,63.7%
16,crayola.com,Hobbies and Leisure > Crafts,5,00:01:34,4.04,39.72%
17,babiki.ru,Hobbies and Leisure > Crafts,3,00:04:10,7.56,27.23%
18,electricdaisycarnival.com,Hobbies and Leisure > Crafts,11,00:01:10,2.16,33.42%
19,lionbrand.com,Hobbies and Leisure > Crafts,3,00:02:56,4.89,40.06%
20,musely.com,Hobbies and Leisure > Crafts,6,00:01:33,3.73,51.82%
21,mondialtissus.fr,Hobbies and Leisure > Crafts,1,00:04:34,5.91,37.05%
22,craftsy.com,Hobbies and Leisure > Crafts,2,00:01:54,2.97,55.28%
23,homemade-gifts-made-easy.com,Hobbies and Leisure > Crafts,4,00:01:52,3.68,48.19%
24,pindiy.com,Hobbies and Leisure > Crafts,16,00:05:47,7.04,26.45%
25,braceletbook.com,Hobbies and Leisure > Crafts,7,00:04:46,17.11,35.25%
26,celebrations.com,Hobbies and Leisure > Crafts,11,00:00:58,3.10,31.67%
27,talentsy.ru,Hobbies and Leisure > Crafts,5,00:02:07,2.40,36.15%
28,scrapbook.com,Hobbies and Leisure > Crafts,3,00:05:17,7.77,42.38%
29,knitpicks.com,Hobbies and Leisure > Crafts,6,00:03:08,5.55,39.27%
30,crazypatterns.net,Hobbies and Leisure > Crafts,4,00:03:58,5.32,48.33%
31,wanderprints.com,Hobbies and Leisure > Crafts,=,00:02:17,2.74,49.46%
32,lumberjocks.com,Hobbies and Leisure > Crafts,2,00:00:59,1.80,61.04%
33,patternreview.com,Hobbies and Leisure > Crafts,6,00:02:48,3.28,48.01%
34,finewoodworking.com,Hobbies and Leisure > Crafts,6,00:01:27,2.05,59.22%
35,stitchfiddle.com,Hobbies and Leisure > Crafts,2,00:05:10,11.76,33.77%
36,piletilevi.ee,Hobbies and Leisure > Crafts,15,00:03:53,7.22,30.31%
37,chicagoautoshow.com,Hobbies and Leisure > Crafts,177,00:04:19,3.17,39.82%
38,iheartcraftythings.com,Hobbies and Leisure > Crafts,2,00:01:00,2.39,52.21%
39,ribblr.com,Hobbies and Leisure > Crafts,4,00:03:24,4.29,41.97%
40,uvrazh.ru,Hobbies and Leisure > Crafts,6,00:03:44,5.26,44.12%
41,irinely.art,Hobbies and Leisure > Crafts,8,00:03:17,3.52,56.26%
42,printabulls.com,Hobbies and Leisure > Crafts,4,00:01:41,3.35,38.81%
43,gosyo.co.jp,Hobbies and Leisure > Crafts,22,00:01:53,3.26,57.36%
44,li.ru,Hobbies and Leisure > Crafts,17,00:01:51,1.62,66.23%
45,corjl.com,Hobbies and Leisure > Crafts,2,00:07:48,7.31,29.77%
46,allfreecrochet.com,Hobbies and Leisure > Crafts,4,00:02:23,4.06,43.63%
47,makeanddocrew.com,Hobbies and Leisure > Crafts,8,00:01:26,1.79,51.39%
48,daisyfarmcrafts.com,Hobbies and Leisure > Crafts,7,00:01:36,1.96,51.56%
49,justcolor.net,Hobbies and Leisure > Crafts,3,00:01:15,3.35,47.21%
50,easycrochet.com,Hobbies and Leisure > Crafts,3,00:01:09,1.80,48.9%
