Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,bcgame.lu,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:01:25,1.92,84.42%
2,x2tsa.com,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:01:04,1.48,75.97%
3,imedia-stream.com,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:00:33,1.73,47.72%
4,kettakihome.com,Hobbies and Leisure > Hobbies and Leisure - Other,2,00:01:19,1.87,28.5%
5,realsrv.com,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:01:21,1.92,40.96%
6,mddsp.info,Hobbies and Leisure > Hobbies and Leisure - Other,23,00:00:15,1.05,86.04%
7,prodevreal.com,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:05:34,2.35,14.45%
8,pgsoft-games.com,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:05:23,4.05,49.86%
9,blehcourt.com,Hobbies and Leisure > Hobbies and Leisure - Other,4,00:00:14,1.12,87.47%
10,zunsoach.com,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:03:17,2.97,27.4%
11,itskiddien.club,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:03:10,3.29,25.67%
12,667bet.com,Hobbies and Leisure > Hobbies and Leisure - Other,2,00:02:58,4.47,29.91%
13,rainhadoslot.com.br,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:02:43,2.22,2.54%
14,irasutoya.com,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:06:37,8.66,28.53%
15,pops.gg,Hobbies and Leisure > Hobbies and Leisure - Other,6,00:01:23,1.60,68.03%
16,tubidy.cool,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:07:03,13.34,23.25%
17,thetime.at,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:01:52,1.66,61.91%
18,adbravotech.com,Hobbies and Leisure > Hobbies and Leisure - Other,2,00:00:41,1.19,90.21%
19,cinemascampo.com,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:02:30,4.19,31.86%
20,win444.com,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:02:16,3.94,26.75%
21,acervalpaussid.com,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:02:51,3.86,34.38%
22,olaisaac.io,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:11:44,11.11,28.02%
23,clearonclick.com,Hobbies and Leisure > Hobbies and Leisure - Other,5,00:03:24,2.30,35.45%
24,downloadgx.net,Hobbies and Leisure > Hobbies and Leisure - Other,2,00:00:16,1.08,94.71%
25,mythvista.com,Hobbies and Leisure > Hobbies and Leisure - Other,5,00:02:31,2.10,50.79%
26,d333bet.com,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:03:36,7.28,28.78%
27,gkrtmc.com,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:01:32,1.91,60.75%
28,khalsahpaizing.top,Hobbies and Leisure > Hobbies and Leisure - Other,2,00:03:46,1.95,62.84%
29,bet5u.xyz,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:01:53,5.55,14.42%
30,subscribestar.com,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:00:41,2.60,56.39%
31,car-insurance7733.blogspot.com,Hobbies and Leisure > Hobbies and Leisure - Other,6,00:00:40,1.18,84.51%
32,oalsoudaustety.net,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:04:05,2.96,29.34%
33,flyaruondtheglob.com,Hobbies and Leisure > Hobbies and Leisure - Other,65,--,1.99,4.32%
34,nsxafiliados.com,Hobbies and Leisure > Hobbies and Leisure - Other,8,00:00:16,1.35,85.09%
35,wingdas6.com,Hobbies and Leisure > Hobbies and Leisure - Other,3,00:01:48,2.44,15.68%
36,pari-match-bet.in,Hobbies and Leisure > Hobbies and Leisure - Other,2,00:01:38,2.18,54.52%
37,servetraff.com,Hobbies and Leisure > Hobbies and Leisure - Other,4,00:00:53,1.21,83.35%
38,chiiku-baby.jp,Hobbies and Leisure > Hobbies and Leisure - Other,8,00:02:46,1.92,70.38%
39,rider777.com,Hobbies and Leisure > Hobbies and Leisure - Other,3,00:01:36,2.92,13.15%
40,hanzbet.com,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:01:06,1.26,50.31%
41,sssroleta.com,Hobbies and Leisure > Hobbies and Leisure - Other,6,00:03:17,1.21,79.5%
42,jogaeparty133.com,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:06:20,9.30,18.22%
43,zzal.studio,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:03:22,5.37,35.32%
44,apostatudo.bet,Hobbies and Leisure > Hobbies and Leisure - Other,20,00:01:12,2.21,46.05%
45,bahsegel-official1.com,Hobbies and Leisure > Hobbies and Leisure - Other,3,00:02:38,1.72,59.21%
46,ingigalitha.com,Hobbies and Leisure > Hobbies and Leisure - Other,6,00:00:56,1.22,84.44%
47,sitobank.com,Hobbies and Leisure > Hobbies and Leisure - Other,3,00:03:30,1.34,68.88%
48,knownewcult.com,Hobbies and Leisure > Hobbies and Leisure - Other,=,00:00:03,1.01,99.05%
49,wi88.top,Hobbies and Leisure > Hobbies and Leisure - Other,15,00:01:26,1.39,77.9%
50,jogomanga.com,Hobbies and Leisure > Hobbies and Leisure - Other,1,00:02:09,3.24,24.54%
