Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,bandai-hobby.net,Hobbies and Leisure > Models,=,00:02:25,4.42,40.82%
2,wisetrivia.com,Hobbies and Leisure > Models,=,00:05:51,16.20,39.78%
3,scalemates.com,Hobbies and Leisure > Models,=,00:03:52,5.51,32.01%
4,getarchive.net,Hobbies and Leisure > Models,2,00:01:19,2.87,37.94%
5,ck-modelcars.de,Hobbies and Leisure > Models,=,00:02:38,6.51,48.55%
6,betafpv.com,Hobbies and Leisure > Models,1,00:02:15,4.30,31.79%
7,rcgroups.com,Hobbies and Leisure > Models,3,00:03:17,4.07,52.97%
8,britmodeller.com,Hobbies and Leisure > Models,1,00:02:22,3.38,47.06%
9,getfpv.com,Hobbies and Leisure > Models,1,00:03:05,6.02,37.01%
10,lotus-tab.com,Hobbies and Leisure > Models,=,00:01:09,1.57,66.87%
11,1zu160.net,Hobbies and Leisure > Models,4,00:06:04,4.73,26.76%
12,cnczone.com,Hobbies and Leisure > Models,1,00:04:18,5.00,32.47%
13,hobbyking.com,Hobbies and Leisure > Models,2,00:03:07,4.12,47.18%
14,rc-network.de,Hobbies and Leisure > Models,4,00:05:20,9.84,29.63%
15,maerklin.de,Hobbies and Leisure > Models,3,00:03:34,4.16,44.23%
16,d-ld.net,Hobbies and Leisure > Models,19,00:02:44,2.38,53.2%
17,only-paper.ru,Hobbies and Leisure > Models,1,00:02:59,4.87,39.57%
18,miniatur-wunderland.de,Hobbies and Leisure > Models,8,00:02:44,4.08,31.82%
19,carmodel.com,Hobbies and Leisure > Models,1,00:02:28,4.18,43.81%
20,scalebay.ru,Hobbies and Leisure > Models,8,00:09:07,7.85,37.42%
21,stummiforum.de,Hobbies and Leisure > Models,4,00:08:03,4.65,48.67%
22,karopka.ru,Hobbies and Leisure > Models,3,00:03:37,5.00,39.21%
23,spur-n-schweiz.ch,Hobbies and Leisure > Models,4,00:02:27,4.68,23.13%
24,armorama.com,Hobbies and Leisure > Models,2,00:01:31,3.70,52.13%
25,sovpilots.ru,Hobbies and Leisure > Models,11,00:00:07,1.01,99.19%
26,flitetest.com,Hobbies and Leisure > Models,3,00:01:28,4.03,46.45%
27,modelsale.com,Hobbies and Leisure > Models,3,00:05:58,10.79,26.14%
28,the-blueprints.com,Hobbies and Leisure > Models,3,00:01:35,4.39,47.46%
29,finescale.com,Hobbies and Leisure > Models,8,00:00:59,2.90,46.48%
30,revell.de,Hobbies and Leisure > Models,6,00:02:00,3.92,40.52%
31,esu.eu,Hobbies and Leisure > Models,31,00:03:18,7.21,34.06%
32,rocketryforum.com,Hobbies and Leisure > Models,2,00:03:30,5.67,44.1%
33,3rail.nl,Hobbies and Leisure > Models,=,00:05:49,4.16,23.41%
34,vintageaviationnews.com,Hobbies and Leisure > Models,11,00:00:58,1.56,52.45%
35,roco.cc,Hobbies and Leisure > Models,9,00:02:46,4.68,41.35%
36,largescaleplanes.com,Hobbies and Leisure > Models,19,00:02:19,4.13,38.38%
37,livecarmodel.com,Hobbies and Leisure > Models,5,00:01:02,6.77,42.96%
38,modelingmadness.com,Hobbies and Leisure > Models,2,00:01:11,2.25,50.4%
39,modelforum.cz,Hobbies and Leisure > Models,4,00:04:45,7.43,35.33%
40,scalemodels.ru,Hobbies and Leisure > Models,2,00:02:04,5.02,46.75%
41,themodellingnews.com,Hobbies and Leisure > Models,6,00:00:58,2.49,51.06%
42,modellversium.de,Hobbies and Leisure > Models,3,00:00:58,2.46,48.89%
43,hyperscale.com,Hobbies and Leisure > Models,1,00:00:40,2.26,43.26%
44,modelcarsmag.com,Hobbies and Leisure > Models,7,00:01:53,3.39,48.38%
45,mmzone.co.kr,Hobbies and Leisure > Models,14,00:03:48,11.64,38.72%
46,stunthanger.com,Hobbies and Leisure > Models,13,00:04:39,5.00,20.19%
47,rotorriot.com,Hobbies and Leisure > Models,10,00:01:30,3.56,40.95%
48,farposst.ru,Hobbies and Leisure > Models,6,00:02:53,3.90,34.85%
49,bahnorama.ch,Hobbies and Leisure > Models,20,00:02:18,4.29,44.8%
50,modelshipworld.com,Hobbies and Leisure > Models,=,00:02:11,3.06,48.77%
