Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,ikea.com,Home and Garden > Furniture,=,00:04:48,6.63,32.15%
2,nitori-net.jp,Home and Garden > Furniture,=,00:03:39,4.11,55.12%
3,ashleyfurniture.com,Home and Garden > Furniture,=,00:03:37,3.72,53.01%
4,homedepot.com.mx,Home and Garden > Furniture,=,00:03:13,3.86,50.28%
5,crateandbarrel.com,Home and Garden > Furniture,=,00:03:27,4.37,41.51%
6,wayfair.co.uk,Home and Garden > Furniture,=,00:04:10,4.97,44.81%
7,xxxlutz.de,Home and Garden > Furniture,=,00:03:57,4.44,43.74%
8,sklum.com,Home and Garden > Furniture,1,00:04:00,4.83,44.21%
9,mybobs.com,Home and Garden > Furniture,1,00:03:55,4.17,51.48%
10,mattressfirm.com,Home and Garden > Furniture,1,00:03:11,3.48,52.57%
11,templeandwebster.com.au,Home and Garden > Furniture,3,00:04:42,5.49,43.84%
12,article.com,Home and Garden > Furniture,1,00:03:22,4.91,29.9%
13,roomstogo.com,Home and Garden > Furniture,3,00:04:49,5.10,51.95%
14,cb2.com,Home and Garden > Furniture,4,00:02:59,3.92,39.43%
15,livingspaces.com,Home and Garden > Furniture,3,00:03:50,4.53,44.6%
16,elmueble.com,Home and Garden > Furniture,1,00:01:28,2.95,58.04%
17,castlery.com,Home and Garden > Furniture,2,00:02:48,3.46,29.58%
18,allmodern.com,Home and Garden > Furniture,2,00:03:25,4.86,41.12%
19,perigold.com,Home and Garden > Furniture,5,00:03:32,4.29,50.47%
20,dfs.co.uk,Home and Garden > Furniture,6,00:03:53,4.31,47.41%
21,sleepnumber.com,Home and Garden > Furniture,6,00:02:36,3.08,55.2%
22,dispatchtrack.com,Home and Garden > Furniture,7,00:07:50,5.46,42.17%
23,homary.com,Home and Garden > Furniture,2,00:02:10,3.10,40.99%
24,hoeffner.de,Home and Garden > Furniture,7,00:03:50,4.38,49.5%
25,birchlane.com,Home and Garden > Furniture,17,00:03:04,4.28,47.85%
26,nectarsleep.com,Home and Garden > Furniture,15,00:02:25,2.05,59.34%
27,xxxlutz.at,Home and Garden > Furniture,2,00:04:03,4.76,44.87%
28,la-z-boy.com,Home and Garden > Furniture,=,00:04:07,4.29,47.44%
29,pepperfry.com,Home and Garden > Furniture,2,00:03:49,4.72,38.64%
30,moebel.de,Home and Garden > Furniture,7,00:02:17,3.08,50%
31,westwing.de,Home and Garden > Furniture,1,00:03:09,4.44,34.72%
32,obramat.es,Home and Garden > Furniture,6,00:04:59,4.71,40.74%
33,moemax.de,Home and Garden > Furniture,3,00:03:13,3.83,45.19%
34,homecentre.com,Home and Garden > Furniture,16,00:03:11,5.06,43.84%
35,divan.ru,Home and Garden > Furniture,=,00:02:26,3.83,37.31%
36,fantasticfurniture.com.au,Home and Garden > Furniture,14,00:04:00,4.30,40.89%
37,roller.de,Home and Garden > Furniture,3,00:03:35,3.87,46.35%
38,wakefit.co,Home and Garden > Furniture,5,00:02:31,5.80,29.33%
39,nonton.ru,Home and Garden > Furniture,9,00:03:52,5.13,41.49%
40,rh.com,Home and Garden > Furniture,=,00:03:03,5.32,47.01%
41,rentacenter.com,Home and Garden > Furniture,3,00:03:35,5.81,35.18%
42,daals.co.uk,Home and Garden > Furniture,2,00:02:22,4.82,23.78%
43,habitat.co.uk,Home and Garden > Furniture,=,00:03:08,4.07,42.18%
44,structube.com,Home and Garden > Furniture,7,00:03:45,8.99,37.25%
45,saatva.com,Home and Garden > Furniture,23,00:02:09,2.45,58.3%
46,arhaus.com,Home and Garden > Furniture,2,00:03:55,6.80,37.49%
47,roomandboard.com,Home and Garden > Furniture,2,00:04:05,4.64,33.11%
48,mobly.com.br,Home and Garden > Furniture,6,00:03:13,4.45,44.85%
49,thebrick.com,Home and Garden > Furniture,4,00:04:04,6.39,41.02%
50,low-ya.com,Home and Garden > Furniture,2,00:03:38,2.98,52.07%
