Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,mein-schoener-garten.de,Home and Garden > Gardening,2,00:01:26,1.60,57.98%
2,shuminoengei.jp,Home and Garden > Gardening,=,00:02:14,3.20,53.86%
3,kaercher.com,Home and Garden > Gardening,2,00:02:48,3.29,43.06%
4,rhs.org.uk,Home and Garden > Gardening,=,00:02:48,2.51,55.3%
5,gardeningknowhow.com,Home and Garden > Gardening,=,00:01:09,1.52,69%
6,picturethisai.com,Home and Garden > Gardening,1,00:01:03,1.57,47.65%
7,gardenersworld.com,Home and Garden > Gardening,1,00:02:05,1.79,59.06%
8,chez-vous.info,Home and Garden > Gardening,2,00:01:20,2.66,35.75%
9,7dach.ru,Home and Garden > Gardening,=,00:01:12,1.56,55.04%
10,plantura.garden,Home and Garden > Gardening,2,00:01:05,1.60,61.34%
11,intratuin.nl,Home and Garden > Gardening,=,00:03:29,4.74,46.66%
12,ogorod.ru,Home and Garden > Gardening,2,00:01:51,1.87,45.41%
13,greg.app,Home and Garden > Gardening,=,00:01:19,1.60,63.48%
14,promessedefleurs.com,Home and Garden > Gardening,3,00:09:56,4.00,39.03%
15,greensnap.co.jp,Home and Garden > Gardening,5,00:01:13,1.41,77.58%
16,epicgardening.com,Home and Garden > Gardening,=,00:01:29,2.34,54.22%
17,rustica.fr,Home and Garden > Gardening,1,00:00:59,1.72,64.69%
18,jardiland.com,Home and Garden > Gardening,1,00:02:08,2.87,48.45%
19,blomsterlandet.se,Home and Garden > Gardening,6,00:02:57,3.02,55.93%
20,botanichka.ru,Home and Garden > Gardening,4,00:02:02,1.70,64.88%
21,agro-market.net,Home and Garden > Gardening,2,00:03:39,5.49,43.84%
22,games.chez-vous.info,Home and Garden > Gardening,=,00:00:38,2.29,9.58%
23,sad-i-ogorod.ru,Home and Garden > Gardening,2,00:04:17,7.48,35.74%
24,greenculturesg.com,Home and Garden > Gardening,=,00:05:16,7.11,35.81%
25,dachnyuchastok.ru,Home and Garden > Gardening,32,00:01:10,1.68,40.37%
26,semena74.com,Home and Garden > Gardening,11,00:04:01,5.16,24.69%
27,greensnap.jp,Home and Garden > Gardening,7,00:01:34,1.57,72.39%
28,urvann.com,Home and Garden > Gardening,1,00:03:48,3.78,52.41%
29,orton.ru,Home and Garden > Gardening,23,00:01:07,1.40,51.3%
30,lubera.com,Home and Garden > Gardening,6,00:01:32,2.17,56.61%
31,baumschule-horstmann.de,Home and Garden > Gardening,13,00:03:15,3.85,48.54%
32,poradnikogrodniczy.pl,Home and Garden > Gardening,5,00:00:58,1.51,38.01%
33,antonovsad.ru,Home and Garden > Gardening,42,00:00:45,1.26,58.47%
34,ruralsprout.com,Home and Garden > Gardening,3,00:01:00,1.35,70.75%
35,agro-market24.ru,Home and Garden > Gardening,1,00:01:51,3.23,43.51%
36,garden.org,Home and Garden > Gardening,3,00:01:36,2.65,60.18%
37,gerbeaud.com,Home and Garden > Gardening,7,00:01:13,1.61,64.64%
38,diyeverywhere.com,Home and Garden > Gardening,31,00:02:11,1.60,70.41%
39,ugaoo.com,Home and Garden > Gardening,13,00:02:07,3.76,42.55%
40,infojardin.com,Home and Garden > Gardening,8,00:01:34,2.23,57.72%
41,willemsefrance.fr,Home and Garden > Gardening,19,00:02:36,3.87,42.53%
42,lovegreen.net,Home and Garden > Gardening,14,00:01:44,1.57,69.29%
43,florium.ua,Home and Garden > Gardening,4,00:04:03,5.26,41.9%
44,semena.ru,Home and Garden > Gardening,3,00:03:23,6.07,39.64%
45,garshinka.ru,Home and Garden > Gardening,10,00:02:31,3.32,48.56%
46,gardenmart24.ru,Home and Garden > Gardening,22,00:02:21,2.71,52.3%
47,birdsandblooms.com,Home and Garden > Gardening,4,00:01:13,1.70,54.54%
48,hitohana.tokyo,Home and Garden > Gardening,6,00:02:38,2.44,67.81%
49,semena-zakaz.ru,Home and Garden > Gardening,2,00:05:51,6.80,49.4%
50,gardena.com,Home and Garden > Gardening,=,00:02:37,2.82,51.48%
