Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,homedepot.com,Home and Garden > Home and Garden - Other,=,00:04:53,5.18,39.07%
2,vseinstrumenti.ru,Home and Garden > Home and Garden - Other,1,00:05:43,6.14,29.55%
3,harborfreight.com,Home and Garden > Home and Garden - Other,1,00:03:29,4.01,45.45%
4,leroymerlin.fr,Home and Garden > Home and Garden - Other,=,00:04:30,5.42,35%
5,lemanapro.ru,Home and Garden > Home and Garden - Other,6,00:04:54,5.31,28.77%
6,diy.com,Home and Garden > Home and Garden - Other,2,00:04:13,4.32,48.33%
7,bunnings.com.au,Home and Garden > Home and Garden - Other,2,00:03:52,4.33,42.99%
8,screwfix.com,Home and Garden > Home and Garden - Other,1,00:04:27,4.87,45.38%
9,menards.com,Home and Garden > Home and Garden - Other,2,00:04:52,6.04,36.93%
10,dunelm.com,Home and Garden > Home and Garden - Other,4,00:05:05,5.96,40.71%
11,homedepot.ca,Home and Garden > Home and Garden - Other,1,00:04:22,4.43,38.88%
12,leroymerlin.es,Home and Garden > Home and Garden - Other,=,00:04:07,5.43,40.14%
13,acehardware.com,Home and Garden > Home and Garden - Other,=,00:03:31,3.86,50.41%
14,wink.ru,Home and Garden > Home and Garden - Other,=,00:03:35,3.22,42.89%
15,joann.com,Home and Garden > Home and Garden - Other,2,00:04:31,6.35,42.25%
16,uhaul.com,Home and Garden > Home and Garden - Other,6,00:05:13,5.63,39.68%
17,potterybarn.com,Home and Garden > Home and Garden - Other,1,00:03:44,4.36,42.32%
18,leroymerlin.com.br,Home and Garden > Home and Garden - Other,1,00:03:00,3.53,55.04%
19,leroymerlin.it,Home and Garden > Home and Garden - Other,4,00:03:29,4.31,43.7%
20,wayfair.ca,Home and Garden > Home and Garden - Other,2,00:04:54,5.87,44.04%
21,maisonsdumonde.com,Home and Garden > Home and Garden - Other,6,00:04:13,5.11,40.95%
22,aquareader.net,Home and Garden > Home and Garden - Other,3,00:21:59,8.78,26.07%
23,bhg.com,Home and Garden > Home and Garden - Other,2,00:01:25,2.26,55.08%
24,madeiramadeira.com.br,Home and Garden > Home and Garden - Other,4,00:03:49,3.38,46.9%
25,paragonrels.com,Home and Garden > Home and Garden - Other,4,00:05:57,3.96,27.51%
26,manomano.fr,Home and Garden > Home and Garden - Other,2,00:03:02,3.68,37.01%
27,therange.co.uk,Home and Garden > Home and Garden - Other,1,00:04:02,5.24,48.62%
28,lixil.co.jp,Home and Garden > Home and Garden - Other,9,00:06:07,4.97,37.39%
29,homesandgardens.com,Home and Garden > Home and Garden - Other,1,00:01:07,1.63,48.48%
30,leroymerlin.pl,Home and Garden > Home and Garden - Other,10,00:02:45,4.97,24.8%
31,toolstation.com,Home and Garden > Home and Garden - Other,2,00:04:16,4.75,39.47%
32,spareroom.co.uk,Home and Garden > Home and Garden - Other,4,00:06:38,8.56,27.97%
33,buyersguide.org,Home and Garden > Home and Garden - Other,7,00:01:49,2.08,63.04%
34,dedeman.ro,Home and Garden > Home and Garden - Other,4,00:03:47,4.33,34.29%
35,castorama.fr,Home and Garden > Home and Garden - Other,6,00:03:23,3.88,37.67%
36,wickes.co.uk,Home and Garden > Home and Garden - Other,8,00:04:08,4.49,44.74%
37,hoff.ru,Home and Garden > Home and Garden - Other,2,00:04:32,6.15,26.65%
38,build.com,Home and Garden > Home and Garden - Other,1,00:05:11,7.42,46.84%
39,gls-group.com,Home and Garden > Home and Garden - Other,7,00:02:04,1.80,65.27%
40,but.fr,Home and Garden > Home and Garden - Other,13,00:03:20,4.70,29.75%
41,sodimac.cl,Home and Garden > Home and Garden - Other,1,00:05:28,6.47,43.27%
42,zarahome.com,Home and Garden > Home and Garden - Other,11,00:03:46,5.40,33.52%
43,freecycle.org,Home and Garden > Home and Garden - Other,2,00:05:52,5.60,32.1%
44,conforama.fr,Home and Garden > Home and Garden - Other,10,00:03:25,4.63,31.01%
45,litfad.com,Home and Garden > Home and Garden - Other,2,00:02:03,3.75,46.08%
46,praxis.nl,Home and Garden > Home and Garden - Other,4,00:03:46,4.29,43.02%
47,gamma.nl,Home and Garden > Home and Garden - Other,=,00:03:27,4.57,42.94%
48,afamily.vn,Home and Garden > Home and Garden - Other,=,00:01:56,2.75,31.96%
49,thumbtack.com,Home and Garden > Home and Garden - Other,3,00:03:26,3.93,46.19%
50,flooranddecor.com,Home and Garden > Home and Garden - Other,2,00:04:32,5.96,44.33%
