Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,moonshot.cn,Jobs and Career > Human Resources,1,00:04:03,2.86,31.84%
2,animesugetv.to,Jobs and Career > Human Resources,2,00:09:00,5.11,40.2%
3,16personalities.com,Jobs and Career > Human Resources,2,00:05:01,2.99,49.37%
4,yts-official.mx,Jobs and Career > Human Resources,2,00:03:57,6.00,31.76%
5,bunkr.ph,Jobs and Career > Human Resources,4,00:03:34,3.77,46.36%
6,gusto.com,Jobs and Career > Human Resources,1,00:04:34,7.36,33.95%
7,ashbyhq.com,Jobs and Career > Human Resources,2,00:03:16,3.28,41.83%
8,pm61qtrk.com,Jobs and Career > Human Resources,=,00:01:39,1.81,61.9%
9,omzal.com,Jobs and Career > Human Resources,43,00:01:16,1.93,40.15%
10,jobs.ashbyhq.com,Jobs and Career > Human Resources,=,00:03:00,2.62,44.5%
11,luacomic.org,Jobs and Career > Human Resources,1,00:05:32,3.04,66.6%
12,shopping.bookoff.co.jp,Jobs and Career > Human Resources,1,00:04:18,5.22,42.18%
13,tosspayments.com,Jobs and Career > Human Resources,2,00:02:32,3.35,22.32%
14,dol.gov,Jobs and Career > Human Resources,=,00:02:23,2.91,58.77%
15,ukg.net,Jobs and Career > Human Resources,2,00:04:26,5.90,29.1%
16,startuppedia.in,Jobs and Career > Human Resources,10,00:01:36,1.55,51.91%
17,myid.gov.au,Jobs and Career > Human Resources,1,00:02:56,3.09,19.13%
18,playdesi.net,Jobs and Career > Human Resources,2,00:03:49,2.66,44.69%
19,privatter.me,Jobs and Career > Human Resources,1,00:05:48,3.49,47.45%
20,cokcoktv4.com,Jobs and Career > Human Resources,1,00:08:21,7.52,20.38%
21,mojposao.hr,Jobs and Career > Human Resources,2,00:03:10,2.90,61.94%
22,kdelo.ru,Jobs and Career > Human Resources,12,00:01:49,1.89,62.63%
23,abfrl.in,Jobs and Career > Human Resources,4,00:03:34,4.94,40.24%
24,mycareersfuture.gov.sg,Jobs and Career > Human Resources,8,00:05:22,7.76,33.36%
25,streamlit.app,Jobs and Career > Human Resources,2,00:03:44,2.20,57.94%
26,theforage.com,Jobs and Career > Human Resources,2,00:04:16,5.83,40.98%
27,pinpointhq.com,Jobs and Career > Human Resources,2,00:02:33,3.07,44.16%
28,jss.com.cn,Jobs and Career > Human Resources,6,00:01:58,3.13,34.53%
29,monad.xyz,Jobs and Career > Human Resources,334,00:04:50,2.41,51.92%
30,meritzpartners.com,Jobs and Career > Human Resources,3,00:00:26,1.13,93.51%
31,leadermune.com,Jobs and Career > Human Resources,6,00:02:39,1.75,68.81%
32,prosple.com,Jobs and Career > Human Resources,15,00:02:43,3.59,42.3%
33,finn-app.com,Jobs and Career > Human Resources,2,00:02:08,1.53,66.36%
34,wageworks.com,Jobs and Career > Human Resources,4,00:06:34,10.19,24.08%
35,trinet.com,Jobs and Career > Human Resources,4,00:01:58,2.84,27.43%
36,recruitingbypaycor.com,Jobs and Career > Human Resources,18,00:03:03,3.30,45.51%
37,peopleadmin.com,Jobs and Career > Human Resources,4,00:06:45,6.75,38.03%
38,internet.in,Jobs and Career > Human Resources,21,00:02:41,4.78,46.01%
39,shrm.org,Jobs and Career > Human Resources,11,00:02:06,3.21,55.28%
40,stremio-addons.com,Jobs and Career > Human Resources,2,00:02:40,2.55,48.25%
41,careers.adobe.com,Jobs and Career > Human Resources,3,00:04:41,5.76,36.38%
42,sparkdriverapp.com,Jobs and Career > Human Resources,7,00:02:08,1.99,54.19%
43,hirevue.com,Jobs and Career > Human Resources,5,00:03:09,2.86,50.65%
44,gamatotv.info,Jobs and Career > Human Resources,7,00:03:11,4.59,36.94%
45,search-redir.com,Jobs and Career > Human Resources,4,00:05:10,1.66,69.04%
46,super.money,Jobs and Career > Human Resources,1,00:01:06,1.50,71.56%
47,cloud.tkc.co.jp,Jobs and Career > Human Resources,6,00:23:25,22.74,9.98%
48,wrkstrm.us,Jobs and Career > Human Resources,14,00:01:25,1.44,74.58%
49,1tamilblasters.ink,Jobs and Career > Human Resources,19,00:00:47,1.23,90.91%
50,1337x.pics,Jobs and Career > Human Resources,14,00:01:52,6.30,39.54%
