Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,unstop.com,Jobs and Career > Jobs and Career - Other,3,00:03:48,4.13,45.54%
2,paradox.ai,Jobs and Career > Jobs and Career - Other,1,00:03:08,3.25,44.9%
3,district.in,Jobs and Career > Jobs and Career - Other,1,00:01:50,2.38,63.66%
4,brassring.com,Jobs and Career > Jobs and Career - Other,1,00:04:51,5.11,27.81%
5,kusuguru.co.jp,Jobs and Career > Jobs and Career - Other,1,00:02:35,2.59,47.77%
6,inforcloudsuite.com,Jobs and Career > Jobs and Career - Other,1,00:13:49,13.85,18.92%
7,workday.com,Jobs and Career > Jobs and Career - Other,=,00:07:07,8.20,43.83%
8,crowdgen.com,Jobs and Career > Jobs and Career - Other,=,00:04:36,5.24,51.48%
9,builtin.com,Jobs and Career > Jobs and Career - Other,=,00:01:58,3.29,65.42%
10,parcoursup.gouv.fr,Jobs and Career > Jobs and Career - Other,=,00:02:28,1.83,64.13%
11,italent.cn,Jobs and Career > Jobs and Career - Other,=,00:37:05,15.09,18.69%
12,shl.com,Jobs and Career > Jobs and Career - Other,1,00:08:30,7.29,24.24%
13,charlotte.edu,Jobs and Career > Jobs and Career - Other,3,00:06:40,5.92,30.85%
14,talentd.in,Jobs and Career > Jobs and Career - Other,=,00:02:39,2.95,53.21%
15,jobright.ai,Jobs and Career > Jobs and Career - Other,3,00:09:07,6.48,27.26%
16,jobs.flybreeze.com,Jobs and Career > Jobs and Career - Other,11,--,1.19,85.79%
17,spp-indonesia.com,Jobs and Career > Jobs and Career - Other,=,00:05:53,5.47,36.88%
18,modernhire.com,Jobs and Career > Jobs and Career - Other,3,00:10:12,9.64,32.85%
19,proson.gr,Jobs and Career > Jobs and Career - Other,5,00:00:23,1.70,19.61%
20,jobfind.gr,Jobs and Career > Jobs and Career - Other,4,00:04:24,7.21,24.73%
21,hint.app,Jobs and Career > Jobs and Career - Other,4,00:02:02,2.98,63.84%
22,krogerfamilycareers.com,Jobs and Career > Jobs and Career - Other,1,00:05:18,6.36,32.96%
23,simplify.jobs,Jobs and Career > Jobs and Career - Other,4,00:05:48,7.02,32.26%
24,hiring.cafe,Jobs and Career > Jobs and Career - Other,1,00:04:25,4.29,40.84%
25,glassdoor.sg,Jobs and Career > Jobs and Career - Other,=,00:02:35,3.52,39.01%
26,pkpics.site,Jobs and Career > Jobs and Career - Other,=,00:03:33,3.25,30.16%
27,schooljobs.com,Jobs and Career > Jobs and Career - Other,5,00:04:55,6.23,39.8%
28,cloud.italent.cn,Jobs and Career > Jobs and Career - Other,12,00:29:24,7.23,32.19%
29,bollyflix.biz,Jobs and Career > Jobs and Career - Other,=,00:00:50,3.79,31.58%
30,zhiye.com,Jobs and Career > Jobs and Career - Other,25,00:05:17,8.33,21.83%
31,brightnetwork.co.uk,Jobs and Career > Jobs and Career - Other,2,00:04:08,5.73,44.01%
32,careers.airbnb.com,Jobs and Career > Jobs and Career - Other,2,00:01:46,4.01,54.33%
33,hirevue-app.com,Jobs and Career > Jobs and Career - Other,5,00:19:19,6.11,24.48%
34,personio.com,Jobs and Career > Jobs and Career - Other,3,00:01:30,2.25,52.68%
35,navan.com,Jobs and Career > Jobs and Career - Other,5,00:07:31,9.08,21.94%
36,oli.vi,Jobs and Career > Jobs and Career - Other,=,00:02:06,1.30,83.08%
37,yello.co,Jobs and Career > Jobs and Career - Other,2,00:03:13,3.44,44.32%
38,hirequotient.com,Jobs and Career > Jobs and Career - Other,18,00:00:54,1.81,52.15%
39,careers.mastercard.com,Jobs and Career > Jobs and Career - Other,8,00:04:38,4.51,37.14%
40,jobs.ubs.com,Jobs and Career > Jobs and Career - Other,7,00:03:38,4.72,24.89%
41,jobly.fi,Jobs and Career > Jobs and Career - Other,8,00:04:46,5.29,40.61%
42,hotjob.cn,Jobs and Career > Jobs and Career - Other,39,00:05:14,9.30,20.44%
43,careers.jpmorgan.com,Jobs and Career > Jobs and Career - Other,8,00:01:15,2.92,46.03%
44,chnenergy.com.cn,Jobs and Career > Jobs and Career - Other,1,00:06:48,8.46,13.29%
45,cgpa2percentage.com,Jobs and Career > Jobs and Career - Other,14,00:02:11,2.11,50.96%
46,aicteinternship.in,Jobs and Career > Jobs and Career - Other,=,00:02:21,1.91,50.79%
47,newaiming.com,Jobs and Career > Jobs and Career - Other,9,00:02:41,2.40,73.67%
48,recruitcrm.io,Jobs and Career > Jobs and Career - Other,4,00:03:47,3.37,48.47%
49,careers.blackrock.com,Jobs and Career > Jobs and Career - Other,12,00:01:21,2.21,55.49%
50,m12333.cn,Jobs and Career > Jobs and Career - Other,8,00:01:12,2.54,43.41%
