Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,indeed.com,Jobs and Career > Jobs and Employment,=,00:07:39,10.44,27.96%
2,myworkdayjobs.com,Jobs and Career > Jobs and Employment,=,00:05:28,4.40,36.18%
3,hh.ru,Jobs and Career > Jobs and Employment,1,00:07:36,7.09,34.31%
4,computrabajo.com,Jobs and Career > Jobs and Employment,1,00:06:24,11.15,32.15%
5,glassdoor.com,Jobs and Career > Jobs and Employment,=,00:03:15,3.66,43.28%
6,jooble.org,Jobs and Career > Jobs and Employment,=,00:04:48,4.45,30.37%
7,seek.com.au,Jobs and Career > Jobs and Employment,2,00:06:19,7.19,33.51%
8,appcast.io,Jobs and Career > Jobs and Employment,1,00:01:18,1.67,61.6%
9,greenhouse.io,Jobs and Career > Jobs and Employment,1,00:04:19,3.14,45.01%
10,ziprecruiter.com,Jobs and Career > Jobs and Employment,2,00:04:08,5.42,44.91%
11,naukri.com,Jobs and Career > Jobs and Employment,=,00:07:20,8.15,30.85%
12,francetravail.fr,Jobs and Career > Jobs and Employment,=,00:06:03,9.44,46.7%
13,ultipro.com,Jobs and Career > Jobs and Employment,=,00:04:26,5.16,30.16%
14,successfactors.eu,Jobs and Career > Jobs and Employment,4,00:04:34,4.77,29.63%
15,arbeitsagentur.de,Jobs and Career > Jobs and Employment,1,00:06:15,10.43,30.31%
16,jobstreet.com,Jobs and Career > Jobs and Employment,1,00:05:18,6.93,41.16%
17,gupy.io,Jobs and Career > Jobs and Employment,=,00:05:44,6.41,35.45%
18,taleo.net,Jobs and Career > Jobs and Employment,2,00:05:16,9.17,30.72%
19,dayforcehcm.com,Jobs and Career > Jobs and Employment,=,00:03:35,4.61,28.84%
20,joongang.co.kr,Jobs and Career > Jobs and Employment,6,00:02:55,2.18,63.87%
21,104.com.tw,Jobs and Career > Jobs and Employment,9,00:08:05,8.20,29.81%
22,saramin.co.kr,Jobs and Career > Jobs and Employment,4,00:06:50,10.44,27.62%
23,csod.com,Jobs and Career > Jobs and Employment,=,00:06:47,8.68,30.34%
24,doda.jp,Jobs and Career > Jobs and Employment,3,00:05:55,5.64,47.47%
25,infojobs.com.br,Jobs and Career > Jobs and Employment,3,00:04:47,6.17,36.21%
26,governmentjobs.com,Jobs and Career > Jobs and Employment,1,00:06:41,7.32,33.76%
27,smartrecruiters.com,Jobs and Career > Jobs and Employment,5,00:04:00,3.45,37.65%
28,careerpower.in,Jobs and Career > Jobs and Employment,7,00:02:06,1.72,65.51%
29,talent.com,Jobs and Career > Jobs and Employment,5,00:02:00,2.62,50.1%
30,lever.co,Jobs and Career > Jobs and Employment,1,00:03:51,3.18,41.03%
31,amazon.jobs,Jobs and Career > Jobs and Employment,2,00:03:37,5.22,37.06%
32,stepstone.de,Jobs and Career > Jobs and Employment,1,00:04:15,4.54,34.43%
33,bamboohr.com,Jobs and Career > Jobs and Employment,5,00:03:00,3.46,48.88%
34,jobkorea.co.kr,Jobs and Career > Jobs and Employment,5,00:06:38,8.74,31.28%
35,zhipin.com,Jobs and Career > Jobs and Employment,48,00:08:58,9.51,26.4%
36,jobs.lever.co,Jobs and Career > Jobs and Employment,2,00:03:22,2.72,44.49%
37,bio.site,Jobs and Career > Jobs and Employment,60,00:02:16,2.21,63.14%
38,books.ms,Jobs and Career > Jobs and Employment,=,00:04:36,3.51,42.36%
39,pracuj.pl,Jobs and Career > Jobs and Employment,3,00:05:19,6.64,27.02%
40,求人ボックス.com,Jobs and Career > Jobs and Employment,10,00:03:19,6.36,26.98%
41,jobs.smartrecruiters.com,Jobs and Career > Jobs and Employment,3,00:03:44,2.96,41.77%
42,infojobs.net,Jobs and Career > Jobs and Employment,4,00:04:57,6.91,29.96%
43,coxautoinc.com,Jobs and Career > Jobs and Employment,3,00:22:01,13.13,24.31%
44,jobcase.com,Jobs and Career > Jobs and Employment,6,00:02:35,2.77,48.73%
45,glassdoor.co.in,Jobs and Career > Jobs and Employment,4,00:02:35,2.94,39.25%
46,74.ru,Jobs and Career > Jobs and Employment,4,00:04:14,4.45,24.58%
47,ambitionbox.com,Jobs and Career > Jobs and Employment,2,00:02:25,2.60,51.55%
48,hellowork.com,Jobs and Career > Jobs and Employment,=,00:02:45,4.93,28.1%
49,kariyer.net,Jobs and Career > Jobs and Employment,=,00:05:03,6.53,35.74%
50,lidl.com,Jobs and Career > Jobs and Employment,7,00:01:31,3.35,35.47%
