Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,gosuslugi.ru,Law and Government > Government,3,00:04:08,6.24,18.02%
2,turkiye.gov.tr,Law and Government > Government,=,00:04:07,6.09,26.17%
3,acesso.gov.br,Law and Government > Government,2,00:03:53,3.02,51.53%
4,gov.br,Law and Government > Government,1,00:03:02,2.96,50.31%
5,sp.gov.br,Law and Government > Government,=,00:07:57,6.65,40.26%
6,gov.uk,Law and Government > Government,=,00:02:54,2.37,55.64%
7,irs.gov,Law and Government > Government,6,00:04:34,4.96,35.4%
8,japanpost.jp,Law and Government > Government,=,00:02:50,3.83,45.1%
9,service.gov.uk,Law and Government > Government,2,00:06:19,8.69,30.38%
10,mos.ru,Law and Government > Government,1,00:05:59,7.45,27.85%
11,sarkariresult.com,Law and Government > Government,1,00:04:23,3.09,35.59%
12,canada.ca,Law and Government > Government,2,00:04:33,3.84,40.64%
13,uidai.gov.in,Law and Government > Government,3,00:06:51,6.46,28.86%
14,fazenda.gov.br,Law and Government > Government,3,00:10:04,7.40,24.31%
15,kemdikbud.go.id,Law and Government > Government,=,00:06:16,6.27,40.05%
16,gob.mx,Law and Government > Government,6,00:03:31,2.23,61.25%
17,europa.eu,Law and Government > Government,3,00:04:18,4.68,47.32%
18,thuvienphapluat.vn,Law and Government > Government,2,00:07:16,3.31,32.46%
19,mg.gov.br,Law and Government > Government,2,00:08:15,6.97,35.55%
20,satta-king-fast.com,Law and Government > Government,3,00:04:46,1.85,60.71%
21,nta.go.jp,Law and Government > Government,18,00:12:31,17.60,34.47%
22,mhlw.go.jp,Law and Government > Government,3,00:04:59,5.10,51.29%
23,ssa.gov,Law and Government > Government,6,00:06:23,9.12,29.04%
24,nalog.ru,Law and Government > Government,9,00:06:39,7.05,32.95%
25,royalmail.com,Law and Government > Government,6,00:03:29,4.20,30.99%
26,indiapost.gov.in,Law and Government > Government,2,00:02:32,4.14,48.25%
27,state.gov,Law and Government > Government,1,00:07:30,7.29,43.08%
28,pajak.go.id,Law and Government > Government,19,00:13:28,13.38,34.22%
29,eci.gov.in,Law and Government > Government,43,00:12:10,8.41,36.96%
30,correios.com.br,Law and Government > Government,3,00:03:05,3.15,40.26%
31,service-public.fr,Law and Government > Government,1,00:02:08,2.30,51.52%
32,rj.gov.br,Law and Government > Government,4,00:06:42,5.57,37.43%
33,laposte.fr,Law and Government > Government,1,00:02:06,3.62,30.54%
34,nsw.gov.au,Law and Government > Government,4,00:03:25,4.03,42.6%
35,rajasthan.gov.in,Law and Government > Government,1,00:12:03,13.56,33.71%
36,inps.it,Law and Government > Government,7,00:07:17,11.56,21.16%
37,parivahan.gov.in,Law and Government > Government,6,00:10:48,12.83,31.4%
38,pr.gov.br,Law and Government > Government,2,00:07:58,6.51,34.97%
39,epfindia.gov.in,Law and Government > Government,4,00:09:52,10.81,25.4%
40,sunat.gob.pe,Law and Government > Government,3,00:11:47,7.49,25.11%
41,meb.gov.tr,Law and Government > Government,23,00:05:38,6.16,29.96%
42,mlit.go.jp,Law and Government > Government,15,00:04:33,4.23,45.42%
43,ny.gov,Law and Government > Government,2,00:04:44,6.84,43.8%
44,saglik.gov.tr,Law and Government > Government,1,00:05:41,6.68,43.06%
45,kemenag.go.id,Law and Government > Government,11,00:05:32,6.83,31.34%
46,gst.gov.in,Law and Government > Government,12,00:13:45,13.74,24.98%
47,argentina.gob.ar,Law and Government > Government,8,00:02:09,3.23,64.53%
48,sat.gob.mx,Law and Government > Government,6,00:12:02,14.31,25.47%
49,uyap.gov.tr,Law and Government > Government,3,00:09:55,9.71,15.26%
50,gouv.qc.ca,Law and Government > Government,1,00:04:47,5.84,39.46%
