Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,truthfinder.com,Law and Government > Law Enforcement and Protective Services,=,00:03:38,3.41,57.78%
2,bustednewspaper.com,Law and Government > Law Enforcement and Protective Services,=,00:03:02,5.02,44.97%
3,civicshout.com,Law and Government > Law Enforcement and Protective Services,=,00:02:51,2.89,21.01%
4,arrests.org,Law and Government > Law Enforcement and Protective Services,=,00:03:37,5.05,35.64%
5,spotcrime.com,Law and Government > Law Enforcement and Protective Services,1,00:02:00,3.06,45.45%
6,govsalaries.com,Law and Government > Law Enforcement and Protective Services,1,00:03:17,6.39,45.8%
7,law.com,Law and Government > Law Enforcement and Protective Services,2,00:01:11,1.89,58.96%
8,websleuths.com,Law and Government > Law Enforcement and Protective Services,=,00:09:04,9.15,31.16%
9,smartbackgroundchecks.com,Law and Government > Law Enforcement and Protective Services,=,00:07:47,7.52,36.39%
10,neighbor.report,Law and Government > Law Enforcement and Protective Services,3,00:01:28,2.72,61.31%
11,cyberbackgroundchecks.com,Law and Government > Law Enforcement and Protective Services,6,00:03:45,5.19,41.52%
12,publicrecordreports.com,Law and Government > Law Enforcement and Protective Services,=,00:04:04,6.10,20.79%
13,offendersfamilieshelpline.org,Law and Government > Law Enforcement and Protective Services,3,00:02:09,1.79,62.2%
14,police.uk,Law and Government > Law Enforcement and Protective Services,2,00:01:36,3.44,45.77%
15,rainn.org,Law and Government > Law Enforcement and Protective Services,=,00:00:53,1.86,53.66%
16,arre.st,Law and Government > Law Enforcement and Protective Services,2,00:01:12,5.25,47.08%
17,publicrecordscenter.org,Law and Government > Law Enforcement and Protective Services,6,00:01:17,1.41,66.1%
18,cocofinder.com,Law and Government > Law Enforcement and Protective Services,1,00:00:41,1.93,55.58%
19,eji.org,Law and Government > Law Enforcement and Protective Services,1,00:01:19,2.52,53.1%
20,themarshallproject.org,Law and Government > Law Enforcement and Protective Services,5,00:01:03,1.63,60.05%
21,fintel.com.br,Law and Government > Law Enforcement and Protective Services,14,00:22:08,13.02,13.05%
22,govbackgroundchecks.com,Law and Government > Law Enforcement and Protective Services,2,00:00:44,1.45,59.37%
23,crimemapping.com,Law and Government > Law Enforcement and Protective Services,2,00:01:14,2.59,44.03%
24,innocenceproject.org,Law and Government > Law Enforcement and Protective Services,1,00:01:04,1.98,52.56%
25,stopitnow.org,Law and Government > Law Enforcement and Protective Services,5,00:00:39,1.53,59.45%
26,mugshotlook.com,Law and Government > Law Enforcement and Protective Services,1,00:03:24,4.29,20.69%
27,amnesty.it,Law and Government > Law Enforcement and Protective Services,3,00:01:07,1.75,63.77%
28,bizprofile.net,Law and Government > Law Enforcement and Protective Services,2,00:01:00,1.82,58.28%
29,12388.gov.cn,Law and Government > Law Enforcement and Protective Services,4,00:01:31,2.09,49.56%
30,primecrime.ru,Law and Government > Law Enforcement and Protective Services,8,00:04:33,5.95,32.74%
31,mugshots.com,Law and Government > Law Enforcement and Protective Services,3,00:02:01,4.20,42.2%
32,offenderradar.com,Law and Government > Law Enforcement and Protective Services,1,00:02:35,1.92,66.62%
33,courtrecords.us,Law and Government > Law Enforcement and Protective Services,3,00:04:46,7.67,53.9%
34,floridaresidentsdirectory.com,Law and Government > Law Enforcement and Protective Services,12,00:01:28,2.99,42.85%
35,asacp.org,Law and Government > Law Enforcement and Protective Services,6,00:00:16,1.20,78.56%
36,securushelp.com,Law and Government > Law Enforcement and Protective Services,3,00:01:48,2.46,49.04%
37,iwf.org.uk,Law and Government > Law Enforcement and Protective Services,1,00:00:44,2.44,48.65%
38,michiganresidentdatabase.com,Law and Government > Law Enforcement and Protective Services,24,00:00:52,1.95,63.79%
39,antimafiaduemila.com,Law and Government > Law Enforcement and Protective Services,1,00:01:09,1.80,63.01%
40,crimewatch.net,Law and Government > Law Enforcement and Protective Services,4,00:01:59,3.61,46.28%
41,americafirstpolicy.com,Law and Government > Law Enforcement and Protective Services,1,00:01:13,1.70,50.03%
42,trafficcamarchive.com,Law and Government > Law Enforcement and Protective Services,10,00:01:55,3.70,45.96%
43,nsvrc.org,Law and Government > Law Enforcement and Protective Services,9,00:00:33,1.55,52.63%
44,crimestoppers-uk.org,Law and Government > Law Enforcement and Protective Services,7,00:01:38,3.27,40.12%
45,doenetwork.org,Law and Government > Law Enforcement and Protective Services,=,00:02:37,4.45,40.17%
46,pascocorrections.net,Law and Government > Law Enforcement and Protective Services,5,00:02:37,3.63,21.99%
47,northcarolinaresidentdatabase.com,Law and Government > Law Enforcement and Protective Services,283,00:00:58,2.52,58%
48,namus.gov,Law and Government > Law Enforcement and Protective Services,5,00:03:38,6.55,41.23%
49,mspsor.com,Law and Government > Law Enforcement and Protective Services,1,00:03:46,8.60,30.67%
50,sentencingproject.org,Law and Government > Law Enforcement and Protective Services,18,00:01:04,1.73,56.67%
