Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,afip.gob.ar,Law and Government > Law and Government - Other,=,00:11:39,17.47,22.47%
2,uscis.gov,Law and Government > Law and Government - Other,=,00:06:51,7.16,35.04%
3,agenziaentrate.gov.it,Law and Government > Law and Government - Other,=,00:09:49,17.61,23.13%
4,wahlrecht.de,Law and Government > Law and Government - Other,5,00:01:19,1.73,63.14%
5,juntadeandalucia.es,Law and Government > Law and Government - Other,1,00:07:15,8.01,29.43%
6,winred.com,Law and Government > Law and Government - Other,1,00:01:55,2.32,69.17%
7,sudrf.ru,Law and Government > Law and Government - Other,=,00:05:23,4.93,31.64%
8,bundeswahlleiterin.de,Law and Government > Law and Government - Other,84,00:03:19,3.68,53.03%
9,interno.gov.it,Law and Government > Law and Government - Other,3,00:03:10,5.03,28.67%
10,econodata.com.br,Law and Government > Law and Government - Other,2,00:02:24,1.74,65.59%
11,passportindia.gov.in,Law and Government > Law and Government - Other,1,00:08:41,12.52,28.23%
12,redstate.com,Law and Government > Law and Government - Other,1,00:06:10,3.21,41.04%
13,luatminhkhue.vn,Law and Government > Law and Government - Other,1,00:01:27,1.76,45.09%
14,escavador.com,Law and Government > Law and Government - Other,1,00:01:58,1.87,61.18%
15,camara.leg.br,Law and Government > Law and Government - Other,1,00:02:37,2.48,72.08%
16,masothue.com,Law and Government > Law and Government - Other,3,00:04:05,2.81,47.82%
17,nso.ru,Law and Government > Law and Government - Other,5,00:05:52,5.28,30.71%
18,g2b.go.kr,Law and Government > Law and Government - Other,2,00:04:24,5.19,13.18%
19,campact.de,Law and Government > Law and Government - Other,10,00:01:42,2.29,50.04%
20,poliziadistato.it,Law and Government > Law and Government - Other,3,00:04:48,5.47,32.68%
21,skatteverket.se,Law and Government > Law and Government - Other,3,00:04:02,7.55,34.49%
22,mininterno.net,Law and Government > Law and Government - Other,11,00:12:26,16.68,34.92%
23,cntd.ru,Law and Government > Law and Government - Other,=,00:02:25,1.91,62.03%
24,tjba.jus.br,Law and Government > Law and Government - Other,3,00:15:03,10.07,27.27%
25,nzpost.co.nz,Law and Government > Law and Government - Other,9,00:02:48,3.12,50.41%
26,pami.org.ar,Law and Government > Law and Government - Other,11,00:13:29,10.47,23.01%
27,iclnoticias.com.br,Law and Government > Law and Government - Other,1,00:03:14,1.23,37.15%
28,ftc.gov,Law and Government > Law and Government - Other,7,00:01:22,1.91,68.29%
29,fiscoetasse.com,Law and Government > Law and Government - Other,1,00:01:25,1.60,66.09%
30,neoenergia.com,Law and Government > Law and Government - Other,2,00:03:59,4.29,46.07%
31,inpa.gov.it,Law and Government > Law and Government - Other,7,00:06:01,6.89,39.04%
32,lto.gov.ph,Law and Government > Law and Government - Other,2,00:06:41,7.31,28.67%
33,mahkamahagung.go.id,Law and Government > Law and Government - Other,8,00:07:14,7.72,39.02%
34,officestation.jp,Law and Government > Law and Government - Other,3,00:09:05,4.76,40.53%
35,kojinbango-card.go.jp,Law and Government > Law and Government - Other,=,00:03:07,4.79,46.56%
36,iros.go.kr,Law and Government > Law and Government - Other,3,00:06:58,4.78,16.82%
37,nspd.gov.ru,Law and Government > Law and Government - Other,3,00:13:56,35.41,18.99%
38,stf.jus.br,Law and Government > Law and Government - Other,11,00:04:02,2.65,57.53%
39,ufficiocamerale.it,Law and Government > Law and Government - Other,1,00:02:24,2.39,50.83%
40,twincn.com,Law and Government > Law and Government - Other,1,00:02:15,2.31,60.06%
41,editorialedomani.it,Law and Government > Law and Government - Other,3,00:02:03,1.69,62.49%
42,fedresurs.ru,Law and Government > Law and Government - Other,8,00:05:43,7.45,23.49%
43,powerlineblog.com,Law and Government > Law and Government - Other,5,00:07:41,3.20,43.03%
44,djxmaza.in,Law and Government > Law and Government - Other,"6,871",00:04:18,3.18,27.95%
45,teamsystem.com,Law and Government > Law and Government - Other,1,00:03:33,3.07,31.47%
46,vmi.lt,Law and Government > Law and Government - Other,44,00:10:27,22.03,18.26%
47,concorsando.it,Law and Government > Law and Government - Other,6,00:03:16,2.72,39.42%
48,cia.gov,Law and Government > Law and Government - Other,12,00:01:45,2.89,52.35%
49,trt15.jus.br,Law and Government > Law and Government - Other,23,00:11:39,15.27,18.6%
50,molit.go.kr,Law and Government > Law and Government - Other,2,00:03:27,4.44,35.52%
