Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,consultant.ru,Law and Government > Legal,1,00:04:36,3.64,51.42%
2,jusbrasil.com.br,Law and Government > Legal,1,00:04:20,3.50,51.63%
3,oantagonista.com.br,Law and Government > Legal,=,00:00:27,1.34,74.71%
4,tjsp.jus.br,Law and Government > Legal,1,00:12:22,10.38,21.57%
5,90fpsconfig.in,Law and Government > Legal,1,00:04:54,4.20,33.1%
6,garant.ru,Law and Government > Legal,1,00:03:35,5.36,58.04%
7,chinatax.gov.cn,Law and Government > Legal,3,00:06:30,9.77,31.65%
8,pje.jus.br,Law and Government > Legal,1,00:07:40,6.38,34.78%
9,metaso.cn,Law and Government > Legal,29,00:06:52,5.75,27.9%
10,zakon.kz,Law and Government > Legal,2,00:02:14,2.83,54.65%
11,arbitr.ru,Law and Government > Legal,=,00:07:54,7.86,22.54%
12,livelaw.in,Law and Government > Legal,=,00:02:01,1.81,61.17%
13,justice.gov,Law and Government > Legal,=,00:02:01,2.24,64.82%
14,tjmg.jus.br,Law and Government > Legal,3,00:13:40,11.74,19.51%
15,brocardi.it,Law and Government > Legal,5,00:02:15,2.35,44.3%
16,justia.com,Law and Government > Legal,2,00:02:20,2.07,67.42%
17,legifrance.gouv.fr,Law and Government > Legal,2,00:03:37,2.70,52.22%
18,sp1-brevo.net,Law and Government > Legal,=,00:00:58,1.50,71.68%
19,gov.ro,Law and Government > Legal,=,00:05:11,4.64,45.74%
20,cloud.pje.jus.br,Law and Government > Legal,35,00:02:23,2.78,54.17%
21,conjur.com.br,Law and Government > Legal,1,00:01:35,1.40,81.24%
22,trf1.jus.br,Law and Government > Legal,10,00:13:11,11.31,19.12%
23,tse.jus.br,Law and Government > Legal,7,00:03:59,4.71,42.96%
24,law.go.kr,Law and Government > Legal,3,00:04:24,4.81,38.09%
25,uscourts.gov,Law and Government > Legal,3,00:04:27,6.46,39.89%
26,sec.gov,Law and Government > Legal,1,00:03:55,3.95,50.43%
27,ecourts.gov.in,Law and Government > Legal,4,00:04:49,4.23,45.57%
28,tjrj.jus.br,Law and Government > Legal,7,00:09:29,10.09,20.53%
29,westlaw.com,Law and Government > Legal,10,00:12:56,10.84,17.82%
30,clio.com,Law and Government > Legal,4,00:16:55,13.76,25.37%
31,pravoved.ru,Law and Government > Legal,9,00:01:34,1.73,52.23%
32,nrw.de,Law and Government > Legal,2,00:04:05,3.91,48.8%
33,9111.ru,Law and Government > Legal,4,00:02:50,3.38,47.58%
34,gesetze-im-internet.de,Law and Government > Legal,1,00:03:16,3.36,60.22%
35,stj.jus.br,Law and Government > Legal,16,00:05:45,4.50,40.54%
36,court.gov.cn,Law and Government > Legal,2,00:03:58,6.01,29.33%
37,interpol.int,Law and Government > Legal,9,00:01:53,3.60,39.84%
38,just.ro,Law and Government > Legal,10,00:04:58,5.20,38.43%
39,luatvietnam.vn,Law and Government > Legal,15,00:02:37,1.80,65.06%
40,giustizia.it,Law and Government > Legal,3,00:06:21,7.01,37.05%
41,tjsc.jus.br,Law and Government > Legal,16,00:16:38,19.56,17.52%
42,dcourts.gov.in,Law and Government > Legal,15,00:04:10,4.08,38.65%
43,avvo.com,Law and Government > Legal,12,00:01:56,2.07,65.96%
44,tjrs.jus.br,Law and Government > Legal,9,00:16:03,16.97,18.78%
45,plusgrade.com,Law and Government > Legal,9,00:01:13,2.01,47.09%
46,tjdft.jus.br,Law and Government > Legal,=,00:08:30,7.37,36.62%
47,sudact.ru,Law and Government > Legal,5,00:02:54,2.92,56.95%
48,casetext.com,Law and Government > Legal,5,00:02:07,2.41,62.78%
49,indiankanoon.org,Law and Government > Legal,5,00:04:49,4.20,41.74%
50,hukumonline.com,Law and Government > Legal,5,00:02:22,2.14,61.95%
