Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,id.me,Law and Government > National Security,=,00:05:13,9.03,15.08%
2,va.gov,Law and Government > National Security,=,00:05:11,7.81,33.49%
3,topwar.ru,Law and Government > National Security,=,00:04:45,3.36,35%
4,indiandefencereview.com,Law and Government > National Security,2,00:00:50,1.51,85.13%
5,eb.mil.br,Law and Government > National Security,1,00:06:39,6.64,30.16%
6,defence24.pl,Law and Government > National Security,1,00:01:46,1.90,33.49%
7,army.mil,Law and Government > National Security,2,00:03:22,4.62,52.63%
8,opm.gov,Law and Government > National Security,=,00:02:47,2.79,53.84%
9,military.com,Law and Government > National Security,1,00:01:12,1.72,61.84%
10,19fortyfive.com,Law and Government > National Security,5,00:02:03,1.72,62.94%
11,federalnewsnetwork.com,Law and Government > National Security,12,00:04:35,2.43,57.48%
12,idrw.org,Law and Government > National Security,1,00:01:49,2.85,27.95%
13,af.mil,Law and Government > National Security,2,00:03:49,4.88,53.5%
14,navy.mil,Law and Government > National Security,=,00:05:02,5.24,52.15%
15,dfas.mil,Law and Government > National Security,3,00:05:33,5.55,25.13%
16,osd.mil,Law and Government > National Security,3,00:04:29,5.28,30.59%
17,tsp.gov,Law and Government > National Security,=,00:04:38,9.84,24.49%
18,defense.gov,Law and Government > National Security,4,00:01:03,1.73,68.53%
19,onlineupdatestm.in,Law and Government > National Security,1,00:03:02,2.67,41.22%
20,marinha.mil.br,Law and Government > National Security,1,00:02:38,3.70,34.23%
21,understandingwar.org,Law and Government > National Security,=,00:01:43,2.30,35.42%
22,fab.mil.br,Law and Government > National Security,4,00:02:40,4.14,24.53%
23,apps.mil,Law and Government > National Security,1,00:07:51,9.15,24.3%
24,mod.gov.ua,Law and Government > National Security,2,00:01:54,1.56,69.81%
25,cisf.gov.in,Law and Government > National Security,10,00:05:04,10.10,36.02%
26,gsa.gov,Law and Government > National Security,1,00:02:16,3.35,48.27%
27,sarkariresult.com.cm,Law and Government > National Security,13,00:02:19,1.93,48.35%
28,sarkarinetwork.com,Law and Government > National Security,1,00:08:10,3.42,57.75%
29,news.va.gov,Law and Government > National Security,22,00:01:23,1.51,71.78%
30,goarmy.com,Law and Government > National Security,2,00:02:11,2.94,56.51%
31,studygovthelp.in,Law and Government > National Security,3,00:01:50,2.35,57.16%
32,jandarma.gov.tr,Law and Government > National Security,3,00:01:45,3.31,40.76%
33,health.mil,Law and Government > National Security,=,00:04:11,6.36,40.45%
34,fmovieshq.to,Law and Government > National Security,18,00:04:53,6.23,35.9%
35,usni.org,Law and Government > National Security,9,00:00:55,1.63,72.31%
36,bulgarianmilitary.com,Law and Government > National Security,5,00:01:07,2.13,42.14%
37,marines.mil,Law and Government > National Security,1,00:01:49,2.54,61.88%
38,bundeswehr.de,Law and Government > National Security,2,00:01:48,2.76,53.91%
39,armyrecognition.com,Law and Government > National Security,9,00:00:45,1.77,64.54%
40,airforce.com,Law and Government > National Security,6,00:02:27,3.00,53.33%
41,fastjobsearchers.com,Law and Government > National Security,2,00:04:48,2.83,40.55%
42,defence-blog.com,Law and Government > National Security,1,00:02:16,1.28,46.07%
43,uaa.com,Law and Government > National Security,4,00:08:26,7.71,32.12%
44,navy.com,Law and Government > National Security,6,00:01:41,1.99,54.49%
45,vettix.org,Law and Government > National Security,8,00:03:57,5.78,33.85%
46,navy.mi.th,Law and Government > National Security,6,00:06:21,6.44,34.7%
47,dubaipolice.gov.ae,Law and Government > National Security,5,00:02:22,3.62,43.36%
48,joinindianarmy.nic.in,Law and Government > National Security,5,00:05:38,5.95,34.52%
49,militaryonesource.mil,Law and Government > National Security,1,00:01:53,2.47,51.47%
50,avionslegendaires.net,Law and Government > National Security,7,00:00:35,1.54,23.43%
