Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,sephora.com,Lifestyle > Beauty and Cosmetics,=,00:03:34,4.32,45.75%
2,beauty.hotpepper.jp,Lifestyle > Beauty and Cosmetics,=,00:06:02,7.06,44.8%
3,fragrantica.com,Lifestyle > Beauty and Cosmetics,=,00:04:55,4.64,35.99%
4,ulta.com,Lifestyle > Beauty and Cosmetics,=,00:03:45,5.11,49.34%
5,cosme.net,Lifestyle > Beauty and Cosmetics,=,00:04:01,6.81,47.52%
6,hpplus.jp,Lifestyle > Beauty and Cosmetics,1,00:01:53,2.69,65.19%
7,bathandbodyworks.com,Lifestyle > Beauty and Cosmetics,1,00:03:45,4.77,44.8%
8,natura.com.br,Lifestyle > Beauty and Cosmetics,4,00:03:17,2.21,52.32%
9,boticario.com.br,Lifestyle > Beauty and Cosmetics,1,00:02:39,3.73,48.51%
10,dm.de,Lifestyle > Beauty and Cosmetics,1,00:02:26,3.74,45.79%
11,nykaa.com,Lifestyle > Beauty and Cosmetics,3,00:02:50,4.93,53.99%
12,fresha.com,Lifestyle > Beauty and Cosmetics,1,00:04:24,9.17,34.14%
13,lemon8-app.com,Lifestyle > Beauty and Cosmetics,3,00:01:00,1.82,70.13%
14,goldapple.ru,Lifestyle > Beauty and Cosmetics,3,00:03:31,4.81,35.78%
15,fragrancenet.com,Lifestyle > Beauty and Cosmetics,1,00:03:44,6.37,49.78%
16,fragrantica.ru,Lifestyle > Beauty and Cosmetics,3,00:06:19,6.01,35.85%
17,ilmakiage.com,Lifestyle > Beauty and Cosmetics,1,00:02:54,2.82,62.06%
18,yesstyle.com,Lifestyle > Beauty and Cosmetics,5,00:05:13,7.24,37.07%
19,vagaro.com,Lifestyle > Beauty and Cosmetics,4,00:03:12,3.18,42.49%
20,fragrantica.es,Lifestyle > Beauty and Cosmetics,=,00:05:30,4.25,44.25%
21,lipscosme.com,Lifestyle > Beauty and Cosmetics,1,00:02:31,2.70,60.49%
22,lafoy.ru,Lifestyle > Beauty and Cosmetics,6,00:01:03,1.64,50.18%
23,letu.ru,Lifestyle > Beauty and Cosmetics,7,00:02:52,5.15,36.6%
24,makeup.com.ua,Lifestyle > Beauty and Cosmetics,7,00:05:06,5.69,34.56%
25,primor.eu,Lifestyle > Beauty and Cosmetics,4,00:04:38,9.27,35.29%
26,shiseido.co.jp,Lifestyle > Beauty and Cosmetics,6,00:02:15,3.50,56.35%
27,douglas.de,Lifestyle > Beauty and Cosmetics,2,00:02:32,3.51,41.83%
28,salonboard.com,Lifestyle > Beauty and Cosmetics,4,00:11:35,11.69,13.69%
29,randewoo.ru,Lifestyle > Beauty and Cosmetics,9,00:04:42,6.01,45.77%
30,nahdionline.com,Lifestyle > Beauty and Cosmetics,3,00:01:54,4.84,37.62%
31,byrdie.com,Lifestyle > Beauty and Cosmetics,8,00:01:15,1.67,70.08%
32,al-dawaa.com,Lifestyle > Beauty and Cosmetics,1,00:00:56,2.64,30.61%
33,eudora.com.br,Lifestyle > Beauty and Cosmetics,34,00:02:54,4.04,41.19%
34,planity.com,Lifestyle > Beauty and Cosmetics,2,00:03:05,2.61,47.7%
35,stylevana.com,Lifestyle > Beauty and Cosmetics,9,00:04:47,7.90,37.03%
36,eva.ua,Lifestyle > Beauty and Cosmetics,8,00:04:09,4.16,46.12%
37,greatclips.com,Lifestyle > Beauty and Cosmetics,12,00:04:46,3.75,42.51%
38,lookfantastic.com,Lifestyle > Beauty and Cosmetics,3,00:03:22,3.90,53.54%
39,faberlic.com,Lifestyle > Beauty and Cosmetics,=,00:12:01,19.16,24.76%
40,druni.es,Lifestyle > Beauty and Cosmetics,3,00:04:00,7.19,42.27%
41,notino.pl,Lifestyle > Beauty and Cosmetics,4,00:02:25,4.50,23.5%
42,belezanaweb.com.br,Lifestyle > Beauty and Cosmetics,2,00:03:08,2.95,57.59%
43,hebe.pl,Lifestyle > Beauty and Cosmetics,6,00:02:37,5.67,24.23%
44,rossmann.pl,Lifestyle > Beauty and Cosmetics,3,00:01:23,4.04,24.12%
45,parfumo.de,Lifestyle > Beauty and Cosmetics,2,00:09:17,12.88,32.23%
46,spoiledchild.com,Lifestyle > Beauty and Cosmetics,18,00:02:30,2.87,44.86%
47,meevo.com,Lifestyle > Beauty and Cosmetics,1,00:05:04,4.85,27.5%
48,glossgenius.com,Lifestyle > Beauty and Cosmetics,=,00:02:22,3.09,53.57%
49,oggi.jp,Lifestyle > Beauty and Cosmetics,4,00:00:59,1.43,81.92%
50,rituals.com,Lifestyle > Beauty and Cosmetics,16,00:02:29,4.07,40.46%
