Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,babylist.com,Lifestyle > Childcare,=,00:03:48,4.08,52.67%
2,firstcry.com,Lifestyle > Childcare,=,00:02:41,3.39,57.61%
3,carters.com,Lifestyle > Childcare,1,00:04:20,6.06,47.19%
4,haibunda.com,Lifestyle > Childcare,1,00:01:23,1.78,68.38%
5,kidstaff.com.ua,Lifestyle > Childcare,=,00:08:10,9.16,21.12%
6,detmir.ru,Lifestyle > Childcare,1,00:04:50,5.70,41.84%
7,mattel.com,Lifestyle > Childcare,1,00:01:52,3.73,41.02%
8,jellycat.com,Lifestyle > Childcare,=,00:02:32,4.94,40.58%
9,disneystore.com,Lifestyle > Childcare,=,00:02:14,3.91,42.92%
10,potterybarnkids.com,Lifestyle > Childcare,=,00:03:28,4.01,47.05%
11,buildabear.com,Lifestyle > Childcare,1,00:03:20,5.81,42.72%
12,kasta.ua,Lifestyle > Childcare,1,00:03:11,4.94,24.35%
13,derma-express.com,Lifestyle > Childcare,"6,065",00:25:39,15.89,6.75%
14,vertbaudet.fr,Lifestyle > Childcare,3,00:05:10,6.91,44.3%
15,tonies.com,Lifestyle > Childcare,1,00:02:05,4.51,28.93%
16,popmama.com,Lifestyle > Childcare,1,00:00:59,2.48,46.01%
17,theasianparent.com,Lifestyle > Childcare,1,00:01:04,1.63,59.67%
18,nikulya.ru,Lifestyle > Childcare,67,00:01:05,1.51,75.39%
19,babybunting.com.au,Lifestyle > Childcare,=,00:03:44,3.74,43.32%
20,intertop.ua,Lifestyle > Childcare,1,00:02:58,4.96,42.47%
21,yapokupayu.ru,Lifestyle > Childcare,5,00:01:10,1.71,44.48%
22,akachan.jp,Lifestyle > Childcare,3,00:02:03,2.25,62.82%
23,next.ua,Lifestyle > Childcare,7,00:02:26,6.11,30.76%
24,chikiriki.ru,Lifestyle > Childcare,7,00:03:32,9.35,38.53%
25,mamasandpapas.com,Lifestyle > Childcare,2,00:02:29,3.34,43.44%
26,king-jouet.com,Lifestyle > Childcare,6,00:03:04,4.15,46.52%
27,lovevery.com,Lifestyle > Childcare,4,00:02:07,3.26,56.7%
28,intertoys.nl,Lifestyle > Childcare,2,00:03:03,4.31,49.86%
29,takingcarababies.com,Lifestyle > Childcare,7,00:02:53,2.25,49.51%
30,cartersoshkosh.ca,Lifestyle > Childcare,10,00:07:21,7.29,33%
31,bebetei.ro,Lifestyle > Childcare,=,00:02:22,4.06,40.11%
32,toysrus.ca,Lifestyle > Childcare,8,00:02:05,4.19,41.94%
33,littlesleepies.com,Lifestyle > Childcare,4,00:01:48,3.77,53.09%
34,americangirl.com,Lifestyle > Childcare,3,00:02:10,3.46,39.88%
35,aeroflowbreastpumps.com,Lifestyle > Childcare,2,00:03:48,3.71,51.94%
36,star-tex.ru,Lifestyle > Childcare,14,00:02:41,3.52,44.2%
37,prenatal.nl,Lifestyle > Childcare,2,00:03:02,4.91,49.18%
38,baby-walz.de,Lifestyle > Childcare,4,00:03:12,3.99,50.31%
39,thetoyshop.com,Lifestyle > Childcare,7,00:02:19,3.88,52.07%
40,followish.io,Lifestyle > Childcare,12,00:02:41,2.44,66.53%
41,wildberries.am,Lifestyle > Childcare,=,00:02:49,4.99,51.24%
42,civilim.com,Lifestyle > Childcare,9,00:03:40,6.46,42.43%
43,mobz.click,Lifestyle > Childcare,5,00:00:09,1.09,90.9%
44,joueclub.fr,Lifestyle > Childcare,5,00:03:03,3.25,53.39%
45,mesenvies.fr,Lifestyle > Childcare,7,00:04:40,4.78,40.48%
46,tipotv.com,Lifestyle > Childcare,=,00:01:29,1.44,79.04%
47,rebelstork.com,Lifestyle > Childcare,11,00:03:01,4.35,40.8%
48,momcozy.com,Lifestyle > Childcare,3,00:33:48,2.39,27.92%
49,littlespoon.com,Lifestyle > Childcare,41,00:00:53,2.24,61.41%
50,harpersbazaar.fr,Lifestyle > Childcare,16,00:01:01,1.79,75.61%
