Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,shein.com,Lifestyle > Fashion and Apparel,=,00:05:48,6.62,40.05%
2,nike.com,Lifestyle > Fashion and Apparel,1,00:02:51,4.78,39.66%
3,zara.com,Lifestyle > Fashion and Apparel,1,00:05:26,9.98,28.39%
4,hm.com,Lifestyle > Fashion and Apparel,=,00:03:51,7.38,34.4%
5,myntra.com,Lifestyle > Fashion and Apparel,=,00:03:34,5.68,44.4%
6,uniqlo.com,Lifestyle > Fashion and Apparel,=,00:02:45,7.00,41.98%
7,macys.com,Lifestyle > Fashion and Apparel,=,00:04:46,5.00,46.13%
8,asos.com,Lifestyle > Fashion and Apparel,1,00:03:54,7.39,32.02%
9,gap.com,Lifestyle > Fashion and Apparel,1,00:04:55,8.57,35.95%
10,zozo.jp,Lifestyle > Fashion and Apparel,=,00:07:01,7.91,35.92%
11,nordstrom.com,Lifestyle > Fashion and Apparel,=,00:03:35,4.52,44.62%
12,elle.com,Lifestyle > Fashion and Apparel,1,00:00:58,1.44,72.85%
13,mango.com,Lifestyle > Fashion and Apparel,1,00:03:37,5.03,36.79%
14,shop.mango.com,Lifestyle > Fashion and Apparel,=,00:03:39,5.08,40.38%
15,vinted.fr,Lifestyle > Fashion and Apparel,1,00:13:32,14.23,21.1%
16,stockx.com,Lifestyle > Fashion and Apparel,7,00:02:13,3.77,39.93%
17,musinsa.com,Lifestyle > Fashion and Apparel,5,00:03:05,6.75,33.21%
18,jeomsin.co.kr,Lifestyle > Fashion and Apparel,6,00:01:33,3.21,34.19%
19,marksandspencer.com,Lifestyle > Fashion and Apparel,=,00:04:18,6.83,36.03%
20,next.co.uk,Lifestyle > Fashion and Apparel,2,00:05:25,22.04,40.05%
21,puma.com,Lifestyle > Fashion and Apparel,4,00:02:49,4.42,37.84%
22,victoriassecret.com,Lifestyle > Fashion and Apparel,2,00:04:28,6.50,42.27%
23,quince.com,Lifestyle > Fashion and Apparel,4,00:04:14,6.89,38.36%
24,jcpenney.com,Lifestyle > Fashion and Apparel,3,00:04:27,5.40,43.29%
25,fashionnova.com,Lifestyle > Fashion and Apparel,7,00:06:48,6.89,42.18%
26,lululemon.com,Lifestyle > Fashion and Apparel,11,00:03:05,5.47,29.73%
27,anthropologie.com,Lifestyle > Fashion and Apparel,4,00:04:34,5.66,33.65%
28,zalando.de,Lifestyle > Fashion and Apparel,2,00:04:19,8.24,32.36%
29,nordstromrack.com,Lifestyle > Fashion and Apparel,1,00:05:11,6.38,39.73%
30,shop.lululemon.com,Lifestyle > Fashion and Apparel,13,00:03:04,5.18,42.13%
31,farfetch.com,Lifestyle > Fashion and Apparel,1,00:02:09,3.58,50.64%
32,vinted.co.uk,Lifestyle > Fashion and Apparel,2,00:08:09,16.38,28.33%
33,ajio.com,Lifestyle > Fashion and Apparel,4,00:03:26,4.74,57.09%
34,shein.co.uk,Lifestyle > Fashion and Apparel,2,00:03:56,6.18,25.97%
35,depop.com,Lifestyle > Fashion and Apparel,2,00:04:35,7.64,37.61%
36,adidas.com,Lifestyle > Fashion and Apparel,1,00:02:21,4.38,52.63%
37,hollisterco.com,Lifestyle > Fashion and Apparel,1,00:04:17,4.52,44.59%
38,louisvuitton.com,Lifestyle > Fashion and Apparel,3,00:02:50,4.30,40.16%
39,ae.com,Lifestyle > Fashion and Apparel,8,00:03:46,4.87,40.71%
40,sportsdirect.com,Lifestyle > Fashion and Apparel,3,00:04:03,5.93,37.64%
41,klclick1.com,Lifestyle > Fashion and Apparel,22,00:00:28,1.36,77.67%
42,abercrombie.com,Lifestyle > Fashion and Apparel,3,00:04:08,5.07,41.25%
43,urbanoutfitters.com,Lifestyle > Fashion and Apparel,5,00:03:14,5.86,33.2%
44,lamoda.ru,Lifestyle > Fashion and Apparel,16,00:05:21,7.54,32.8%
45,dsw.com,Lifestyle > Fashion and Apparel,4,00:03:53,4.88,46.17%
46,yeezy.com,Lifestyle > Fashion and Apparel,677,00:00:45,1.83,63.83%
47,revolve.com,Lifestyle > Fashion and Apparel,18,00:04:05,5.40,43.75%
48,sinsay.com,Lifestyle > Fashion and Apparel,9,00:05:06,6.50,31.83%
49,reserved.com,Lifestyle > Fashion and Apparel,=,00:03:52,6.40,28.67%
50,coachoutlet.com,Lifestyle > Fashion and Apparel,5,00:04:18,4.65,40.57%
