Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,partnermatic.com,Lifestyle > Gifts and Flowers,=,00:00:13,1.08,89.46%
2,ciceksepeti.com,Lifestyle > Gifts and Flowers,=,00:04:41,5.33,50.94%
3,paperlesspost.com,Lifestyle > Gifts and Flowers,=,00:02:58,3.40,41.27%
4,livemaster.ru,Lifestyle > Gifts and Flowers,=,00:03:45,4.42,45.87%
5,1800flowers.com,Lifestyle > Gifts and Flowers,9,00:04:50,4.65,44%
6,e-gift.co,Lifestyle > Gifts and Flowers,1,00:01:27,1.81,58.86%
7,rewardcodes.com,Lifestyle > Gifts and Flowers,1,00:00:54,1.94,51.55%
8,sfmc-content.com,Lifestyle > Gifts and Flowers,1,00:00:27,1.46,49.44%
9,fnp.com,Lifestyle > Gifts and Flowers,4,00:02:51,5.18,43.12%
10,flowwow.com,Lifestyle > Gifts and Flowers,11,00:03:42,5.07,47.3%
11,giftmall.co.jp,Lifestyle > Gifts and Flowers,2,00:03:20,2.95,57.7%
12,moonpig.com,Lifestyle > Gifts and Flowers,4,00:06:15,9.23,37.73%
13,fromyouflowers.com,Lifestyle > Gifts and Flowers,14,00:05:27,5.95,39.7%
14,cenreader.com,Lifestyle > Gifts and Flowers,3,00:13:22,11.07,12.12%
15,festalab.com.br,Lifestyle > Gifts and Flowers,3,00:02:05,2.85,41.19%
16,punchbowl.com,Lifestyle > Gifts and Flowers,5,00:02:27,3.53,49.24%
17,jacquielawson.com,Lifestyle > Gifts and Flowers,9,00:04:04,5.13,41.19%
18,smartbox.com,Lifestyle > Gifts and Flowers,=,00:08:14,8.12,26.81%
19,giftcards.com,Lifestyle > Gifts and Flowers,9,00:02:18,3.13,38.32%
20,lijstje.nl,Lifestyle > Gifts and Flowers,=,00:03:50,3.26,47.48%
21,igp.com,Lifestyle > Gifts and Flowers,7,00:03:05,4.91,45.69%
22,notonthehighstreet.com,Lifestyle > Gifts and Flowers,3,00:02:50,3.45,50.57%
23,ringbell.co.jp,Lifestyle > Gifts and Flowers,4,00:03:40,5.40,63.55%
24,refoorest.com,Lifestyle > Gifts and Flowers,9,00:02:24,1.46,72.25%
25,virginexperiencedays.co.uk,Lifestyle > Gifts and Flowers,3,00:03:10,2.97,43.86%
26,flair.nl,Lifestyle > Gifts and Flowers,3,00:00:54,2.62,19.03%
27,myregistry.com,Lifestyle > Gifts and Flowers,1,00:03:06,3.87,44.06%
28,hema.com,Lifestyle > Gifts and Flowers,4,00:03:29,5.28,39.48%
29,floweraura.com,Lifestyle > Gifts and Flowers,11,00:04:10,5.51,45.11%
30,bloomandwild.com,Lifestyle > Gifts and Flowers,11,00:02:48,4.07,48.34%
31,prestigeflowers.co.uk,Lifestyle > Gifts and Flowers,79,00:02:01,2.87,58.25%
32,ftd.com,Lifestyle > Gifts and Flowers,27,00:03:19,5.07,41.05%
33,teleflora.com,Lifestyle > Gifts and Flowers,20,00:04:25,4.57,43.59%
34,interflora.fr,Lifestyle > Gifts and Flowers,23,00:04:15,4.13,49.42%
35,personalizationmall.com,Lifestyle > Gifts and Flowers,2,00:03:28,4.53,55.93%
36,greetz.nl,Lifestyle > Gifts and Flowers,2,00:05:30,6.69,41.95%
37,avasflowers.net,Lifestyle > Gifts and Flowers,31,00:04:13,4.54,47.89%
38,bouqs.com,Lifestyle > Gifts and Flowers,32,00:02:03,3.68,42.15%
39,callie.com,Lifestyle > Gifts and Flowers,7,00:02:03,2.83,57.25%
40,parnassys.net,Lifestyle > Gifts and Flowers,9,00:04:44,8.24,21.77%
41,thortful.com,Lifestyle > Gifts and Flowers,28,00:03:46,4.74,38.59%
42,bestpresent.jp,Lifestyle > Gifts and Flowers,7,00:01:55,2.28,58.76%
43,interflora.co.uk,Lifestyle > Gifts and Flowers,33,00:03:25,3.59,46.01%
44,tanp.jp,Lifestyle > Gifts and Flowers,6,00:02:50,2.77,63.57%
45,123greetings.com,Lifestyle > Gifts and Flowers,3,00:02:59,4.38,41.61%
46,hediyesepeti.com,Lifestyle > Gifts and Flowers,12,00:02:10,2.70,57.66%
47,cardcash.com,Lifestyle > Gifts and Flowers,17,00:02:39,3.92,25.67%
48,mangomint.com,Lifestyle > Gifts and Flowers,4,00:02:58,2.28,60.65%
49,eflorist.co.uk,Lifestyle > Gifts and Flowers,32,00:03:16,3.44,46.4%
50,kaartje2go.nl,Lifestyle > Gifts and Flowers,4,00:07:04,8.92,42.7%
