Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,pandora.net,Lifestyle > Jewelry and Luxury Products,=,00:03:22,4.66,43.26%
2,familhao.com,Lifestyle > Jewelry and Luxury Products,=,00:01:51,2.52,34.53%
3,jomashop.com,Lifestyle > Jewelry and Luxury Products,1,00:03:51,5.78,43.45%
4,kay.com,Lifestyle > Jewelry and Luxury Products,4,00:03:27,4.41,46.28%
5,swarovski.com,Lifestyle > Jewelry and Luxury Products,2,00:02:58,4.76,43.84%
6,cartier.com,Lifestyle > Jewelry and Luxury Products,1,00:01:34,4.04,29.98%
7,bluestone.com,Lifestyle > Jewelry and Luxury Products,1,00:01:04,2.81,29.45%
8,pnj.com.vn,Lifestyle > Jewelry and Luxury Products,11,00:01:50,2.83,35.75%
9,sunlight.net,Lifestyle > Jewelry and Luxury Products,5,00:02:57,4.48,45.21%
10,tanishq.co.in,Lifestyle > Jewelry and Luxury Products,7,00:02:43,3.52,59.39%
11,rolex.com,Lifestyle > Jewelry and Luxury Products,2,00:02:34,5.83,36%
12,titan.co.in,Lifestyle > Jewelry and Luxury Products,1,00:02:26,4.14,32.41%
13,brilliantearth.com,Lifestyle > Jewelry and Luxury Products,1,00:02:05,3.13,65.4%
14,zales.com,Lifestyle > Jewelry and Luxury Products,1,00:02:57,3.13,58.04%
15,vivara.com.br,Lifestyle > Jewelry and Luxury Products,8,00:02:31,3.08,46.05%
16,sokolov.ru,Lifestyle > Jewelry and Luxury Products,2,00:03:32,4.91,28.42%
17,giva.co,Lifestyle > Jewelry and Luxury Products,12,00:02:42,4.25,41.95%
18,alltime.ru,Lifestyle > Jewelry and Luxury Products,5,00:02:31,4.04,45.79%
19,chrono24.com,Lifestyle > Jewelry and Luxury Products,9,00:03:59,6.81,35.69%
20,caratlane.com,Lifestyle > Jewelry and Luxury Products,4,00:01:46,3.81,27.68%
21,monkeyd.com.vn,Lifestyle > Jewelry and Luxury Products,14,00:07:27,4.65,34.61%
22,tiffany.com,Lifestyle > Jewelry and Luxury Products,=,00:02:03,3.79,44.77%
23,jared.com,Lifestyle > Jewelry and Luxury Products,3,00:02:28,4.04,47.7%
24,jtv.com,Lifestyle > Jewelry and Luxury Products,1,00:05:32,6.27,49.3%
25,seikowatches.com,Lifestyle > Jewelry and Luxury Products,4,00:02:14,6.00,32.35%
26,malabargoldanddiamonds.com,Lifestyle > Jewelry and Luxury Products,9,00:01:45,2.60,66.9%
27,shop.paireyewear.com,Lifestyle > Jewelry and Luxury Products,=,00:02:17,1.65,77.41%
28,fossil.com,Lifestyle > Jewelry and Luxury Products,4,00:02:32,5.01,39.11%
29,tissotwatches.com,Lifestyle > Jewelry and Luxury Products,3,00:02:28,4.25,36.85%
30,swatch.com,Lifestyle > Jewelry and Luxury Products,1,00:02:33,4.91,39.1%
31,vancleefarpels.com,Lifestyle > Jewelry and Luxury Products,1,00:01:42,3.64,47.23%
32,histoiredor.com,Lifestyle > Jewelry and Luxury Products,2,00:03:10,4.25,38.68%
33,omegawatches.com,Lifestyle > Jewelry and Luxury Products,1,00:02:24,4.62,35.94%
34,apart.pl,Lifestyle > Jewelry and Luxury Products,2,00:05:03,5.35,40.68%
35,watchuseek.com,Lifestyle > Jewelry and Luxury Products,2,00:02:44,2.86,48.41%
36,tous.com,Lifestyle > Jewelry and Luxury Products,8,00:02:26,3.37,42.23%
37,btmc.vn,Lifestyle > Jewelry and Luxury Products,61,00:01:16,2.61,66.65%
38,kendrascott.com,Lifestyle > Jewelry and Luxury Products,7,00:02:46,4.66,48.29%
39,lvsl.ru,Lifestyle > Jewelry and Luxury Products,9,00:00:10,1.24,88.61%
40,bluenile.com,Lifestyle > Jewelry and Luxury Products,22,00:02:36,5.12,54.18%
41,niwaka.com,Lifestyle > Jewelry and Luxury Products,1,00:01:51,1.76,73.84%
42,perfdrive.com,Lifestyle > Jewelry and Luxury Products,3,00:00:44,1.63,60.75%
43,rarecarat.com,Lifestyle > Jewelry and Luxury Products,=,00:03:54,6.33,41.61%
44,hodinkee.com,Lifestyle > Jewelry and Luxury Products,4,00:01:29,1.99,54.84%
45,bulgari.com,Lifestyle > Jewelry and Luxury Products,7,00:01:34,3.14,44.61%
46,candere.com,Lifestyle > Jewelry and Luxury Products,4,00:01:07,3.28,42.27%
47,vnvc.vn,Lifestyle > Jewelry and Luxury Products,38,00:01:47,1.83,54.98%
48,zenpirlanta.com,Lifestyle > Jewelry and Luxury Products,5,00:01:55,4.40,39.46%
49,fastrackeyewear.com,Lifestyle > Jewelry and Luxury Products,16,00:02:39,3.28,58.01%
50,grtjewels.com,Lifestyle > Jewelry and Luxury Products,7,00:02:11,3.20,55.41%
