Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,iqos.com,Lifestyle > Tobacco,=,00:02:36,3.80,38.68%
2,smokingpipes.com,Lifestyle > Tobacco,=,00:06:51,21.59,21.13%
3,marlboro.com,Lifestyle > Tobacco,=,00:04:19,4.84,27.97%
4,newport-pleasure.com,Lifestyle > Tobacco,=,00:04:13,6.81,30.39%
5,camel.com,Lifestyle > Tobacco,1,00:02:27,4.11,37.62%
6,lepetitvapoteur.com,Lifestyle > Tobacco,1,00:04:13,5.04,33.92%
7,elementvape.com,Lifestyle > Tobacco,2,00:03:45,5.26,41.64%
8,cigarsinternational.com,Lifestyle > Tobacco,1,00:03:23,5.75,42.45%
9,cigarpage.com,Lifestyle > Tobacco,3,00:03:59,4.01,54.4%
10,cigarbid.com,Lifestyle > Tobacco,4,00:11:42,13.29,19.32%
11,discoverglo.jp,Lifestyle > Tobacco,1,00:02:15,4.42,45.38%
12,70cigars.com,Lifestyle > Tobacco,4,00:04:27,15.77,25.41%
13,velo.com,Lifestyle > Tobacco,=,00:01:06,3.30,29.22%
14,puffco.com,Lifestyle > Tobacco,10,00:01:42,3.77,34.39%
15,holts.com,Lifestyle > Tobacco,6,00:01:50,3.10,54.5%
16,halfwheel.com,Lifestyle > Tobacco,1,00:01:05,2.11,49.22%
17,vuse.com,Lifestyle > Tobacco,2,00:01:57,2.79,49.08%
18,seedfinder.eu,Lifestyle > Tobacco,4,00:02:22,4.09,51.45%
19,jrcigars.com,Lifestyle > Tobacco,6,00:03:37,4.76,42.62%
20,my-ony.com,Lifestyle > Tobacco,9,00:00:56,1.51,79.16%
21,vapeuk.co.uk,Lifestyle > Tobacco,2,00:02:04,5.39,40.37%
22,vapesuperstore.co.uk,Lifestyle > Tobacco,4,00:01:31,4.43,36.56%
23,zippo.com,Lifestyle > Tobacco,5,00:02:22,6.57,38.19%
24,goodtimestobacco.com,Lifestyle > Tobacco,4,00:03:02,4.40,15.7%
25,mipod.com,Lifestyle > Tobacco,4,00:01:14,4.30,40.28%
26,famous-smoke.com,Lifestyle > Tobacco,5,00:03:48,7.24,42.9%
27,bestcigarprices.com,Lifestyle > Tobacco,7,00:03:01,5.42,44.57%
28,zamnesia.fr,Lifestyle > Tobacco,5,00:03:19,4.18,42.39%
29,huffandpuffers.com,Lifestyle > Tobacco,12,00:01:09,4.02,38.24%
30,vapesourcing.com,Lifestyle > Tobacco,13,00:02:29,6.12,41.08%
31,taklope.com,Lifestyle > Tobacco,13,00:04:07,6.45,27.36%
32,danishpipeshop.com,Lifestyle > Tobacco,38,00:03:00,12.74,24.11%
33,vusevapor.com,Lifestyle > Tobacco,2,00:01:51,4.99,27.74%
34,pmi.com,Lifestyle > Tobacco,4,00:00:44,1.77,53.69%
35,kool.com,Lifestyle > Tobacco,1,00:03:18,6.57,22.84%
36,pipesandcigars.com,Lifestyle > Tobacco,13,00:03:25,5.10,42.77%
37,cigarworld.de,Lifestyle > Tobacco,5,00:03:03,5.82,39.18%
38,jti.com,Lifestyle > Tobacco,19,00:01:41,2.49,46.04%
39,pipesmagazine.com,Lifestyle > Tobacco,12,00:04:56,4.99,37.03%
40,cigarpro.ru,Lifestyle > Tobacco,10,00:01:04,2.07,42.01%
41,4noggins-com.myshopify.com,Lifestyle > Tobacco,7,00:04:31,5.37,32.38%
42,stiiizy.com,Lifestyle > Tobacco,10,00:01:09,2.97,39.8%
43,freshcope.com,Lifestyle > Tobacco,3,00:03:49,5.66,17.09%
44,bat.com,Lifestyle > Tobacco,9,00:01:47,2.59,43.05%
45,electrictobacconist.co.uk,Lifestyle > Tobacco,5,00:04:22,5.15,38.23%
46,thompsoncigar.com,Lifestyle > Tobacco,=,00:03:08,5.43,42.14%
47,habanos.com,Lifestyle > Tobacco,94,00:00:28,1.41,59.19%
48,vaping360.com,Lifestyle > Tobacco,9,00:00:38,1.65,54.04%
49,tobaccoreviews.com,Lifestyle > Tobacco,12,00:01:57,2.77,48.31%
50,tabakguru.de,Lifestyle > Tobacco,8,00:02:34,4.81,37.75%
