Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,yahoo.com,News & Media Publishers,1,00:07:43,5.51,35.66%
2,yahoo.co.jp,News & Media Publishers,1,00:08:54,7.34,32.31%
3,naver.com,News & Media Publishers,=,00:16:04,11.59,25.42%
4,news.yahoo.co.jp,News & Media Publishers,=,00:06:49,4.94,27.29%
5,globo.com,News & Media Publishers,=,00:03:29,2.31,49.07%
6,nytimes.com,News & Media Publishers,=,00:04:17,2.99,48.9%
7,bbc.co.uk,News & Media Publishers,=,00:04:51,3.41,44.33%
8,msn.com,News & Media Publishers,=,00:05:29,4.81,49.86%
9,cnn.com,News & Media Publishers,=,00:02:58,2.12,57.03%
10,bbc.com,News & Media Publishers,=,00:02:40,2.34,56.81%
11,qq.com,News & Media Publishers,=,00:04:37,3.72,46.29%
12,news.google.com,News & Media Publishers,=,00:05:49,3.80,36.8%
13,uol.com.br,News & Media Publishers,=,00:06:10,4.15,48.62%
14,theguardian.com,News & Media Publishers,=,00:03:26,2.82,45.03%
15,foxnews.com,News & Media Publishers,2,00:05:58,3.88,40.72%
16,infobae.com,News & Media Publishers,1,00:03:38,2.32,51.66%
17,douyin.com,News & Media Publishers,1,00:09:15,12.29,34.82%
18,dailymail.co.uk,News & Media Publishers,=,00:04:01,2.99,53.36%
19,onet.pl,News & Media Publishers,=,00:05:15,5.32,28.57%
20,wp.pl,News & Media Publishers,=,00:06:23,7.52,27.75%
21,finance.yahoo.com,News & Media Publishers,=,00:05:16,3.51,54.35%
22,news.naver.com,News & Media Publishers,1,00:06:16,3.83,41.44%
23,auone.jp,News & Media Publishers,1,00:03:10,3.99,33.15%
24,people.com,News & Media Publishers,1,00:02:02,1.93,59.79%
25,livedoor.jp,News & Media Publishers,1,00:06:05,3.65,41.49%
26,bild.de,News & Media Publishers,=,00:05:08,3.51,33.95%
27,detik.com,News & Media Publishers,3,00:03:24,2.49,52.7%
28,news.yahoo.com,News & Media Publishers,=,00:03:06,2.55,60.06%
29,news18.com,News & Media Publishers,4,00:01:45,1.93,57.48%
30,indiatimes.com,News & Media Publishers,1,00:02:49,2.46,56.08%
31,t-online.de,News & Media Publishers,3,00:07:42,5.49,33.19%
32,usatoday.com,News & Media Publishers,=,00:01:57,1.80,53.51%
33,india.com,News & Media Publishers,6,00:01:43,2.16,60.19%
34,163.com,News & Media Publishers,1,00:03:08,4.55,41.47%
35,apnews.com,News & Media Publishers,6,00:01:55,1.90,66.73%
36,aajtak.in,News & Media Publishers,4,00:03:36,3.68,49.23%
37,interia.pl,News & Media Publishers,1,00:04:41,5.22,26.27%
38,forbes.com,News & Media Publishers,7,00:00:58,1.55,61.16%
39,nypost.com,News & Media Publishers,1,00:02:45,2.20,58.83%
40,n-tv.de,News & Media Publishers,1,00:04:28,3.14,47.33%
41,vnexpress.net,News & Media Publishers,4,00:04:43,4.63,38.82%
42,ndtv.com,News & Media Publishers,1,00:02:22,2.06,54.49%
43,hindustantimes.com,News & Media Publishers,1,00:01:51,1.49,37.48%
44,substack.com,News & Media Publishers,4,00:03:09,3.39,45.68%
45,rbc.ru,News & Media Publishers,1,00:03:29,2.81,46.6%
46,reuters.com,News & Media Publishers,12,00:01:28,1.70,57.67%
47,indianexpress.com,News & Media Publishers,9,00:02:30,2.13,57.39%
48,cnbc.com,News & Media Publishers,2,00:02:46,1.95,65.64%
49,corriere.it,News & Media Publishers,2,00:06:17,3.77,42.57%
50,elpais.com,News & Media Publishers,5,00:03:37,2.27,48.8%
