Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,ebird.org,Pets and Animals > Birds,=,00:05:58,9.99,33.79%
2,allaboutbirds.org,Pets and Animals > Birds,=,00:02:13,2.58,52.36%
3,animalsfantacy.com,Pets and Animals > Birds,=,00:13:42,3.26,45.37%
4,maxvandaag.nl,Pets and Animals > Birds,1,00:01:48,1.84,55.63%
5,waarneming.nl,Pets and Animals > Birds,1,00:09:28,18.80,25.79%
6,audubon.org,Pets and Animals > Birds,1,00:01:14,2.26,57.89%
7,lifestyle-insights.com,Pets and Animals > Birds,2,00:00:57,2.80,32.9%
8,sendai-tushin.jp,Pets and Animals > Birds,=,00:01:15,1.93,59.61%
9,rspb.org.uk,Pets and Animals > Birds,5,00:01:57,2.62,56.44%
10,rescueme.org,Pets and Animals > Birds,1,00:02:48,4.79,33.42%
11,truthaboutlungs.com,Pets and Animals > Birds,2,00:01:50,1.61,62.24%
12,yts-official.app,Pets and Animals > Birds,2,00:02:04,8.58,27.26%
13,tempatwisata.pro,Pets and Animals > Birds,1,00:01:08,6.07,56.01%
14,salgoonews.com,Pets and Animals > Birds,2,00:00:40,1.34,74.33%
15,animalia.bio,Pets and Animals > Birds,1,00:01:09,2.10,57.81%
16,burgerprofiel.be,Pets and Animals > Birds,2,00:03:50,5.00,37.41%
17,qualifybenefitsnow.com,Pets and Animals > Birds,3,00:00:49,1.64,61.57%
18,agri.bg,Pets and Animals > Birds,1,00:02:21,1.50,39.58%
19,vogelbescherming.nl,Pets and Animals > Birds,4,00:01:51,3.03,62.3%
20,ugc.gov.in,Pets and Animals > Birds,1,00:02:13,2.59,46.8%
21,birdforum.net,Pets and Animals > Birds,=,00:02:24,3.70,48.41%
22,metazooa.com,Pets and Animals > Birds,=,00:05:07,7.61,25.72%
23,birdguides.com,Pets and Animals > Birds,=,00:00:53,2.11,50.17%
24,pipa.be,Pets and Animals > Birds,=,00:03:30,8.03,28%
25,birdsoftheworld.org,Pets and Animals > Birds,=,00:03:48,5.45,40.76%
26,birdtrek.co.uk,Pets and Animals > Birds,8,00:01:48,4.19,27.18%
27,news.ohmymag.co.uk,Pets and Animals > Birds,16,00:01:28,1.61,75.45%
28,chiton-cylinder-x6fb.squarespace.com,Pets and Animals > Birds,=,--,1.04,80.64%
29,myfate.herokuapp.com,Pets and Animals > Birds,10,00:01:11,1.82,27.35%
30,bird.com,Pets and Animals > Birds,4,00:10:02,10.76,38.46%
31,dickpritchettrealestate.com,Pets and Animals > Birds,4,00:02:10,2.10,42.7%
32,avianavenue.com,Pets and Animals > Birds,1,00:01:43,2.23,49.11%
33,birdcount.org,Pets and Animals > Birds,114,00:01:32,1.86,57.28%
34,xeno-canto.org,Pets and Animals > Birds,3,00:02:19,4.14,41.4%
35,macaulaylibrary.org,Pets and Animals > Birds,5,00:01:32,3.86,38.14%
36,abcbirds.org,Pets and Animals > Birds,10,00:01:37,1.98,56.8%
37,birdlife.org,Pets and Animals > Birds,2,00:00:40,1.57,57.32%
38,animalspot.net,Pets and Animals > Birds,6,00:00:31,1.58,52.77%
39,whyevolutionistrue.com,Pets and Animals > Birds,8,00:01:29,1.80,52.25%
40,5cj.tv,Pets and Animals > Birds,38,00:08:18,2.39,37.02%
41,birdfy.com,Pets and Animals > Birds,12,00:01:32,2.53,44.53%
42,francolomb.com,Pets and Animals > Birds,19,00:06:21,5.91,18.76%
43,pitts.be,Pets and Animals > Birds,7,00:04:02,12.48,19.94%
44,tiira.fi,Pets and Animals > Birds,6,00:02:20,4.27,24.41%
45,123movies.do,Pets and Animals > Birds,13,00:02:29,3.32,39.92%
46,birdwatchinghq.com,Pets and Animals > Birds,2,00:00:51,1.60,49.96%
47,bto.org,Pets and Animals > Birds,3,00:02:40,3.02,43.6%
48,biodiversity4all.org,Pets and Animals > Birds,1,00:01:39,3.68,31.89%
49,herbots.be,Pets and Animals > Birds,6,00:03:29,8.16,29.3%
50,observation.org,Pets and Animals > Birds,8,00:02:08,7.34,35.77%
