Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,ru.actor,Pets and Animals > Fish and Aquaria,=,00:09:55,7.10,26.58%
2,workingnews117.com,Pets and Animals > Fish and Aquaria,=,00:01:33,1.66,69.89%
3,fitnesslove.net,Pets and Animals > Fish and Aquaria,=,00:00:29,3.91,26.97%
4,gostonline.com,Pets and Animals > Fish and Aquaria,5,00:00:34,1.09,91.35%
5,reef2reef.com,Pets and Animals > Fish and Aquaria,1,00:04:17,2.95,50.81%
6,visitsealife.com,Pets and Animals > Fish and Aquaria,1,00:02:37,3.53,39.49%
7,aquariumcoop.com,Pets and Animals > Fish and Aquaria,=,00:02:06,2.02,64.73%
8,starpassing.com,Pets and Animals > Fish and Aquaria,2,00:02:34,1.65,68.89%
9,trackvrv.com,Pets and Animals > Fish and Aquaria,1,00:01:07,1.61,62.95%
10,brow2ing.com,Pets and Animals > Fish and Aquaria,2,00:00:28,1.41,58.56%
11,kosoch.com,Pets and Animals > Fish and Aquaria,=,00:04:15,3.18,52.67%
12,fishlore.com,Pets and Animals > Fish and Aquaria,1,00:00:58,1.49,62.87%
13,plantedtank.net,Pets and Animals > Fish and Aquaria,3,00:01:44,1.96,54.79%
14,news4wide.net,Pets and Animals > Fish and Aquaria,4,00:00:48,1.36,55.77%
15,danseisama.com,Pets and Animals > Fish and Aquaria,1,00:01:24,1.57,76.77%
16,fanfishka.ru,Pets and Animals > Fish and Aquaria,3,00:02:15,1.95,54.85%
17,tetra.net,Pets and Animals > Fish and Aquaria,=,00:01:54,1.88,49.71%
18,bulkreefsupply.com,Pets and Animals > Fish and Aquaria,3,00:02:33,4.36,44.32%
19,futoshiki.com,Pets and Animals > Fish and Aquaria,5,00:04:21,1.68,71.74%
20,lady.24tv.ua,Pets and Animals > Fish and Aquaria,13,00:00:37,1.30,82.19%
21,matome-geinou.net,Pets and Animals > Fish and Aquaria,15,00:00:58,1.36,80%
22,liveaquaria.com,Pets and Animals > Fish and Aquaria,2,00:03:54,6.02,42.61%
23,mojianime.com,Pets and Animals > Fish and Aquaria,11,00:07:18,2.33,60.59%
24,buceplant.com,Pets and Animals > Fish and Aquaria,1,00:03:05,4.82,46.88%
25,tellyhd.art,Pets and Animals > Fish and Aquaria,=,00:02:08,1.92,76.62%
26,aqa.ru,Pets and Animals > Fish and Aquaria,3,00:03:05,2.30,47.44%
27,fishkeeper.co.uk,Pets and Animals > Fish and Aquaria,4,00:01:51,2.47,56.34%
28,azvox.cash,Pets and Animals > Fish and Aquaria,113,00:03:57,3.36,58.89%
29,guide.in.ua,Pets and Animals > Fish and Aquaria,8,00:01:15,1.37,70.71%
30,swelluk.com,Pets and Animals > Fish and Aquaria,4,00:02:16,4.34,54.21%
31,fishbase.se,Pets and Animals > Fish and Aquaria,3,00:02:00,3.12,50.47%
32,apifishcare.com,Pets and Animals > Fish and Aquaria,5,00:01:04,1.28,74.54%
33,aquaticarts.com,Pets and Animals > Fish and Aquaria,7,00:02:38,5.59,47.11%
34,aquaristikshop.com,Pets and Animals > Fish and Aquaria,32,00:02:29,8.52,41.61%
35,ukaps.org,Pets and Animals > Fish and Aquaria,3,00:01:17,2.75,47.53%
36,reefcentral.com,Pets and Animals > Fish and Aquaria,6,00:01:07,1.58,59.22%
37,aquariumscience.org,Pets and Animals > Fish and Aquaria,3,00:09:22,5.50,36.58%
38,eccjrbsaudiomovie.jp,Pets and Animals > Fish and Aquaria,=,00:10:36,9.51,21.28%
39,iroironetnews.blog.jp,Pets and Animals > Fish and Aquaria,17,00:00:54,1.13,87.52%
40,jbl.de,Pets and Animals > Fish and Aquaria,3,00:01:14,2.65,57.16%
41,wiltec.de,Pets and Animals > Fish and Aquaria,10,00:02:53,3.85,49.63%
42,sanblo.com,Pets and Animals > Fish and Aquaria,3,00:17:04,4.12,50.14%
43,monsterfishkeepers.com,Pets and Animals > Fish and Aquaria,2,00:01:10,1.88,51.54%
44,beejwala.com,Pets and Animals > Fish and Aquaria,120,00:04:23,12.42,37.87%
45,mgevs.com,Pets and Animals > Fish and Aquaria,10,00:03:29,4.51,40.32%
46,babareo.site,Pets and Animals > Fish and Aquaria,16,00:00:26,7.30,58.36%
47,aqueon.com,Pets and Animals > Fish and Aquaria,1,00:00:57,1.73,53.2%
48,aqua2ch.net,Pets and Animals > Fish and Aquaria,5,00:01:02,1.58,70%
49,appleskin.net,Pets and Animals > Fish and Aquaria,8,00:01:06,1.14,86.49%
50,saltwateraquarium.com,Pets and Animals > Fish and Aquaria,11,00:02:25,3.42,43.07%
