Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,geny.com,Pets and Animals > Horses,=,00:15:49,13.50,17.35%
2,zone-turf.fr,Pets and Animals > Horses,=,00:10:29,7.43,32.96%
3,racing.hkjc.com,Pets and Animals > Horses,1,00:19:06,12.60,49.17%
4,turfomania.fr,Pets and Animals > Horses,5,00:08:43,7.21,20.67%
5,equidia.fr,Pets and Animals > Horses,=,00:03:24,2.91,35.91%
6,hevostalli.net,Pets and Animals > Horses,2,00:14:07,10.25,14.24%
7,canalturf.com,Pets and Animals > Horses,5,00:12:25,10.57,19.04%
8,turfoo.fr,Pets and Animals > Horses,6,00:05:25,4.53,43.87%
9,indiarace.com,Pets and Animals > Horses,3,00:12:03,7.27,19.99%
10,equibase.com,Pets and Animals > Horses,7,00:09:17,13.87,27.26%
11,omo-app.io,Pets and Animals > Horses,4,00:02:46,8.05,40.96%
12,sptrkr.com,Pets and Animals > Horses,1,00:00:38,1.17,87.01%
13,bokt.nl,Pets and Animals > Horses,3,00:07:56,6.67,42.45%
14,letrot.com,Pets and Animals > Horses,4,00:06:01,7.19,25.76%
15,move-hub.net,Pets and Animals > Horses,2,00:00:42,1.24,87.1%
16,turf-fr.com,Pets and Animals > Horses,4,00:04:31,4.55,27.14%
17,horseandhound.co.uk,Pets and Animals > Horses,6,00:04:14,3.96,48.21%
18,racenet.com.au,Pets and Animals > Horses,6,00:06:19,5.37,34.35%
19,drf.com,Pets and Animals > Horses,8,00:11:25,7.24,29.96%
20,macaroniambiguity.com,Pets and Animals > Horses,10,00:04:20,2.78,24.61%
21,clicmouse.fr,Pets and Animals > Horses,=,00:04:25,2.83,35.76%
22,horsereality.com,Pets and Animals > Horses,3,00:13:47,50.75,14.47%
23,movbor.com,Pets and Animals > Horses,7,00:08:26,4.57,41.81%
24,notifadz.com,Pets and Animals > Horses,5,00:00:53,2.12,31.6%
25,keenelandselect.com,Pets and Animals > Horses,3,00:20:24,8.10,20.52%
26,nanjmuseum.com,Pets and Animals > Horses,2,00:02:24,2.61,55.53%
27,val9ja.com.ng,Pets and Animals > Horses,5,00:02:01,4.14,45.02%
28,ecollege78.fr,Pets and Animals > Horses,2,00:02:30,3.12,27.21%
29,pronostics-turf.info,Pets and Animals > Horses,2,00:04:20,5.02,33.22%
30,special-newseeds.com,Pets and Animals > Horses,5,00:00:27,1.80,36.02%
31,bloodhorse.com,Pets and Animals > Horses,2,00:03:29,2.34,47.08%
32,business.in,Pets and Animals > Horses,25,00:01:59,4.39,63.39%
33,kousokuvip.com,Pets and Animals > Horses,1,00:01:11,1.20,86.65%
34,dover.com,Pets and Animals > Horses,1,00:01:44,2.61,56.98%
35,zeturf.com,Pets and Animals > Horses,3,00:10:34,6.09,33.41%
36,horseracingnation.com,Pets and Animals > Horses,3,00:03:54,3.56,44.91%
37,ustrotting.com,Pets and Animals > Horses,1,00:08:52,7.53,17.55%
38,racing.com,Pets and Animals > Horses,1,00:04:58,4.70,38.09%
39,thejockeyclub.co.uk,Pets and Animals > Horses,8,00:01:43,2.82,51.76%
40,racing.ustrotting.com,Pets and Animals > Horses,2,00:08:10,6.36,13.97%
41,sorec.ma,Pets and Animals > Horses,18,00:05:01,4.53,33.21%
42,188channel.com,Pets and Animals > Horses,4,00:01:43,6.18,27%
43,casacourses.com,Pets and Animals > Horses,3,00:02:24,2.10,22.16%
44,ffe.com,Pets and Animals > Horses,34,00:04:01,5.61,35.1%
45,chronofhorse.com,Pets and Animals > Horses,=,00:03:10,8.23,41.75%
46,racingnsw.com.au,Pets and Animals > Horses,20,00:07:59,7.12,22.6%
47,france-galop.com,Pets and Animals > Horses,11,00:08:20,9.76,23.43%
48,bukefalos.se,Pets and Animals > Horses,5,00:06:59,5.90,48.86%
49,1st.com,Pets and Animals > Horses,12,00:01:21,1.64,67.05%
50,paulickreport.com,Pets and Animals > Horses,4,00:01:20,1.76,62.38%
