Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,chewy.com,Pets and Animals > Pet Food and Supplies,=,00:03:58,5.73,40.63%
2,petco.com,Pets and Animals > Pet Food and Supplies,=,00:03:21,4.42,47.56%
3,blinkit.com,Pets and Animals > Pet Food and Supplies,1,00:03:02,3.91,46.04%
4,petsmart.com,Pets and Animals > Pet Food and Supplies,1,00:03:32,4.27,46.32%
5,thedodo.com,Pets and Animals > Pet Food and Supplies,3,00:01:13,1.71,49.81%
6,petmd.com,Pets and Animals > Pet Food and Supplies,4,00:01:05,1.55,67.17%
7,rover.com,Pets and Animals > Pet Food and Supplies,2,00:03:24,4.10,52.33%
8,yeschat.ai,Pets and Animals > Pet Food and Supplies,6,00:02:29,2.22,60.44%
9,petlove.com.br,Pets and Animals > Pet Food and Supplies,4,00:04:03,3.17,54.53%
10,petz.com.br,Pets and Animals > Pet Food and Supplies,1,00:01:41,2.61,57.02%
11,americasfavpet.com,Pets and Animals > Pet Food and Supplies,6,00:02:08,3.89,31.24%
12,vetrf.ru,Pets and Animals > Pet Food and Supplies,3,00:19:12,37.45,11.57%
13,ezyvet.com,Pets and Animals > Pet Food and Supplies,4,00:17:51,5.40,24.75%
14,gingrapp.com,Pets and Animals > Pet Food and Supplies,2,00:13:13,9.06,26.98%
15,soap2dayhq.to,Pets and Animals > Pet Food and Supplies,3,00:04:50,2.98,43.97%
16,petsathome.com,Pets and Animals > Pet Food and Supplies,2,00:02:42,4.34,41.31%
17,cobasi.com.br,Pets and Animals > Pet Food and Supplies,2,00:02:43,3.17,46.19%
18,vcahospitals.com,Pets and Animals > Pet Food and Supplies,3,00:01:46,2.14,68.91%
19,portalleodias.com,Pets and Animals > Pet Food and Supplies,7,00:01:28,3.23,43.9%
20,royalcanin.com,Pets and Animals > Pet Food and Supplies,2,00:01:31,2.84,53.18%
21,mottruyen.vn,Pets and Animals > Pet Food and Supplies,33,00:01:50,2.19,77.41%
22,everyday.com.au,Pets and Animals > Pet Food and Supplies,5,00:03:33,4.95,34.33%
23,centerwellpharmacy.com,Pets and Animals > Pet Food and Supplies,1,00:06:20,6.84,26.83%
24,dogstrust.org.uk,Pets and Animals > Pet Food and Supplies,7,00:03:14,4.46,47.6%
25,fressnapf.de,Pets and Animals > Pet Food and Supplies,=,00:02:49,3.90,52.61%
26,purina.com,Pets and Animals > Pet Food and Supplies,2,00:01:00,2.36,50.55%
27,petbarn.com.au,Pets and Animals > Pet Food and Supplies,4,00:05:19,4.34,39.96%
28,homebuddy.com,Pets and Animals > Pet Food and Supplies,28,00:00:55,1.67,56.02%
29,airnavradar.com,Pets and Animals > Pet Food and Supplies,12,00:04:39,6.66,35.82%
30,petsuppliesplus.com,Pets and Animals > Pet Food and Supplies,10,00:03:35,4.54,40.88%
31,zooplus.de,Pets and Animals > Pet Food and Supplies,1,00:04:08,5.53,48.95%
32,zooplus.pl,Pets and Animals > Pet Food and Supplies,1,00:03:19,6.04,24.56%
33,vetconnectplus.com,Pets and Animals > Pet Food and Supplies,1,00:04:17,3.96,29.41%
34,hillspet.com,Pets and Animals > Pet Food and Supplies,=,00:01:20,1.90,63.64%
35,covetrus.com,Pets and Animals > Pet Food and Supplies,1,00:07:45,4.44,24.26%
36,vin.com,Pets and Animals > Pet Food and Supplies,2,00:03:49,5.19,40.55%
37,zooplus.fr,Pets and Animals > Pet Food and Supplies,2,00:04:02,5.98,45.36%
38,search-great.com,Pets and Animals > Pet Food and Supplies,1,00:04:42,1.62,69.39%
39,brightmindshq.com,Pets and Animals > Pet Food and Supplies,32,00:06:50,10.76,27.44%
40,bark.co,Pets and Animals > Pet Food and Supplies,7,00:01:29,3.22,42.7%
41,solitairetripeaks.com,Pets and Animals > Pet Food and Supplies,2,00:01:03,2.56,61.29%
42,petdesk.com,Pets and Animals > Pet Food and Supplies,7,00:02:42,2.23,53.13%
43,hostlereshook.top,Pets and Animals > Pet Food and Supplies,23,00:01:52,1.51,74.96%
44,thefarmersdog.com,Pets and Animals > Pet Food and Supplies,2,00:02:30,4.56,45.3%
45,vetmanager2.ru,Pets and Animals > Pet Food and Supplies,1,00:21:13,3.13,27.71%
46,expertoanimal.com,Pets and Animals > Pet Food and Supplies,1,00:02:12,1.84,63.69%
47,petsmart.ca,Pets and Animals > Pet Food and Supplies,8,00:03:53,5.24,36.45%
48,wuffes.com,Pets and Animals > Pet Food and Supplies,13,00:01:40,1.64,67.54%
49,rspca.org.uk,Pets and Animals > Pet Food and Supplies,4,00:02:32,4.24,45.97%
50,petcircle.com.au,Pets and Animals > Pet Food and Supplies,=,00:03:13,4.24,46.17%
