Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,wikipedia.org,Reference Materials > Dictionaries and Encyclopedias,=,00:03:18,3.25,53.42%
2,quora.com,Reference Materials > Dictionaries and Encyclopedias,=,00:01:47,2.15,45.12%
3,deepl.com,Reference Materials > Dictionaries and Encyclopedias,=,00:10:02,9.93,25.43%
4,perplexity.ai,Reference Materials > Dictionaries and Encyclopedias,=,00:06:29,4.25,31.69%
5,sciencedirect.com,Reference Materials > Dictionaries and Encyclopedias,=,00:04:50,3.22,50.33%
6,eksisozluk.com,Reference Materials > Dictionaries and Encyclopedias,=,00:04:23,5.62,37.49%
7,merriam-webster.com,Reference Materials > Dictionaries and Encyclopedias,=,00:02:30,2.37,59.07%
8,reverso.net,Reference Materials > Dictionaries and Encyclopedias,=,00:05:01,10.89,49.4%
9,dictionary.cambridge.org,Reference Materials > Dictionaries and Encyclopedias,=,00:04:52,3.93,55.03%
10,britannica.com,Reference Materials > Dictionaries and Encyclopedias,1,00:02:25,2.32,61.73%
11,wiktionary.org,Reference Materials > Dictionaries and Encyclopedias,1,00:02:34,2.88,63.24%
12,wordreference.com,Reference Materials > Dictionaries and Encyclopedias,=,00:05:59,3.83,46.36%
13,word.tips,Reference Materials > Dictionaries and Encyclopedias,1,00:05:48,4.58,42.75%
14,weblio.jp,Reference Materials > Dictionaries and Encyclopedias,1,00:02:55,2.42,58.1%
15,thesaurus.com,Reference Materials > Dictionaries and Encyclopedias,=,00:03:52,2.94,44.34%
16,urbandictionary.com,Reference Materials > Dictionaries and Encyclopedias,=,00:00:46,1.96,47.76%
17,idos.cz,Reference Materials > Dictionaries and Encyclopedias,=,00:02:45,2.98,47.67%
18,email.cz,Reference Materials > Dictionaries and Encyclopedias,=,00:04:45,3.25,49.74%
19,gov.cz,Reference Materials > Dictionaries and Encyclopedias,=,00:04:31,5.52,37.4%
20,dictionary.com,Reference Materials > Dictionaries and Encyclopedias,=,00:02:03,2.18,56.23%
21,co.cz,Reference Materials > Dictionaries and Encyclopedias,21,00:04:31,3.66,36.96%
22,treccani.it,Reference Materials > Dictionaries and Encyclopedias,1,00:01:32,1.67,64.17%
23,dictionary.goo.ne.jp,Reference Materials > Dictionaries and Encyclopedias,1,00:02:09,2.32,70.96%
24,pons.com,Reference Materials > Dictionaries and Encyclopedias,=,00:04:14,3.18,51.11%
25,kotobank.jp,Reference Materials > Dictionaries and Encyclopedias,2,00:01:31,1.62,72.67%
26,glosbe.com,Reference Materials > Dictionaries and Encyclopedias,1,00:03:35,2.57,63.01%
27,wordhippo.com,Reference Materials > Dictionaries and Encyclopedias,=,00:03:06,2.52,59.24%
28,collinsdictionary.com,Reference Materials > Dictionaries and Encyclopedias,2,00:01:59,2.20,60.55%
29,wikisource.org,Reference Materials > Dictionaries and Encyclopedias,=,00:02:24,2.42,68.44%
30,almaany.com,Reference Materials > Dictionaries and Encyclopedias,2,00:02:37,2.79,58.34%
31,spanishdict.com,Reference Materials > Dictionaries and Encyclopedias,3,00:06:59,5.48,45.55%
32,leo.org,Reference Materials > Dictionaries and Encyclopedias,1,00:06:20,4.21,36.1%
33,bab.la,Reference Materials > Dictionaries and Encyclopedias,3,00:01:30,1.72,71.77%
34,oxfordlearnersdictionaries.com,Reference Materials > Dictionaries and Encyclopedias,2,00:05:41,4.55,36.53%
35,kartaslov.ru,Reference Materials > Dictionaries and Encyclopedias,3,00:02:09,2.18,60.36%
36,imagetotext.info,Reference Materials > Dictionaries and Encyclopedias,3,00:02:27,2.12,65.62%
37,alc.co.jp,Reference Materials > Dictionaries and Encyclopedias,5,00:05:27,3.83,45.37%
38,larousse.fr,Reference Materials > Dictionaries and Encyclopedias,5,00:01:46,1.78,71.95%
39,yourdictionary.com,Reference Materials > Dictionaries and Encyclopedias,2,00:05:08,3.58,53.41%
40,scielo.br,Reference Materials > Dictionaries and Encyclopedias,6,00:03:03,2.10,67.94%
41,dict.cc,Reference Materials > Dictionaries and Encyclopedias,1,00:06:04,3.67,35.84%
42,rekhta.org,Reference Materials > Dictionaries and Encyclopedias,7,00:01:41,3.31,28.54%
43,firmy.cz,Reference Materials > Dictionaries and Encyclopedias,2,00:02:09,2.28,59.5%
44,tureng.com,Reference Materials > Dictionaries and Encyclopedias,1,00:05:32,3.85,43.42%
45,dexonline.ro,Reference Materials > Dictionaries and Encyclopedias,1,00:02:14,2.28,38.51%
46,1xlite-032472.top,Reference Materials > Dictionaries and Encyclopedias,=,00:02:34,2.14,60.97%
47,rhymezone.com,Reference Materials > Dictionaries and Encyclopedias,=,00:06:05,4.08,42.28%
48,shabdkosh.com,Reference Materials > Dictionaries and Encyclopedias,3,00:01:23,1.66,70.8%
49,squaredle.app,Reference Materials > Dictionaries and Encyclopedias,3,00:09:52,3.39,42.07%
50,thefreedictionary.com,Reference Materials > Dictionaries and Encyclopedias,1,00:02:28,2.89,57.63%
