Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,maps.google.com,Reference Materials > Maps,=,00:00:23,1.19,59.92%
2,map.naver.com,Reference Materials > Maps,=,00:06:45,25.82,11.14%
3,2gis.ru,Reference Materials > Maps,=,00:03:43,8.90,36.25%
4,meteofrance.com,Reference Materials > Maps,=,00:01:08,1.68,48.59%
5,meteofor.com.ua,Reference Materials > Maps,1,00:02:21,2.27,48.91%
6,map.baidu.com,Reference Materials > Maps,1,00:06:46,58.04,9.49%
7,map.kakao.com,Reference Materials > Maps,1,00:03:06,3.25,49.96%
8,map.yahoo.co.jp,Reference Materials > Maps,1,00:03:24,5.61,31.72%
9,mapquest.com,Reference Materials > Maps,=,00:01:34,2.38,60.75%
10,lachainemeteo.com,Reference Materials > Maps,=,00:02:19,2.29,44.16%
11,geoguessr.com,Reference Materials > Maps,1,00:12:24,8.08,22.67%
12,mapy.cz,Reference Materials > Maps,1,00:06:59,21.44,17.5%
13,ekitan.com,Reference Materials > Maps,2,00:03:23,3.61,46.71%
14,economia.uol.com.br,Reference Materials > Maps,3,00:03:53,2.71,70.35%
15,otoadom.com,Reference Materials > Maps,1,00:02:12,2.63,17.37%
16,larkoffice.com,Reference Materials > Maps,1,00:19:48,9.47,23.38%
17,marinetraffic.com,Reference Materials > Maps,1,00:04:12,8.93,34.76%
18,mappy.com,Reference Materials > Maps,1,00:02:24,5.50,32.58%
19,mapion.co.jp,Reference Materials > Maps,1,00:02:07,3.56,60.2%
20,maps.arcgis.com,Reference Materials > Maps,2,00:03:50,4.26,57.16%
21,amap.com,Reference Materials > Maps,=,00:04:55,5.54,32.14%
22,worldatlas.com,Reference Materials > Maps,=,00:00:50,1.58,56.79%
23,openstreetmap.org,Reference Materials > Maps,=,00:03:38,20.42,40.36%
24,kudikina.ru,Reference Materials > Maps,3,00:02:09,2.38,42.87%
25,mapfan.com,Reference Materials > Maps,1,00:02:35,7.71,56.98%
26,fsolver.fr,Reference Materials > Maps,1,00:09:22,5.36,37.51%
27,poznatsvet.cz,Reference Materials > Maps,3,00:01:16,1.51,72.64%
28,weedmaps.com,Reference Materials > Maps,=,00:03:52,5.13,53.38%
29,viamichelin.fr,Reference Materials > Maps,1,00:03:41,5.01,22.21%
30,driveplaza.com,Reference Materials > Maps,3,00:02:58,3.03,52.37%
31,onefivenine.com,Reference Materials > Maps,6,00:01:47,1.60,68.7%
32,gsi.go.jp,Reference Materials > Maps,=,00:05:29,11.92,34.15%
33,city-data.com,Reference Materials > Maps,4,00:03:42,3.67,53.17%
34,mapsofindia.com,Reference Materials > Maps,4,00:01:05,1.91,69.9%
35,24timezones.com,Reference Materials > Maps,4,00:00:50,2.10,60.43%
36,jakdojade.pl,Reference Materials > Maps,1,00:03:14,2.88,22.48%
37,toolbaz.com,Reference Materials > Maps,3,00:06:21,3.75,48.5%
38,tuttocitta.it,Reference Materials > Maps,1,00:01:42,5.42,52.17%
39,nocle.fr,Reference Materials > Maps,3,00:01:25,1.27,86.77%
40,e-map.ne.jp,Reference Materials > Maps,3,00:01:58,3.32,46.52%
41,flypobeda.ru,Reference Materials > Maps,1,00:04:21,4.43,39.82%
42,wikimapia.org,Reference Materials > Maps,5,00:02:44,13.61,56.21%
43,kelio.io,Reference Materials > Maps,3,00:03:51,3.64,21.43%
44,targeo.pl,Reference Materials > Maps,=,00:02:31,3.72,54.34%
45,chipstime.fr,Reference Materials > Maps,4,00:01:14,1.92,76.68%
46,mapcarta.com,Reference Materials > Maps,2,00:01:17,2.21,50.24%
47,herohero.co,Reference Materials > Maps,2,00:04:15,2.68,56.36%
48,maps.google.co.jp,Reference Materials > Maps,3,00:02:04,2.42,81.23%
49,callejero.net,Reference Materials > Maps,1,00:00:49,1.40,66.77%
50,webcamtaxi.com,Reference Materials > Maps,5,00:02:23,4.25,45.09%
