Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,wikimedia.org,Reference Materials > Reference Materials - Other,=,00:01:54,3.09,61.56%
2,wikihow.com,Reference Materials > Reference Materials - Other,=,00:01:06,1.53,65.43%
3,wikiwiki.jp,Reference Materials > Reference Materials - Other,=,00:06:17,4.28,44.11%
4,gramedia.com,Reference Materials > Reference Materials - Other,2,00:01:09,2.79,42.05%
5,pagesjaunes.fr,Reference Materials > Reference Materials - Other,1,00:01:52,2.32,46.61%
6,laposte.net,Reference Materials > Reference Materials - Other,1,00:07:55,8.00,15.31%
7,proquest.com,Reference Materials > Reference Materials - Other,2,00:07:29,12.09,28.72%
8,noor-book.com,Reference Materials > Reference Materials - Other,3,00:02:33,3.23,39.26%
9,time.is,Reference Materials > Reference Materials - Other,1,00:05:31,5.09,73.16%
10,amalgama-lab.com,Reference Materials > Reference Materials - Other,3,00:01:28,1.67,62.03%
11,manualslib.com,Reference Materials > Reference Materials - Other,1,00:03:03,7.01,34.67%
12,rapidtables.com,Reference Materials > Reference Materials - Other,3,00:02:54,4.38,59.33%
13,azet.sk,Reference Materials > Reference Materials - Other,1,00:12:06,14.46,21.67%
14,kompasiana.com,Reference Materials > Reference Materials - Other,3,00:02:59,2.49,59.4%
15,sinonim.org,Reference Materials > Reference Materials - Other,1,00:03:01,2.36,45.43%
16,meteored.mx,Reference Materials > Reference Materials - Other,9,00:01:13,2.02,59.16%
17,worldcat.org,Reference Materials > Reference Materials - Other,3,00:03:59,4.70,42.2%
18,xo.gr,Reference Materials > Reference Materials - Other,1,00:01:33,1.80,60.51%
19,ukrlib.com.ua,Reference Materials > Reference Materials - Other,6,00:03:14,2.50,36.07%
20,worldometers.info,Reference Materials > Reference Materials - Other,2,00:01:06,2.03,70.33%
21,libguides.com,Reference Materials > Reference Materials - Other,2,00:01:55,2.19,58.27%
22,wikidata.org,Reference Materials > Reference Materials - Other,1,00:01:31,2.32,61.09%
23,lexilogos.com,Reference Materials > Reference Materials - Other,1,00:02:02,2.00,71.49%
24,yabiladi.com,Reference Materials > Reference Materials - Other,5,00:05:00,2.37,71.6%
25,brainyquote.com,Reference Materials > Reference Materials - Other,1,00:01:39,2.37,57.57%
26,ebscohost.com,Reference Materials > Reference Materials - Other,7,00:04:29,5.52,32.83%
27,wikiquote.org,Reference Materials > Reference Materials - Other,=,00:01:15,1.88,70.76%
28,shamela.ws,Reference Materials > Reference Materials - Other,3,00:02:40,4.38,36.14%
29,pkup.fr,Reference Materials > Reference Materials - Other,5,00:02:10,1.47,72.18%
30,azquotes.com,Reference Materials > Reference Materials - Other,=,00:02:09,3.13,59.05%
31,menetrendek.hu,Reference Materials > Reference Materials - Other,3,00:03:00,2.18,45.19%
32,alukah.net,Reference Materials > Reference Materials - Other,2,00:01:45,1.83,60.97%
33,mensagemaniversario.com.br,Reference Materials > Reference Materials - Other,1,00:01:00,1.51,54.14%
34,aldiwan.net,Reference Materials > Reference Materials - Other,1,00:01:52,2.85,50.6%
35,toolforge.org,Reference Materials > Reference Materials - Other,1,00:01:25,1.82,64.53%
36,1xlite-646451.top,Reference Materials > Reference Materials - Other,=,00:02:28,2.35,60.01%
37,inwi.ma,Reference Materials > Reference Materials - Other,2,00:02:57,2.74,52.96%
38,foulabook.com,Reference Materials > Reference Materials - Other,1,00:01:41,3.24,40.29%
39,spellbee.org,Reference Materials > Reference Materials - Other,1,00:05:32,3.02,54.02%
40,senjo-pianist.jp,Reference Materials > Reference Materials - Other,30,00:00:39,1.81,64.83%
41,negisoku.com,Reference Materials > Reference Materials - Other,1,00:01:50,1.79,67.33%
42,lifeder.com,Reference Materials > Reference Materials - Other,9,00:02:01,1.56,76.06%
43,famikura-store.jp,Reference Materials > Reference Materials - Other,2,00:04:01,4.90,40.21%
44,jitenon.jp,Reference Materials > Reference Materials - Other,3,00:03:55,4.02,55.71%
45,mots-croises-solutions.com,Reference Materials > Reference Materials - Other,2,00:02:21,2.68,64.3%
46,login.gov.az,Reference Materials > Reference Materials - Other,=,00:06:18,3.43,9.22%
47,guinnessworldrecords.com,Reference Materials > Reference Materials - Other,=,00:00:47,1.87,61.07%
48,2net.co.il,Reference Materials > Reference Materials - Other,2,00:09:27,3.36,51.25%
49,lovetoknow.com,Reference Materials > Reference Materials - Other,7,00:01:02,1.58,60.63%
50,citaty.net,Reference Materials > Reference Materials - Other,2,00:01:27,1.88,50.71%
