Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,timeanddate.com,Science and Education > Astronomy,=,00:01:30,2.70,60.22%
2,printables.com,Science and Education > Astronomy,=,00:05:00,7.13,37.28%
3,space.com,Science and Education > Astronomy,=,00:01:01,1.61,55.71%
4,dailygalaxy.com,Science and Education > Astronomy,=,00:00:55,1.57,63.72%
5,spaceweatherlive.com,Science and Education > Astronomy,=,00:01:05,1.85,62.3%
6,shiid4u.com,Science and Education > Astronomy,8,00:02:38,2.10,64.71%
7,cloudynights.com,Science and Education > Astronomy,=,00:05:00,3.77,48.33%
8,zeiss.com,Science and Education > Astronomy,=,00:04:08,5.68,38.68%
9,myflixer.is,Science and Education > Astronomy,2,00:07:22,4.71,33.36%
10,earthsky.org,Science and Education > Astronomy,4,00:00:49,1.45,66.05%
11,moongiant.com,Science and Education > Astronomy,2,00:00:56,4.36,47.51%
12,astronomy.com,Science and Education > Astronomy,1,00:01:02,1.61,62.16%
13,spaceweather.com,Science and Education > Astronomy,3,00:01:08,1.50,68.68%
14,skyatnightmagazine.com,Science and Education > Astronomy,2,00:00:45,1.59,65.5%
15,sab.gov.co,Science and Education > Astronomy,22,00:03:34,4.07,36.61%
16,highpointscientific.com,Science and Education > Astronomy,6,00:03:00,3.85,44.03%
17,clearoutside.com,Science and Education > Astronomy,4,00:02:28,1.65,52.12%
18,skyandtelescope.org,Science and Education > Astronomy,2,00:00:45,1.80,55.21%
19,nasaspaceflight.com,Science and Education > Astronomy,4,00:03:28,5.32,48.46%
20,inaf.it,Science and Education > Astronomy,1,00:02:22,4.92,50.2%
21,eso.org,Science and Education > Astronomy,1,00:01:59,2.54,54.51%
22,astrobin.com,Science and Education > Astronomy,4,00:04:01,7.63,38.57%
23,celestron.com,Science and Education > Astronomy,5,00:02:10,3.24,45.54%
24,planetary.org,Science and Education > Astronomy,1,00:00:46,1.66,54.99%
25,heavens-above.com,Science and Education > Astronomy,2,00:02:18,4.71,37.62%
26,jhuapl.edu,Science and Education > Astronomy,2,00:03:29,4.66,43.1%
27,aanda.org,Science and Education > Astronomy,4,00:02:03,2.19,47.63%
28,usra.edu,Science and Education > Astronomy,4,00:04:42,3.29,54.56%
29,webbtelescope.org,Science and Education > Astronomy,1,00:01:29,3.62,43.06%
30,hubblesite.org,Science and Education > Astronomy,2,00:01:18,2.62,49.35%
31,nextspaceflight.com,Science and Education > Astronomy,6,00:00:57,2.00,46.42%
32,astroarts.co.jp,Science and Education > Astronomy,15,00:02:27,3.31,59.74%
33,astrogeo.va.it,Science and Education > Astronomy,4,00:00:16,1.22,47.32%
34,agenaastro.com,Science and Education > Astronomy,5,00:01:32,2.78,49.19%
35,stsci.edu,Science and Education > Astronomy,=,00:21:45,9.93,38.94%
36,astronomy.ru,Science and Education > Astronomy,14,00:05:43,3.66,41.47%
37,aas.org,Science and Education > Astronomy,4,00:01:28,2.51,49.36%
38,in-the-sky.org,Science and Education > Astronomy,4,00:01:02,2.16,52.27%
39,griffithobservatory.org,Science and Education > Astronomy,3,00:01:06,2.40,49.48%
40,firstlightoptics.com,Science and Education > Astronomy,2,00:02:22,6.98,41.98%
41,clockfaceonline.co.uk,Science and Education > Astronomy,=,00:01:07,1.97,52.88%
42,astronomie.de,Science and Education > Astronomy,6,00:06:14,8.50,40.41%
43,nineplanets.org,Science and Education > Astronomy,4,00:00:29,2.01,45.17%
44,solarsystemscope.com,Science and Education > Astronomy,8,00:00:50,2.03,53.04%
45,astronet.ru,Science and Education > Astronomy,1,00:01:07,2.45,46.58%
46,obspm.fr,Science and Education > Astronomy,5,00:03:39,4.77,47.32%
47,stelvision.com,Science and Education > Astronomy,9,00:00:53,1.85,46.74%
48,newscientist.nl,Science and Education > Astronomy,8,00:01:44,2.06,65.99%
49,kasi.re.kr,Science and Education > Astronomy,6,00:01:20,2.28,52.33%
50,vinayuppal.com,Science and Education > Astronomy,45,00:07:01,4.62,39.16%
