Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,nature.com,Science and Education > Biology,=,00:03:15,2.42,59.16%
2,oup.com,Science and Education > Biology,=,00:02:42,2.57,56.18%
3,frontiersin.org,Science and Education > Biology,=,00:02:34,2.19,62.08%
4,biomedcentral.com,Science and Education > Biology,=,00:02:10,1.74,66.3%
5,doodle.com,Science and Education > Biology,=,00:02:42,3.27,38.06%
6,doi.org,Science and Education > Biology,=,00:01:40,1.58,74.01%
7,springernature.com,Science and Education > Biology,=,00:03:10,3.56,44.86%
8,cell.com,Science and Education > Biology,=,00:02:43,2.53,53.73%
9,inaturalist.org,Science and Education > Biology,1,00:05:31,7.22,43%
10,z-lib.id,Science and Education > Biology,1,00:02:31,6.21,30.55%
11,silverchair.com,Science and Education > Biology,=,00:01:46,1.63,72.91%
12,biorxiv.org,Science and Education > Biology,=,00:02:14,2.41,53.82%
13,letpub.com.cn,Science and Education > Biology,1,00:03:50,3.21,34.75%
14,aspca.org,Science and Education > Biology,1,00:00:58,2.01,56.67%
15,biorender.com,Science and Education > Biology,3,00:05:31,6.00,30.63%
16,a-z-animals.com,Science and Education > Biology,3,00:00:51,2.06,49.74%
17,iris.go.kr,Science and Education > Biology,17,00:05:18,10.49,19.66%
18,benchling.com,Science and Education > Biology,12,00:08:02,8.02,32.53%
19,charite.de,Science and Education > Biology,3,00:04:59,5.06,43.68%
20,sciquest.com,Science and Education > Biology,2,00:09:42,11.29,15.29%
21,cmu.edu.tw,Science and Education > Biology,1,00:02:34,3.32,55.68%
22,nycu.edu.tw,Science and Education > Biology,3,00:06:20,8.01,33.56%
23,ut.ee,Science and Education > Biology,=,00:07:58,7.98,26.81%
24,hubermanlab.com,Science and Education > Biology,9,00:03:17,2.77,47.86%
25,pebblego.com,Science and Education > Biology,7,00:06:37,15.94,7.49%
26,asm.org,Science and Education > Biology,1,00:02:07,1.98,60.23%
27,ebi.ac.uk,Science and Education > Biology,4,00:05:07,5.18,39.27%
28,volgistics.com,Science and Education > Biology,4,00:04:26,6.25,33.73%
29,atyponrex.com,Science and Education > Biology,1,00:05:26,4.91,24.52%
30,europepmc.org,Science and Education > Biology,1,00:01:29,1.71,59.6%
31,bio-faq.ru,Science and Education > Biology,23,00:02:35,2.05,36.97%
32,rcsb.org,Science and Education > Biology,5,00:03:52,4.04,42.89%
33,researchsquare.com,Science and Education > Biology,6,00:01:08,2.54,53.4%
34,endnote.com,Science and Education > Biology,1,00:03:11,2.95,41.32%
35,amrita.edu,Science and Education > Biology,14,00:03:38,5.47,42.1%
36,kew.org,Science and Education > Biology,=,00:03:27,5.39,45.55%
37,i-egybest.com,Science and Education > Biology,11,00:01:34,2.89,45.45%
38,genome.gov,Science and Education > Biology,6,00:01:19,1.53,70.8%
39,paperpile.com,Science and Education > Biology,1,00:07:11,3.19,43.06%
40,royalsocietypublishing.org,Science and Education > Biology,=,00:01:24,1.84,55.98%
41,sci-hub.pub,Science and Education > Biology,16,00:01:09,1.54,67.37%
42,ablesci.com,Science and Education > Biology,7,00:04:40,5.67,46.58%
43,sandiegozoo.org,Science and Education > Biology,1,00:02:57,3.22,45.13%
44,biospace.com,Science and Education > Biology,3,00:01:19,1.85,67.02%
45,physiology.org,Science and Education > Biology,1,00:01:57,2.07,55.81%
46,cabidigitallibrary.org,Science and Education > Biology,7,00:01:19,1.86,56.46%
47,int-res.com,Science and Education > Biology,1,00:00:25,1.57,49.46%
48,ibric.org,Science and Education > Biology,5,00:02:38,4.06,36.19%
49,wellesu.com,Science and Education > Biology,32,00:04:27,3.08,42.63%
50,retractionwatch.com,Science and Education > Biology,29,00:01:19,1.78,59.2%
