Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,oreilly.com,Science and Education > Business Training,=,00:05:36,7.63,47.94%
2,tac-school.co.jp,Science and Education > Business Training,=,00:03:57,4.02,51.3%
3,tafensw.edu.au,Science and Education > Business Training,2,00:04:37,6.03,32.67%
4,u-can.co.jp,Science and Education > Business Training,1,00:02:01,2.58,67.47%
5,allfloridasafetyinstitute.com,Science and Education > Business Training,7,00:01:30,1.38,74.4%
6,iata.org,Science and Education > Business Training,2,00:03:32,4.96,43.54%
7,kakomonn.com,Science and Education > Business Training,1,00:14:23,7.63,36.17%
8,niidpo.ru,Science and Education > Business Training,=,00:05:03,6.27,32.17%
9,c-c-j.com,Science and Education > Business Training,2,00:02:33,3.35,45.85%
10,lec-jp.com,Science and Education > Business Training,=,00:05:20,5.99,44.09%
11,hogent.be,Science and Education > Business Training,2,00:08:14,10.40,20.57%
12,cbt-s.com,Science and Education > Business Training,1,00:02:52,2.37,56.92%
13,torrens.edu.au,Science and Education > Business Training,14,00:05:56,6.12,32.93%
14,open.edu.au,Science and Education > Business Training,5,00:02:39,4.33,44.34%
15,tafesa.edu.au,Science and Education > Business Training,28,00:09:54,11.64,28%
16,foresight.jp,Science and Education > Business Training,2,00:10:21,5.63,45.09%
17,u-can.jp,Science and Education > Business Training,4,00:08:59,8.62,42.54%
18,teambuilding.com,Science and Education > Business Training,5,00:00:54,1.47,62.39%
19,sanko.ac.jp,Science and Education > Business Training,6,00:05:24,3.85,48.04%
20,northmetrotafe.wa.edu.au,Science and Education > Business Training,44,00:04:24,5.55,28.13%
21,kentei.ne.jp,Science and Education > Business Training,5,00:03:16,4.11,43.73%
22,btt.network,Science and Education > Business Training,=,00:01:10,3.08,36.26%
23,provincedeliege.be,Science and Education > Business Training,7,00:03:05,5.93,30.73%
24,kdg.be,Science and Education > Business Training,10,00:08:22,6.70,21.83%
25,hermods.se,Science and Education > Business Training,5,00:07:00,5.98,23.54%
26,sanno.ac.jp,Science and Education > Business Training,2,00:05:42,6.32,36.71%
27,careers.duolingo.com,Science and Education > Business Training,8,00:01:39,3.35,52.19%
28,pxl.be,Science and Education > Business Training,13,00:08:17,8.30,31.05%
29,idrivesafely.com,Science and Education > Business Training,12,00:13:15,11.53,47.65%
30,o-hara.ac.jp,Science and Education > Business Training,3,00:06:49,6.99,38.73%
31,highspeedtraining.co.uk,Science and Education > Business Training,3,00:06:55,5.15,46.65%
32,vives.be,Science and Education > Business Training,9,00:02:10,2.43,54.78%
33,tds.ms,Science and Education > Business Training,3,00:06:10,3.37,41.25%
34,myhumandesign.com,Science and Education > Business Training,5,00:03:00,3.38,39.75%
35,studentarteveldehsbe.sharepoint.com,Science and Education > Business Training,12,00:04:48,4.04,47.09%
36,arteveldehogeschool.be,Science and Education > Business Training,3,00:02:38,2.40,59.99%
37,wbstraining.de,Science and Education > Business Training,11,00:04:02,5.20,36.76%
38,nti.nl,Science and Education > Business Training,2,00:02:53,2.57,58.06%
39,uprav.ru,Science and Education > Business Training,11,00:04:47,3.35,44.59%
40,vinci.be,Science and Education > Business Training,3,00:06:24,6.61,34.17%
41,convenia.com.br,Science and Education > Business Training,7,00:02:40,3.21,44.21%
42,crear-ac.co.jp,Science and Education > Business Training,=,00:03:23,2.44,65.26%
43,nebosh.org.uk,Science and Education > Business Training,4,00:07:07,6.22,42.19%
44,henallux.be,Science and Education > Business Training,6,00:02:47,4.96,33.61%
45,helha.be,Science and Education > Business Training,14,00:04:47,5.73,30.04%
46,ucll.be,Science and Education > Business Training,15,00:02:43,4.19,40.8%
47,superprof.be,Science and Education > Business Training,1,00:02:48,3.86,41.25%
48,cityandguilds.com,Science and Education > Business Training,=,00:02:04,4.30,38.79%
49,ehb.be,Science and Education > Business Training,17,00:06:20,5.97,29.65%
50,pic-chan.net,Science and Education > Business Training,1,00:04:04,3.49,50.81%
