Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,acs.org,Science and Education > Chemistry,=,00:04:27,3.41,42.63%
2,osmanonline.info,Science and Education > Chemistry,2,00:07:14,4.27,35.12%
3,sigmaaldrich.com,Science and Education > Chemistry,=,00:03:40,3.06,49.15%
4,rsc.org,Science and Education > Chemistry,2,00:03:34,2.60,50.45%
5,acetyl.ru,Science and Education > Chemistry,=,00:02:53,2.14,31.73%
6,libgenesis.net,Science and Education > Chemistry,1,00:01:34,4.87,31.55%
7,chemicalbook.com,Science and Education > Chemistry,1,00:04:33,9.63,46.94%
8,x-mol.com,Science and Education > Chemistry,1,00:06:26,4.47,34.79%
9,ptable.com,Science and Education > Chemistry,1,00:01:20,2.24,49.55%
10,stepenin.ru,Science and Education > Chemistry,3,00:09:01,20.46,27.33%
11,fishersci.com,Science and Education > Chemistry,1,00:03:08,3.69,51.31%
12,cas.org,Science and Education > Chemistry,1,00:08:07,10.99,23.09%
13,chemicalaid.com,Science and Education > Chemistry,1,00:02:04,2.14,58.11%
14,aktiv.com,Science and Education > Chemistry,9,00:05:39,6.59,18.94%
15,vwr.com,Science and Education > Chemistry,1,00:02:42,3.42,50.59%
16,tcichemicals.com,Science and Education > Chemistry,1,00:04:03,3.05,49.92%
17,masterorganicchemistry.com,Science and Education > Chemistry,1,00:01:52,1.89,62.21%
18,chemequations.com,Science and Education > Chemistry,3,00:02:53,3.44,48.02%
19,merckmillipore.com,Science and Education > Chemistry,1,00:02:10,2.89,41.28%
20,antpedia.com,Science and Education > Chemistry,=,00:03:00,2.59,59.78%
21,webqc.org,Science and Education > Chemistry,=,00:01:31,1.80,61.02%
22,studymind.co.uk,Science and Education > Chemistry,3,00:01:44,2.03,57.92%
23,sciencenotes.org,Science and Education > Chemistry,1,00:01:08,1.69,64.21%
24,aist.go.jp,Science and Education > Chemistry,=,00:03:28,4.44,46.8%
25,sovety-tut.ru,Science and Education > Chemistry,27,00:00:21,1.23,80.08%
26,chemrevise.org,Science and Education > Chemistry,2,00:03:02,2.80,40.22%
27,eurofins.com,Science and Education > Chemistry,=,00:08:14,6.65,35.53%
28,carlroth.com,Science and Education > Chemistry,4,00:02:06,2.66,54.95%
29,chemistryworld.com,Science and Education > Chemistry,2,00:01:10,1.61,58.32%
30,instrument.com.cn,Science and Education > Chemistry,1,00:01:50,2.19,56.23%
31,thermofisher.cn,Science and Education > Chemistry,6,00:04:26,5.04,41.39%
32,shimadzu.co.jp,Science and Education > Chemistry,2,00:02:38,3.21,51.54%
33,chemie.de,Science and Education > Chemistry,7,00:01:39,1.68,72.18%
34,waters.com,Science and Education > Chemistry,3,00:02:47,2.78,50.23%
35,colab.ws,Science and Education > Chemistry,2,00:00:46,1.68,63.76%
36,avantorsciences.com,Science and Education > Chemistry,21,00:03:02,4.25,43.03%
37,chemege.ru,Science and Education > Chemistry,5,00:04:37,2.23,46.27%
38,knowunity.de,Science and Education > Chemistry,4,00:02:10,3.47,47.66%
39,revvitycloud.com,Science and Education > Chemistry,=,00:10:15,16.81,8.5%
40,reaxys.com,Science and Education > Chemistry,11,00:07:19,15.76,13.53%
41,chemspider.com,Science and Education > Chemistry,8,00:01:47,2.53,50.52%
42,chemguide.co.uk,Science and Education > Chemistry,6,00:02:06,2.11,59.11%
43,chem-station.com,Science and Education > Chemistry,3,00:03:04,2.23,59.89%
44,bruker.com,Science and Education > Chemistry,6,00:01:49,3.14,48.8%
45,sci-hub.mk,Science and Education > Chemistry,34,00:01:46,1.89,52.75%
46,scihub.net.cn,Science and Education > Chemistry,12,00:01:50,2.74,41.07%
47,lernhelfer.de,Science and Education > Chemistry,9,00:00:58,1.57,69.38%
48,fz-juelich.de,Science and Education > Chemistry,5,00:03:59,4.45,35.53%
49,clackamas.edu,Science and Education > Chemistry,7,00:08:25,7.83,20.27%
50,pharmdbm.com,Science and Education > Chemistry,43,00:04:28,4.57,19.83%
