Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,usgs.gov,Science and Education > Earth Sciences,=,00:02:29,6.62,39.25%
2,ingv.it,Science and Education > Earth Sciences,=,00:06:44,4.04,51.38%
3,zamg.ac.at,Science and Education > Earth Sciences,=,00:01:38,4.02,31.88%
4,volcanodiscovery.com,Science and Education > Earth Sciences,3,00:01:44,1.98,58.31%
5,hcmr.gr,Science and Education > Earth Sciences,1,00:01:46,12.20,47.49%
6,nationalgeographic.org,Science and Education > Earth Sciences,1,00:01:15,1.80,62.69%
7,geology.com,Science and Education > Earth Sciences,3,00:01:24,2.04,58.07%
8,copernicus.eu,Science and Education > Earth Sciences,=,00:07:40,19.03,40.38%
9,topographic-map.com,Science and Education > Earth Sciences,=,00:02:54,19.78,33.44%
10,copernicus.org,Science and Education > Earth Sciences,1,00:02:19,2.23,52.71%
11,nrsc.gov.in,Science and Education > Earth Sciences,1,00:05:04,6.58,45.33%
12,mindat.org,Science and Education > Earth Sciences,2,00:02:38,3.33,56.06%
13,ncees.org,Science and Education > Earth Sciences,1,00:04:42,6.29,35.49%
14,kadaster.nl,Science and Education > Earth Sciences,1,00:05:12,11.37,28.89%
15,ucar.edu,Science and Education > Earth Sciences,2,00:07:03,8.61,49.08%
16,iris.edu,Science and Education > Earth Sciences,4,00:05:24,4.94,37.27%
17,ign.es,Science and Education > Earth Sciences,2,00:01:35,2.31,57.88%
18,emsc-csem.org,Science and Education > Earth Sciences,29,00:02:19,2.39,50.84%
19,trustmyscience.com,Science and Education > Earth Sciences,6,00:01:09,1.53,63.74%
20,wmo.int,Science and Education > Earth Sciences,2,00:01:12,2.23,53.39%
21,allmetsat.com,Science and Education > Earth Sciences,5,00:00:58,2.17,52.4%
22,vulkane.net,Science and Education > Earth Sciences,13,00:02:22,1.83,61.84%
23,meteo.fr,Science and Education > Earth Sciences,3,00:01:19,2.23,43.01%
24,gisgeography.com,Science and Education > Earth Sciences,3,00:01:03,1.72,57.37%
25,rics.org,Science and Education > Earth Sciences,4,00:06:28,6.44,44.69%
26,bosai.go.jp,Science and Education > Earth Sciences,3,00:01:55,2.17,69.44%
27,iirs.gov.in,Science and Education > Earth Sciences,16,00:03:44,5.99,43.35%
28,sentinel-hub.com,Science and Education > Earth Sciences,=,00:03:46,22.84,38.2%
29,ready.gov,Science and Education > Earth Sciences,12,00:01:19,2.22,57.94%
30,ametsoc.org,Science and Education > Earth Sciences,3,00:01:56,2.65,42.6%
31,bgs.ac.uk,Science and Education > Earth Sciences,1,00:01:25,2.17,55.49%
32,inpe.br,Science and Education > Earth Sciences,10,00:01:39,2.04,59.82%
33,senamhi.gob.pe,Science and Education > Earth Sciences,11,00:02:03,2.20,65.32%
34,ngac.cn,Science and Education > Earth Sciences,18,00:00:08,1.81,81.67%
35,kiost.ac.kr,Science and Education > Earth Sciences,4,00:10:27,13.45,52.71%
36,nsidc.org,Science and Education > Earth Sciences,2,00:00:55,2.00,53.86%
37,geonet.org.nz,Science and Education > Earth Sciences,7,00:01:53,1.99,53.68%
38,leica-geosystems.com,Science and Education > Earth Sciences,4,00:03:02,4.50,43.24%
39,geoscienceworld.org,Science and Education > Earth Sciences,2,00:01:40,1.89,57.09%
40,whoi.edu,Science and Education > Earth Sciences,1,00:01:04,2.19,52.59%
41,serbianmeteo.com,Science and Education > Earth Sciences,17,00:02:56,2.28,39.04%
42,gfz-potsdam.de,Science and Education > Earth Sciences,6,00:05:28,4.88,38.59%
43,geologyscience.com,Science and Education > Earth Sciences,7,00:01:11,1.63,54.74%
44,nationalmap.gov,Science and Education > Earth Sciences,19,00:01:16,1.75,52.79%
45,forgerock.io,Science and Education > Earth Sciences,5,00:01:58,2.83,31.73%
46,onepetro.org,Science and Education > Earth Sciences,13,00:01:47,2.05,56.14%
47,geokniga.org,Science and Education > Earth Sciences,2,00:01:09,2.06,50.56%
48,spe.org,Science and Education > Earth Sciences,2,00:01:12,3.86,50.52%
49,ga.gov.au,Science and Education > Earth Sciences,18,00:01:34,2.23,57.23%
50,agu.org,Science and Education > Earth Sciences,9,00:01:46,3.15,44.65%
