Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,instructure.com,Science and Education > Education,=,00:09:19,7.64,18.95%
2,scribd.com,Science and Education > Education,=,00:02:59,2.96,60.49%
3,clever.com,Science and Education > Education,=,00:03:28,3.80,25.78%
4,quizlet.com,Science and Education > Education,2,00:06:37,4.40,41.55%
5,toppr.com,Science and Education > Education,=,00:04:26,3.08,59.41%
6,udemy.com,Science and Education > Education,2,00:09:26,5.89,34.57%
7,byjus.com,Science and Education > Education,=,00:01:58,2.32,63.7%
8,blackboard.com,Science and Education > Education,7,00:07:35,9.06,20.9%
9,vietjack.com,Science and Education > Education,7,00:09:20,3.79,33.53%
10,duolingo.com,Science and Education > Education,1,00:08:50,6.48,31%
11,schoology.com,Science and Education > Education,1,00:08:18,7.13,17.25%
12,gdz.ru,Science and Education > Education,2,00:05:54,4.29,29.29%
13,grammarly.com,Science and Education > Education,=,00:02:39,2.89,41.07%
14,dnevnik.ru,Science and Education > Education,8,00:05:41,4.27,36.69%
15,quizizz.com,Science and Education > Education,9,00:09:22,10.67,27.75%
16,jagranjosh.com,Science and Education > Education,9,00:02:01,2.17,56.7%
17,studocu.com,Science and Education > Education,3,00:03:03,3.14,55.03%
18,uchi.ru,Science and Education > Education,5,00:09:40,13.80,29.51%
19,pearson.com,Science and Education > Education,11,00:08:14,7.52,20.18%
20,index-education.net,Science and Education > Education,9,00:02:44,2.19,56.23%
21,k12.com,Science and Education > Education,6,00:17:09,18.64,16.13%
22,coursera.org,Science and Education > Education,5,00:10:57,9.60,36.61%
23,librus.pl,Science and Education > Education,11,00:04:14,8.62,11.58%
24,blooket.com,Science and Education > Education,5,00:10:32,15.29,15.95%
25,wordwall.net,Science and Education > Education,10,00:05:16,4.44,44.27%
26,powerschool.com,Science and Education > Education,5,00:06:55,6.38,19.33%
27,pw.live,Science and Education > Education,9,00:07:38,7.25,32.11%
28,sdamgia.ru,Science and Education > Education,4,00:07:51,6.07,27.03%
29,ixl.com,Science and Education > Education,2,00:09:10,6.73,22.81%
30,nta.nic.in,Science and Education > Education,25,00:05:26,3.67,45.82%
31,mheducation.com,Science and Education > Education,11,00:12:39,17.43,12.93%
32,benesse.ne.jp,Science and Education > Education,6,00:02:41,3.80,59.8%
33,unam.mx,Science and Education > Education,3,00:04:28,5.12,52.87%
34,infourok.ru,Science and Education > Education,4,00:03:18,2.35,50.24%
35,examinationservices.nic.in,Science and Education > Education,36,00:12:03,9.49,24.56%
36,brightspace.com,Science and Education > Education,7,00:09:22,8.80,20.18%
37,academia.edu,Science and Education > Education,4,00:02:12,2.59,59.51%
38,shiksha.com,Science and Education > Education,4,00:02:37,2.40,61.44%
39,reshak.ru,Science and Education > Education,5,00:05:35,3.35,34.48%
40,sflix2.to,Science and Education > Education,32,00:06:18,3.72,43.44%
41,vedantu.com,Science and Education > Education,2,00:02:24,2.58,56.74%
42,loigiaihay.com,Science and Education > Education,23,00:04:26,3.44,29.04%
43,khanacademy.org,Science and Education > Education,3,00:08:14,5.73,44.73%
44,brainly.in,Science and Education > Education,3,00:02:48,2.31,61.15%
45,education.gouv.fr,Science and Education > Education,17,00:01:59,3.00,37.5%
46,signupgenius.com,Science and Education > Education,5,00:02:49,3.17,40.04%
47,cherrycreekschools.org,Science and Education > Education,10,00:08:47,8.40,11.63%
48,nsportal.ru,Science and Education > Education,2,00:03:43,2.39,52.58%
49,padlet.com,Science and Education > Education,5,00:04:42,4.03,50.38%
50,selfstudys.com,Science and Education > Education,30,00:04:57,3.27,44.66%
