Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,usda.gov,Science and Education > Environmental Science,=,00:03:01,3.49,52.44%
2,earth.com,Science and Education > Environmental Science,=,00:01:33,1.09,2.27%
3,scielo.org.mx,Science and Education > Environmental Science,1,00:01:55,1.66,65.06%
4,udocz.com,Science and Education > Environmental Science,2,00:02:32,2.91,59.78%
5,usherbrooke.ca,Science and Education > Environmental Science,2,00:05:28,6.15,33.14%
6,ewg.org,Science and Education > Environmental Science,2,00:02:47,4.74,46.29%
7,cnrs.fr,Science and Education > Environmental Science,2,00:04:21,4.62,49.48%
8,kuleuven.cloud,Science and Education > Environmental Science,5,00:07:30,7.41,16.8%
9,ibge.gov.br,Science and Education > Environmental Science,1,00:04:59,5.08,49.68%
10,scielo.org.co,Science and Education > Environmental Science,2,00:01:48,1.70,60.84%
11,dost.gov.ph,Science and Education > Environmental Science,=,00:01:49,2.31,49.52%
12,cas.cn,Science and Education > Environmental Science,3,00:03:01,4.00,49.06%
13,nabu.de,Science and Education > Environmental Science,5,00:01:27,2.15,55.24%
14,greenpeace.org,Science and Education > Environmental Science,=,00:01:29,1.78,66.02%
15,world.org,Science and Education > Environmental Science,2,00:01:50,2.63,59.02%
16,ecoportal.net,Science and Education > Environmental Science,10,00:01:08,1.38,68.87%
17,worldanimalfoundation.org,Science and Education > Environmental Science,1,00:01:32,1.61,60.06%
18,ecologiaverde.com,Science and Education > Environmental Science,1,00:03:12,1.93,63.38%
19,worldwildlife.org,Science and Education > Environmental Science,4,00:01:19,2.10,62.76%
20,icar.gov.in,Science and Education > Environmental Science,3,00:06:34,4.83,38.32%
21,mongabay.com,Science and Education > Environmental Science,1,00:00:57,1.55,76.01%
22,treehugger.com,Science and Education > Environmental Science,1,00:00:52,1.55,64.83%
23,fws.gov,Science and Education > Environmental Science,1,00:01:49,2.83,57.89%
24,miteco.gob.es,Science and Education > Environmental Science,4,00:02:35,2.75,54.37%
25,enbw.com,Science and Education > Environmental Science,2,00:03:34,4.14,42.16%
26,memberclicks.net,Science and Education > Environmental Science,1,00:02:59,4.36,41.82%
27,cas.cz,Science and Education > Environmental Science,2,00:04:55,3.93,39.02%
28,conicet.gov.ar,Science and Education > Environmental Science,4,00:04:30,4.56,52.54%
29,nature.org,Science and Education > Environmental Science,2,00:01:38,2.27,57.68%
30,climate-data.org,Science and Education > Environmental Science,=,00:01:00,2.07,57.68%
31,woodlandtrust.org.uk,Science and Education > Environmental Science,3,00:01:35,1.88,59.73%
32,nationalacademies.org,Science and Education > Environmental Science,1,00:02:00,6.10,43.16%
33,concytec.gob.pe,Science and Education > Environmental Science,4,00:03:07,3.70,47.12%
34,slu.se,Science and Education > Environmental Science,6,00:03:57,4.34,37.56%
35,australian.museum,Science and Education > Environmental Science,=,00:01:04,1.86,58.35%
36,zaragoza.es,Science and Education > Environmental Science,6,00:04:05,4.51,50.87%
37,ucanr.edu,Science and Education > Environmental Science,1,00:01:12,2.14,54.84%
38,nrdc.org,Science and Education > Environmental Science,1,00:01:42,2.92,53.76%
39,earth.org,Science and Education > Environmental Science,5,00:01:06,1.39,67.05%
40,dnv.com,Science and Education > Environmental Science,8,00:04:05,1.27,36.26%
41,ewisa.co.za,Science and Education > Environmental Science,17,00:01:19,4.20,53.54%
42,climate.gov,Science and Education > Environmental Science,1,00:00:58,1.69,64.75%
43,acciona.com,Science and Education > Environmental Science,52,00:00:52,1.68,64.1%
44,ajol.info,Science and Education > Environmental Science,1,00:00:57,2.46,55.91%
45,greenmatters.com,Science and Education > Environmental Science,1,00:00:40,1.42,54.99%
46,framaforms.org,Science and Education > Environmental Science,4,00:04:01,2.87,52.15%
47,ipcc.ch,Science and Education > Environmental Science,=,00:02:03,2.96,51.57%
48,nwf.org,Science and Education > Environmental Science,6,00:00:51,2.01,54.99%
49,obmep.org.br,Science and Education > Environmental Science,27,00:06:22,4.45,38.81%
50,frontlinewildfire.com,Science and Education > Environmental Science,45,00:00:49,1.46,59.74%
