Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,sparxmaths.com,Science and Education > Grants Scholarships and Financial Aid,1,00:01:29,1.37,77.02%
2,youthopportunitieshub.com,Science and Education > Grants Scholarships and Financial Aid,1,00:02:48,2.17,51.48%
3,txst.edu,Science and Education > Grants Scholarships and Financial Aid,2,00:02:06,2.16,62.64%
4,bold.org,Science and Education > Grants Scholarships and Financial Aid,1,00:03:43,8.10,44.14%
5,daadscholarship.com,Science and Education > Grants Scholarships and Financial Aid,1,00:01:06,1.98,49.95%
6,scholarshipuniverse.com,Science and Education > Grants Scholarships and Financial Aid,3,00:05:30,10.08,28.03%
7,scholarships.com,Science and Education > Grants Scholarships and Financial Aid,1,00:04:00,4.18,36.04%
8,fastweb.com,Science and Education > Grants Scholarships and Financial Aid,=,00:02:53,4.46,48.16%
9,scholarships365.info,Science and Education > Grants Scholarships and Financial Aid,11,00:02:12,5.08,44.03%
10,scholarshipdb.net,Science and Education > Grants Scholarships and Financial Aid,2,00:03:04,4.46,41.53%
11,webportalapp.com,Science and Education > Grants Scholarships and Financial Aid,1,00:05:08,4.82,37.02%
12,opportunitydesk.org,Science and Education > Grants Scholarships and Financial Aid,2,00:01:30,2.46,53.42%
13,chevening.org,Science and Education > Grants Scholarships and Financial Aid,5,00:01:56,3.65,37.74%
14,awardspring.com,Science and Education > Grants Scholarships and Financial Aid,3,00:03:58,5.36,44.01%
15,mykaleidoscope.com,Science and Education > Grants Scholarships and Financial Aid,8,00:05:30,5.67,40.99%
16,scholarshipowl.com,Science and Education > Grants Scholarships and Financial Aid,1,00:02:41,6.45,38.03%
17,scholarsapply.org,Science and Education > Grants Scholarships and Financial Aid,4,00:04:25,5.35,38.08%
18,sallie.com,Science and Education > Grants Scholarships and Financial Aid,1,00:02:09,2.84,41.09%
19,scholarshiproar.com,Science and Education > Grants Scholarships and Financial Aid,2,00:01:07,3.30,38.12%
20,scholarshipsads.com,Science and Education > Grants Scholarships and Financial Aid,1,00:01:24,3.73,44.5%
21,campuscommunicator.com,Science and Education > Grants Scholarships and Financial Aid,13,00:01:07,1.51,68.27%
22,studyaustralia.gov.au,Science and Education > Grants Scholarships and Financial Aid,3,00:01:33,2.87,47.26%
23,gatescambridge.org,Science and Education > Grants Scholarships and Financial Aid,1,00:00:48,1.44,58.64%
24,opportunitiespedia.com,Science and Education > Grants Scholarships and Financial Aid,2,00:00:47,2.08,52.73%
25,universityguru.com,Science and Education > Grants Scholarships and Financial Aid,3,00:01:03,2.10,46.78%
26,fellowshipbard.com,Science and Education > Grants Scholarships and Financial Aid,1,00:01:24,1.86,49.49%
27,opportunitiesforafricans.com,Science and Education > Grants Scholarships and Financial Aid,4,00:01:52,2.56,48.56%
28,communityforce.com,Science and Education > Grants Scholarships and Financial Aid,2,00:06:48,7.35,32.36%
29,utahtech.edu,Science and Education > Grants Scholarships and Financial Aid,=,00:02:23,3.65,41%
30,fcdo.gov.uk,Science and Education > Grants Scholarships and Financial Aid,2,00:01:03,2.73,40.75%
31,scholars4dev.com,Science and Education > Grants Scholarships and Financial Aid,=,00:01:50,3.82,40.84%
32,vigilearnlms.com,Science and Education > Grants Scholarships and Financial Aid,16,00:05:36,9.19,34.12%
33,fafsa.gov,Science and Education > Grants Scholarships and Financial Aid,2,00:00:03,1.03,95.62%
34,afterschoolafrica.com,Science and Education > Grants Scholarships and Financial Aid,2,00:00:58,2.45,48.58%
35,iefa.org,Science and Education > Grants Scholarships and Financial Aid,2,00:01:12,4.60,46.95%
36,ascentfunding.com,Science and Education > Grants Scholarships and Financial Aid,=,00:02:46,4.06,40.72%
37,uncf.org,Science and Education > Grants Scholarships and Financial Aid,4,00:03:36,4.27,42.63%
38,gilmanscholarship.org,Science and Education > Grants Scholarships and Financial Aid,10,00:01:35,2.27,56.53%
39,globalscholarships.com,Science and Education > Grants Scholarships and Financial Aid,1,00:01:16,2.59,43.23%
40,elmin7a.com,Science and Education > Grants Scholarships and Financial Aid,=,00:00:57,2.53,37.33%
41,unischolars.com,Science and Education > Grants Scholarships and Financial Aid,2,00:02:40,1.39,36.82%
42,ubastudent.online,Science and Education > Grants Scholarships and Financial Aid,576,00:02:40,4.68,20.73%
43,meindaad.de,Science and Education > Grants Scholarships and Financial Aid,2,00:02:30,8.33,28.43%
44,oyaop.com,Science and Education > Grants Scholarships and Financial Aid,=,00:00:52,2.09,47.37%
45,paradigmshift.com.pk,Science and Education > Grants Scholarships and Financial Aid,3,00:02:24,1.40,40.36%
46,usefp.org,Science and Education > Grants Scholarships and Financial Aid,8,00:01:37,2.71,44.04%
47,cdm.edu.eg,Science and Education > Grants Scholarships and Financial Aid,1,00:02:49,3.86,34.24%
48,pickascholarship.com,Science and Education > Grants Scholarships and Financial Aid,28,00:01:49,3.19,31.8%
49,nationalhonorsociety.org,Science and Education > Grants Scholarships and Financial Aid,4,00:01:27,2.87,45.75%
50,bayer-foundation.com,Science and Education > Grants Scholarships and Financial Aid,105,00:01:17,1.84,45.74%
