Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,archives.gov,Science and Education > History,=,00:02:20,3.25,61.72%
2,worldhistory.org,Science and Education > History,=,00:04:52,1.43,40.5%
3,alternatehistory.com,Science and Education > History,=,00:08:11,6.44,35.38%
4,cervantesvirtual.com,Science and Education > History,=,00:01:48,2.16,69.02%
5,ducksters.com,Science and Education > History,1,00:02:51,3.12,50.53%
6,histrf.ru,Science and Education > History,3,00:01:15,1.60,62.21%
7,historianet.nl,Science and Education > History,2,00:02:44,1.98,48.38%
8,historyquiz.com,Science and Education > History,=,00:03:43,1.77,48.75%
9,besthistorysites.net,Science and Education > History,1,00:01:10,2.44,57.04%
10,nationalww2museum.org,Science and Education > History,1,00:01:09,1.58,64.28%
11,timetoast.com,Science and Education > History,9,00:02:08,1.78,68.55%
12,annefrank.org,Science and Education > History,2,00:01:47,2.63,53.25%
13,freeupsc.org,Science and Education > History,6,00:02:45,4.24,36.99%
14,history.go.kr,Science and Education > History,1,00:03:11,4.01,54.76%
15,westpoint.edu,Science and Education > History,1,00:02:25,4.30,44.93%
16,smarthistory.org,Science and Education > History,5,00:02:41,2.15,60.02%
17,battlefields.org,Science and Education > History,=,00:01:21,1.65,62.41%
18,historyextra.com,Science and Education > History,3,00:00:49,1.65,65.72%
19,vle.lt,Science and Education > History,7,00:02:04,1.67,74.87%
20,diletant.media,Science and Education > History,1,00:01:20,1.92,54.67%
21,historyhit.com,Science and Education > History,2,00:00:47,1.85,64.59%
22,edelvivesdigitalplus.com,Science and Education > History,7,00:04:44,5.20,25.29%
23,whitehousehistory.org,Science and Education > History,5,00:00:44,1.88,60.51%
24,mountvernon.org,Science and Education > History,6,00:01:33,2.17,55%
25,millercenter.org,Science and Education > History,2,00:01:17,2.08,59.01%
26,deutsche-digitale-bibliothek.de,Science and Education > History,1,00:01:39,2.80,62.91%
27,americanyawp.com,Science and Education > History,8,00:04:24,3.38,47.36%
28,biografiasyvidas.com,Science and Education > History,11,00:02:31,1.69,72.3%
29,historic-uk.com,Science and Education > History,3,00:00:50,1.43,65.76%
30,neh.gov,Science and Education > History,4,00:03:23,2.37,53.61%
31,bushoojapan.com,Science and Education > History,9,00:04:40,2.79,58.43%
32,sutori.com,Science and Education > History,5,00:01:25,1.92,60.09%
33,womenshistory.org,Science and Education > History,17,00:01:12,1.48,66.77%
34,medievalists.net,Science and Education > History,6,00:01:06,1.58,55.4%
35,gilderlehrman.org,Science and Education > History,8,00:01:11,1.85,60.46%
36,cubicol.pe,Science and Education > History,8,00:09:39,9.16,27.12%
37,ciekawostkihistoryczne.pl,Science and Education > History,6,00:02:18,1.86,56.36%
38,facinghistory.org,Science and Education > History,4,00:01:02,1.87,56.1%
39,cruiserx.net,Science and Education > History,15,00:00:37,1.20,81.28%
40,studentontask.com,Science and Education > History,2,00:07:50,5.88,31.96%
41,ushistory.org,Science and Education > History,4,00:01:33,2.03,58.19%
42,historynet.com,Science and Education > History,1,00:00:50,1.50,66.28%
43,dp.la,Science and Education > History,16,00:02:02,3.27,50.37%
44,herodote.net,Science and Education > History,4,00:03:30,1.63,46.87%
45,theholocaustexplained.org,Science and Education > History,1,00:00:59,1.56,60.84%
46,alphahistory.com,Science and Education > History,5,00:01:10,1.69,60.85%
47,dar.org,Science and Education > History,11,00:09:02,10.80,30.46%
48,navigium.de,Science and Education > History,10,00:09:20,9.02,45.95%
49,tshaonline.org,Science and Education > History,8,00:01:36,1.62,60.33%
50,nzhistory.govt.nz,Science and Education > History,8,00:01:26,1.90,53.87%
