Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,goodreads.com,Science and Education > Libraries and Museums,=,00:04:12,4.62,49.22%
2,exlibrisgroup.com,Science and Education > Libraries and Museums,=,00:08:17,6.05,34.58%
3,bibliocommons.com,Science and Education > Libraries and Museums,=,00:04:03,5.70,27.98%
4,oceanofpdf.com,Science and Education > Libraries and Museums,=,00:03:54,11.18,19.96%
5,oclc.org,Science and Education > Libraries and Museums,=,00:07:31,8.45,25.11%
6,mybib.com,Science and Education > Libraries and Museums,1,00:07:13,8.95,27.17%
7,z-lib.gs,Science and Education > Libraries and Museums,1,00:07:36,9.43,27.7%
8,contentreserve.com,Science and Education > Libraries and Museums,2,00:01:09,1.60,63.9%
9,z-lib.io,Science and Education > Libraries and Museums,1,00:02:28,4.83,34.36%
10,babelio.com,Science and Education > Libraries and Museums,1,00:03:55,3.80,54.94%
11,citationmachine.net,Science and Education > Libraries and Museums,4,00:06:28,10.09,19.12%
12,si.edu,Science and Education > Libraries and Museums,1,00:02:01,3.06,58.65%
13,ndl.go.jp,Science and Education > Libraries and Museums,1,00:04:23,5.57,54.79%
14,openlibrary.org,Science and Education > Libraries and Museums,1,00:01:35,3.40,38.22%
15,znanierussia.ru,Science and Education > Libraries and Museums,4,00:01:47,2.29,46.95%
16,d1wqtxts1xzle7.cloudfront.net,Science and Education > Libraries and Museums,1,00:01:59,1.61,70.27%
17,plos.org,Science and Education > Libraries and Museums,1,00:01:55,1.85,62.57%
18,pdfroom.com,Science and Education > Libraries and Museums,6,00:02:46,5.73,41.15%
19,metmuseum.org,Science and Education > Libraries and Museums,1,00:02:31,3.78,52.4%
20,ushmm.org,Science and Education > Libraries and Museums,=,00:02:02,2.55,63.66%
21,gale.com,Science and Education > Libraries and Museums,1,00:03:15,3.54,51.72%
22,libkey.io,Science and Education > Libraries and Museums,5,00:04:27,3.57,16.64%
23,bnf.fr,Science and Education > Libraries and Museums,2,00:05:52,9.53,42.81%
24,lib.ru,Science and Education > Libraries and Museums,=,00:02:07,2.12,54.36%
25,scielo.cl,Science and Education > Libraries and Museums,=,00:01:19,1.58,69.13%
26,louvre.fr,Science and Education > Libraries and Museums,4,00:03:40,4.37,44.31%
27,momot.rs,Science and Education > Libraries and Museums,4,00:04:01,1.73,66.56%
28,moma.org,Science and Education > Libraries and Museums,2,00:02:02,3.74,50.16%
29,senecapolytechnic.ca,Science and Education > Libraries and Museums,6,00:08:35,11.10,24.49%
30,serialssolutions.com,Science and Education > Libraries and Museums,7,00:05:16,4.43,26.65%
31,aspendiscovery.org,Science and Education > Libraries and Museums,3,00:04:19,3.13,47%
32,torontopubliclibrary.ca,Science and Education > Libraries and Museums,3,00:03:27,6.49,27.99%
33,ozone.ru,Science and Education > Libraries and Museums,6,00:02:13,1.92,71.23%
34,rusneb.ru,Science and Education > Libraries and Museums,1,00:01:52,2.88,53.98%
35,nypl.org,Science and Education > Libraries and Museums,3,00:02:28,5.60,49.98%
36,medialibrary.it,Science and Education > Libraries and Museums,2,00:07:45,8.43,16.77%
37,pomahach.com,Science and Education > Libraries and Museums,63,00:04:45,4.15,44.92%
38,muzkult.ru,Science and Education > Libraries and Museums,4,00:02:07,2.78,51.34%
39,polarislibrary.com,Science and Education > Libraries and Museums,3,00:04:56,6.46,19.59%
40,bookey.app,Science and Education > Libraries and Museums,7,00:01:11,1.64,65.24%
41,banq.qc.ca,Science and Education > Libraries and Museums,1,00:04:26,11.32,29.12%
42,kb.nl,Science and Education > Libraries and Museums,1,00:01:14,2.26,57.6%
43,thecollector.com,Science and Education > Libraries and Museums,8,00:01:10,2.84,68.95%
44,wayf.dk,Science and Education > Libraries and Museums,1,00:00:58,1.70,51%
45,listal.com,Science and Education > Libraries and Museums,3,00:03:23,11.62,40.66%
46,britishmuseum.org,Science and Education > Libraries and Museums,2,00:02:30,4.39,51.8%
47,tate.org.uk,Science and Education > Libraries and Museums,1,00:01:39,2.93,54.53%
48,urait.ru,Science and Education > Libraries and Museums,4,00:07:32,9.72,38.39%
49,libgen.gs,Science and Education > Libraries and Museums,9,00:06:20,9.53,26.07%
50,nhm.ac.uk,Science and Education > Libraries and Museums,5,00:01:41,2.93,51.63%
