Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,1000kitap.com,Science and Education > Literature,=,00:05:14,4.67,51.99%
2,booknode.com,Science and Education > Literature,=,00:03:57,4.07,49.01%
3,allpoetry.com,Science and Education > Literature,=,00:02:31,3.06,62.55%
4,penguinlibros.com,Science and Education > Literature,1,00:01:16,2.41,62.56%
5,lovelybooks.de,Science and Education > Literature,1,00:02:11,2.05,66.8%
6,turkedebiyati.org,Science and Education > Literature,=,00:01:57,1.70,74.43%
7,mamalisa.com,Science and Education > Literature,=,00:00:44,1.73,54.54%
8,bookbrowse.com,Science and Education > Literature,=,00:00:48,1.82,55.17%
9,literatura.us,Science and Education > Literature,3,00:01:19,1.75,69.53%
10,randomhouse.com,Science and Education > Literature,1,00:01:53,2.89,58.58%
11,lecturia.org,Science and Education > Literature,2,00:01:29,2.16,62.07%
12,yourdailypoem.com,Science and Education > Literature,4,00:00:43,1.62,57.03%
13,thrillercafe.it,Science and Education > Literature,1,00:01:05,2.04,43.14%
14,pensieriparole.it,Science and Education > Literature,4,00:01:26,1.86,65.09%
15,michaelconnelly.com,Science and Education > Literature,4,00:01:02,2.34,49.55%
16,poetryinvoice.ca,Science and Education > Literature,9,00:02:00,3.35,49.28%
17,isbndb.com,Science and Education > Literature,=,00:01:21,3.56,43.14%
18,hyaenidae.narod.ru,Science and Education > Literature,2,00:01:41,1.72,77.1%
19,skazkaplus.ru,Science and Education > Literature,4,00:05:59,11.30,34.94%
20,poetrysociety.org,Science and Education > Literature,2,00:00:58,1.74,51.19%
21,bookpage.com,Science and Education > Literature,7,00:00:40,1.66,56.66%
22,k-12readinglist.com,Science and Education > Literature,4,00:00:43,1.65,56.39%
23,letralia.com,Science and Education > Literature,7,00:00:46,1.62,61.91%
24,readinggroupguides.com,Science and Education > Literature,2,00:01:01,1.87,63.22%
25,vseskazki.su,Science and Education > Literature,8,00:00:48,1.64,58.02%
26,folklore.ee,Science and Education > Literature,2,00:00:55,2.05,58.73%
27,booklistonline.com,Science and Education > Literature,12,00:02:21,5.52,34.39%
28,ruverses.com,Science and Education > Literature,8,00:02:49,4.38,40.29%
29,aynitap.com,Science and Education > Literature,8,00:00:32,1.83,25.7%
30,detskiychas.ru,Science and Education > Literature,11,00:02:13,1.51,63.11%
31,espoesia.com,Science and Education > Literature,1,00:02:45,1.81,58.33%
32,poemario.com,Science and Education > Literature,3,00:01:09,2.51,52.42%
33,syndetics.com,Science and Education > Literature,2,00:00:28,1.74,53.65%
34,oraltradition.org,Science and Education > Literature,41,00:01:04,1.37,59.88%
35,simplykalaa.com,Science and Education > Literature,2,00:01:01,1.90,45.48%
36,this-camp.blogspot.com,Science and Education > Literature,151,--,1.00,97.89%
37,towerofthehand.com,Science and Education > Literature,10,00:01:12,2.50,45.28%
38,dunenovels.com,Science and Education > Literature,=,00:01:10,2.25,47.13%
39,bernardcornwell.net,Science and Education > Literature,4,00:00:44,3.09,35.62%
40,the-instillery.com,Science and Education > Literature,1,00:00:37,1.39,73.36%
41,tolstoytherapy.com,Science and Education > Literature,7,00:01:29,1.83,47.88%
42,thebookbag.co.uk,Science and Education > Literature,7,00:00:22,1.56,55.61%
43,rialta.org,Science and Education > Literature,13,00:00:49,1.63,53.72%
44,bookishwayfarer.com,Science and Education > Literature,5,00:00:19,1.49,50.49%
45,rewirethewest.com,Science and Education > Literature,16,00:01:43,1.82,49.02%
46,alaindebotton.com,Science and Education > Literature,1,00:00:29,2.28,42.95%
47,sivir.ru,Science and Education > Literature,12,00:01:05,1.54,53.87%
48,turnerstories.com,Science and Education > Literature,3,00:00:35,1.44,49.45%
49,chinesefolklore.org.cn,Science and Education > Literature,19,00:00:30,1.65,56.42%
50,materialdeconsultaib.wordpress.com,Science and Education > Literature,6,00:01:27,2.79,11.63%
