Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,calculator.net,Science and Education > Math,=,00:02:51,3.49,33.42%
2,doubtnut.com,Science and Education > Math,=,00:04:35,3.03,47.46%
3,desmos.com,Science and Education > Math,1,00:02:54,3.29,59.29%
4,overleaf.com,Science and Education > Math,1,00:05:28,3.78,31.36%
5,omnicalculator.com,Science and Education > Math,=,00:01:05,1.65,63.96%
6,gauthmath.com,Science and Education > Math,=,00:03:29,3.16,45.73%
7,gradescope.com,Science and Education > Math,6,00:05:43,8.82,21.58%
8,webassign.net,Science and Education > Math,1,00:18:46,17.23,20.5%
9,calculatorsoup.com,Science and Education > Math,2,00:03:04,2.64,50.38%
10,symbolab.com,Science and Education > Math,=,00:05:26,3.98,31.19%
11,studyx.ai,Science and Education > Math,=,00:03:12,2.97,37.82%
12,mathworks.com,Science and Education > Math,=,00:06:56,5.41,34.94%
13,cuemath.com,Science and Education > Math,5,00:01:47,3.07,53.15%
14,edstem.org,Science and Education > Math,2,00:06:39,8.04,19.22%
15,studyflix.de,Science and Education > Math,1,00:06:58,1.18,7.09%
16,ethz.ch,Science and Education > Math,1,00:06:16,8.84,36.25%
17,mathsgenie.co.uk,Science and Education > Math,2,00:06:00,5.23,33.18%
18,zybooks.com,Science and Education > Math,6,00:12:45,6.11,23.19%
19,convertunits.com,Science and Education > Math,1,00:00:53,1.45,67.6%
20,youmath.it,Science and Education > Math,3,00:03:36,2.23,58.24%
21,arkusze.pl,Science and Education > Math,=,00:04:25,5.65,15.47%
22,univ-lyon1.fr,Science and Education > Math,=,00:06:10,6.74,28.89%
23,cerebry.co,Science and Education > Math,5,00:17:14,12.58,16.48%
24,educationperfect.com,Science and Education > Math,118,00:08:31,10.20,23.18%
25,brilliant.org,Science and Education > Math,2,00:03:59,4.37,45.34%
26,myopenmath.com,Science and Education > Math,18,00:14:37,12.62,22.26%
27,studydrive.net,Science and Education > Math,10,00:06:57,6.83,24.37%
28,mathspace.co,Science and Education > Math,84,00:09:48,11.54,19.63%
29,numerade.com,Science and Education > Math,3,00:01:09,1.94,54.51%
30,r-project.org,Science and Education > Math,5,00:02:04,2.02,54.55%
31,calculator.academy,Science and Education > Math,3,00:01:03,1.88,62.61%
32,socratic.org,Science and Education > Math,5,00:00:42,1.45,70.04%
33,wolfram.com,Science and Education > Math,2,00:02:09,2.84,53.96%
34,registroelettronico.com,Science and Education > Math,4,00:05:59,4.54,24.15%
35,planetcalc.com,Science and Education > Math,4,00:00:59,1.50,70.97%
36,posit.co,Science and Education > Math,6,00:01:52,2.20,56.69%
37,miniwebtool.com,Science and Education > Math,3,00:01:50,2.62,44.29%
38,somatematica.com.br,Science and Education > Math,7,00:03:58,2.88,55.13%
39,dataporten.no,Science and Education > Math,10,00:00:54,1.49,65.07%
40,matemaks.pl,Science and Education > Math,2,00:02:38,2.55,41.52%
41,bibmath.net,Science and Education > Math,8,00:02:32,1.97,51.04%
42,cke.gov.pl,Science and Education > Math,4,00:02:24,3.81,51.41%
43,integral-calculator.com,Science and Education > Math,13,00:01:33,1.71,70.62%
44,mathgptpro.com,Science and Education > Math,1,00:02:50,3.50,36.01%
45,univ-toulouse.fr,Science and Education > Math,6,00:03:55,4.51,36.41%
46,letsjerk.tv,Science and Education > Math,4,00:04:42,8.87,25.01%
47,cahier-de-prepa.fr,Science and Education > Math,6,00:03:15,5.10,30.79%
48,univ-rennes1.fr,Science and Education > Math,16,00:04:54,6.14,23.66%
49,math-gpt.org,Science and Education > Math,=,00:03:38,3.41,51.74%
50,statology.org,Science and Education > Math,3,00:01:07,1.34,77.2%
