Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,lesswrong.com,Science and Education > Philosophy,=,00:03:06,2.73,48.89%
2,philpapers.org,Science and Education > Philosophy,=,00:02:06,2.52,54.88%
3,anthiago.com,Science and Education > Philosophy,=,00:01:47,2.76,48.03%
4,fivebooks.com,Science and Education > Philosophy,=,00:01:05,2.02,62.35%
5,philpeople.org,Science and Education > Philosophy,2,00:02:57,2.98,46.59%
6,monoskop.org,Science and Education > Philosophy,2,00:00:47,1.68,62.02%
7,effectivealtruism.org,Science and Education > Philosophy,1,00:03:34,3.14,44.3%
8,philarchive.org,Science and Education > Philosophy,1,00:00:48,1.69,58.3%
9,leiterreports.typepad.com,Science and Education > Philosophy,1,00:03:42,1.97,60.15%
10,theanarchistlibrary.org,Science and Education > Philosophy,3,00:02:14,2.89,54.09%
11,singlelogin.re,Science and Education > Philosophy,6,00:00:35,1.62,64.62%
12,uqac.ca,Science and Education > Philosophy,2,00:04:59,6.29,31.41%
13,philomag.com,Science and Education > Philosophy,2,00:01:23,1.91,61.84%
14,major-prepa.com,Science and Education > Philosophy,2,00:02:57,2.35,59.28%
15,zlibrary.pt,Science and Education > Philosophy,=,00:01:01,1.77,57.8%
16,safe.ai,Science and Education > Philosophy,35,00:02:42,2.33,54.44%
17,dreammoods.com,Science and Education > Philosophy,1,00:02:08,3.63,38.15%
18,dailynous.com,Science and Education > Philosophy,1,00:01:24,1.88,55.54%
19,philosopherscocoon.typepad.com,Science and Education > Philosophy,1,00:05:07,2.47,49.68%
20,thepointmag.com,Science and Education > Philosophy,25,00:02:28,2.24,57.52%
21,poesialatina.it,Science and Education > Philosophy,1,00:03:22,2.70,59.81%
22,clearerthinking.org,Science and Education > Philosophy,1,00:02:29,3.53,38.78%
23,dwarkeshpatel.com,Science and Education > Philosophy,3,00:01:42,2.75,44.42%
24,thenewatlantis.com,Science and Education > Philosophy,29,00:01:47,1.84,55.66%
25,loebclassics.com,Science and Education > Philosophy,1,00:05:43,5.96,39.38%
26,philosophynow.org,Science and Education > Philosophy,1,00:03:13,2.84,52.95%
27,herdereditorial.com,Science and Education > Philosophy,3,00:01:02,1.97,53.81%
28,asteriskmag.com,Science and Education > Philosophy,26,00:04:48,2.73,44.9%
29,philjobs.org,Science and Education > Philosophy,8,00:02:48,2.60,41.97%
30,3quarksdaily.com,Science and Education > Philosophy,9,00:00:38,1.99,52.84%
31,puter.com,Science and Education > Philosophy,11,00:01:44,3.04,44.6%
32,euppublishing.com,Science and Education > Philosophy,=,00:01:02,2.18,48.6%
33,filosofia.org,Science and Education > Philosophy,1,00:01:05,1.53,63.69%
34,traficantes.net,Science and Education > Philosophy,5,00:00:32,1.83,56.25%
35,ecoleenligne.be,Science and Education > Philosophy,17,00:04:07,4.52,25.68%
36,filco.es,Science and Education > Philosophy,1,00:01:04,1.53,67.3%
37,newbooksnetwork.com,Science and Education > Philosophy,13,00:03:27,3.65,40.58%
38,myndighetspost.se,Science and Education > Philosophy,16,00:02:49,6.79,21.37%
39,alianzaeditorial.es,Science and Education > Philosophy,3,00:01:08,2.23,57.13%
40,pdcnet.org,Science and Education > Philosophy,13,00:00:57,2.61,51.51%
41,philosophybreak.com,Science and Education > Philosophy,13,00:01:20,1.94,48.34%
42,euston96.com,Science and Education > Philosophy,73,00:01:41,1.49,70.6%
43,seuil.com,Science and Education > Philosophy,=,00:01:00,1.73,56.42%
44,aynrand.org,Science and Education > Philosophy,11,00:01:58,3.08,42.4%
45,mediaclasse.fr,Science and Education > Philosophy,1,00:03:22,2.93,55.14%
46,misterprepa.net,Science and Education > Philosophy,11,00:00:55,1.60,68.28%
47,academyofideas.com,Science and Education > Philosophy,12,00:01:37,3.83,46.67%
48,platona.net,Science and Education > Philosophy,7,00:06:01,5.42,49.53%
49,akal.com,Science and Education > Philosophy,2,00:05:03,5.39,55.79%
50,alignmentforum.org,Science and Education > Philosophy,6,00:01:03,2.14,45.81%
