Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,iop.org,Science and Education > Physics,1,00:02:08,2.05,53.37%
2,cern.ch,Science and Education > Physics,1,00:04:55,6.26,36.62%
3,aps.org,Science and Education > Physics,=,00:03:52,3.62,43.93%
4,mpg.de,Science and Education > Physics,=,00:04:15,3.93,46.23%
5,aip.org,Science and Education > Physics,2,00:02:16,1.96,63.19%
6,smodin.io,Science and Education > Physics,1,00:02:35,2.71,52.99%
7,caltech.edu,Science and Education > Physics,1,00:02:15,3.23,52.67%
8,clarivate.cn,Science and Education > Physics,=,00:09:53,9.03,11.71%
9,quantamagazine.org,Science and Education > Physics,4,00:01:25,1.72,67.23%
10,optica.org,Science and Education > Physics,5,00:03:40,4.04,28.59%
11,yesmovies.mn,Science and Education > Physics,1,00:06:20,4.33,35.91%
12,pw.edu.pl,Science and Education > Physics,1,00:06:32,8.62,25.31%
13,research.gov,Science and Education > Physics,4,00:03:06,6.19,30.5%
14,inspirehep.net,Science and Education > Physics,=,00:03:25,4.13,40.99%
15,mephi.ru,Science and Education > Physics,3,00:03:24,4.23,35.14%
16,physicsclassroom.com,Science and Education > Physics,=,00:02:40,2.53,55.87%
17,theexpertta.com,Science and Education > Physics,17,00:05:39,5.82,17.7%
18,pdfdrive.to,Science and Education > Physics,1,00:01:56,4.61,35.86%
19,mipt.ru,Science and Education > Physics,4,00:03:30,4.21,40.46%
20,nsu.ru,Science and Education > Physics,5,00:02:15,4.20,38.33%
21,leifiphysik.de,Science and Education > Physics,=,00:03:39,2.68,61.51%
22,askaichat.app,Science and Education > Physics,5,00:02:39,3.49,29.21%
23,physicsforums.com,Science and Education > Physics,11,00:00:53,1.47,63.23%
24,infn.it,Science and Education > Physics,4,00:08:30,4.95,47.07%
25,jlab.com,Science and Education > Physics,3,00:01:49,3.19,44.58%
26,isaacphysics.org,Science and Education > Physics,6,00:09:43,8.41,35.82%
27,thorlabs.com,Science and Education > Physics,5,00:04:12,5.02,41.36%
28,sciencing.com,Science and Education > Physics,1,00:00:51,1.59,61.56%
29,lbl.gov,Science and Education > Physics,2,00:02:53,3.49,52.35%
30,comsol.com,Science and Education > Physics,3,00:03:13,3.47,47.49%
31,univ-lemans.fr,Science and Education > Physics,1,00:05:03,5.83,25.63%
32,test-uz.ru,Science and Education > Physics,8,00:03:02,4.53,46.68%
33,thequantuminsider.com,Science and Education > Physics,7,00:01:34,1.80,54.9%
34,imperiallondon-my.sharepoint.com,Science and Education > Physics,3,00:05:00,7.03,24.18%
35,ictp.it,Science and Education > Physics,6,00:02:26,2.48,53.15%
36,nsfc.cn,Science and Education > Physics,24,00:07:27,7.69,28.39%
37,originlab.com,Science and Education > Physics,1,00:02:55,3.08,48.16%
38,xblqugex.cc,Science and Education > Physics,=,00:05:33,2.66,62.23%
39,tifr.res.in,Science and Education > Physics,5,00:02:36,3.99,37.75%
40,fisicalab.com,Science and Education > Physics,12,00:02:45,2.14,56.9%
41,cfd-online.com,Science and Education > Physics,2,00:01:52,2.20,56.1%
42,bnl.gov,Science and Education > Physics,3,00:08:16,6.02,36.55%
43,simpleclub.com,Science and Education > Physics,4,00:02:22,3.63,63.13%
44,animehay.de,Science and Education > Physics,20,00:00:49,1.15,91.1%
45,physicsworld.com,Science and Education > Physics,3,00:00:58,1.51,66.54%
46,desy.de,Science and Education > Physics,=,00:03:32,4.22,44.19%
47,uec.ac.jp,Science and Education > Physics,=,00:05:02,6.65,45.78%
48,electricity-magnetism.org,Science and Education > Physics,56,00:00:26,1.77,52.31%
49,zftsh.online,Science and Education > Physics,13,00:04:34,6.03,35.75%
50,icourse.club,Science and Education > Physics,31,00:03:26,3.68,30.38%
