Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,yelp.com,Reference Materials > Public Records and Directories,=,00:02:22,4.80,49.92%
2,whitepages.com,Reference Materials > Public Records and Directories,=,00:02:36,3.93,43.26%
3,fastpeoplesearch.com,Reference Materials > Public Records and Directories,=,00:04:19,5.13,36.43%
4,truepeoplesearch.com,Reference Materials > Public Records and Directories,=,00:05:31,5.83,39.24%
5,beenverified.com,Reference Materials > Public Records and Directories,1,00:03:12,3.54,49.98%
6,hitta.se,Reference Materials > Public Records and Directories,1,00:02:03,5.07,41.04%
7,meinestadt.de,Reference Materials > Public Records and Directories,=,00:02:38,2.73,47.56%
8,paginegialle.it,Reference Materials > Public Records and Directories,=,00:01:19,2.13,52.77%
9,clever-tanken.de,Reference Materials > Public Records and Directories,=,00:03:05,2.73,54.26%
10,yellowpages.com,Reference Materials > Public Records and Directories,=,00:01:46,2.65,57.06%
11,dasoertliche.de,Reference Materials > Public Records and Directories,=,00:01:27,2.26,55.63%
12,intelius.com,Reference Materials > Public Records and Directories,5,00:02:34,3.59,42.67%
13,dastelefonbuch.de,Reference Materials > Public Records and Directories,=,00:01:30,2.52,57.94%
14,yelp.ca,Reference Materials > Public Records and Directories,=,00:01:42,3.05,52.39%
15,schulferien.org,Reference Materials > Public Records and Directories,3,00:01:12,1.55,73.98%
16,jsprav.ru,Reference Materials > Public Records and Directories,2,00:00:56,1.87,48.4%
17,forebears.io,Reference Materials > Public Records and Directories,2,00:01:55,3.07,57.74%
18,spravker.ru,Reference Materials > Public Records and Directories,4,00:00:38,1.67,44.36%
19,paginebianche.it,Reference Materials > Public Records and Directories,4,00:01:21,2.40,53.3%
20,nn.de,Reference Materials > Public Records and Directories,1,00:02:23,2.45,53.12%
21,krak.dk,Reference Materials > Public Records and Directories,1,00:02:26,8.00,43.48%
22,ich-tanke.de,Reference Materials > Public Records and Directories,6,00:02:05,1.73,68.12%
23,192.com,Reference Materials > Public Records and Directories,1,00:01:34,3.60,47.81%
24,fastbackgroundcheck.com,Reference Materials > Public Records and Directories,5,00:03:41,4.57,39.25%
25,oraridiapertura24.it,Reference Materials > Public Records and Directories,=,00:01:00,1.55,68.6%
26,searchpeoplefree.com,Reference Materials > Public Records and Directories,=,00:05:04,5.66,37.84%
27,local.ch,Reference Materials > Public Records and Directories,4,00:03:50,2.46,47.56%
28,yell.com,Reference Materials > Public Records and Directories,=,00:02:59,2.51,53.12%
29,yellowpages.ca,Reference Materials > Public Records and Directories,2,00:01:01,1.64,63.84%
30,veripages.com,Reference Materials > Public Records and Directories,16,00:00:55,2.75,52.96%
31,gelbeseiten.de,Reference Materials > Public Records and Directories,1,00:01:07,1.77,74.81%
32,canada411.ca,Reference Materials > Public Records and Directories,3,00:03:00,4.02,42.89%
33,meteomedia.de,Reference Materials > Public Records and Directories,1,00:01:15,1.36,78.69%
34,yellowpages.com.eg,Reference Materials > Public Records and Directories,2,00:01:22,1.83,51.13%
35,chamberofcommerce.com,Reference Materials > Public Records and Directories,4,00:00:49,1.36,69.09%
36,yell.ru,Reference Materials > Public Records and Directories,3,00:01:03,2.00,55.15%
37,411.com,Reference Materials > Public Records and Directories,3,00:01:44,2.63,47.85%
38,heizoel24.de,Reference Materials > Public Records and Directories,2,00:00:47,1.95,63.65%
39,novayagazeta.eu,Reference Materials > Public Records and Directories,1,00:02:12,1.76,63.56%
40,11880.com,Reference Materials > Public Records and Directories,3,00:01:13,1.85,64.77%
41,orgpage.ru,Reference Materials > Public Records and Directories,3,00:00:46,1.71,48.15%
42,innn.it,Reference Materials > Public Records and Directories,27,00:01:41,2.06,55.3%
43,golocal.de,Reference Materials > Public Records and Directories,1,00:00:22,1.39,77.05%
44,wetter.at,Reference Materials > Public Records and Directories,6,00:00:21,1.49,42.87%
45,cylex.de,Reference Materials > Public Records and Directories,4,00:00:51,1.67,68.36%
46,paginasamarillas.es,Reference Materials > Public Records and Directories,1,00:01:23,1.76,71.45%
47,astralcodexten.com,Reference Materials > Public Records and Directories,4,00:04:45,2.67,43.56%
48,unmask.com,Reference Materials > Public Records and Directories,3,00:01:04,2.27,48.13%
49,werkenntdenbesten.de,Reference Materials > Public Records and Directories,1,00:02:29,2.58,50.92%
50,yellowbook.com,Reference Materials > Public Records and Directories,3,00:00:57,2.37,58.67%
