Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,archive.org,Science and Education > Science and Education - Other,=,00:04:36,8.15,43.88%
2,researchgate.net,Science and Education > Science and Education - Other,=,00:04:03,4.20,40.04%
3,quillbot.com,Science and Education > Science and Education - Other,=,00:04:17,3.73,45.07%
4,wiley.com,Science and Education > Science and Education - Other,1,00:05:02,4.39,46.72%
5,naturecaptions.com,Science and Education > Science and Education - Other,1,00:21:12,7.30,25.35%
6,nasa.gov,Science and Education > Science and Education - Other,=,00:03:14,4.24,55.59%
7,mdpi.com,Science and Education > Science and Education - Other,1,00:03:27,2.57,62.44%
8,livescience.com,Science and Education > Science and Education - Other,1,00:00:57,1.51,47.2%
9,cnki.net,Science and Education > Science and Education - Other,1,00:07:56,7.03,22.14%
10,ieee.org,Science and Education > Science and Education - Other,1,00:04:43,4.89,32.99%
11,scitechdaily.com,Science and Education > Science and Education - Other,5,00:01:07,1.59,53.12%
12,openathens.net,Science and Education > Science and Education - Other,2,00:03:05,3.00,44.75%
13,stayfocusd.com,Science and Education > Science and Education - Other,=,00:03:37,2.18,60.84%
14,jst.go.jp,Science and Education > Science and Education - Other,2,00:03:04,2.84,56.18%
15,libgen.is,Science and Education > Science and Education - Other,6,00:03:10,5.57,29.1%
16,sci-hub.se,Science and Education > Science and Education - Other,1,00:04:32,4.01,29.57%
17,phys.org,Science and Education > Science and Education - Other,3,00:01:18,1.95,49.06%
18,cyberleninka.ru,Science and Education > Science and Education - Other,=,00:03:10,2.70,48.97%
19,science.org,Science and Education > Science and Education - Other,6,00:02:17,2.05,61.19%
20,futura-sciences.com,Science and Education > Science and Education - Other,1,00:00:50,1.51,50.91%
21,orcid.org,Science and Education > Science and Education - Other,=,00:02:42,3.18,37.39%
22,wordcounter.net,Science and Education > Science and Education - Other,=,00:01:48,1.64,75.89%
23,studwork.ru,Science and Education > Science and Education - Other,8,00:06:23,4.05,44.39%
24,yumpu.com,Science and Education > Science and Education - Other,1,00:01:22,2.60,52.2%
25,semanticscholar.org,Science and Education > Science and Education - Other,1,00:02:21,2.57,56.2%
26,manuscriptcentral.com,Science and Education > Science and Education - Other,2,00:05:34,7.34,23.77%
27,ulaval.ca,Science and Education > Science and Education - Other,3,00:07:14,11.60,22.51%
28,duplichecker.com,Science and Education > Science and Education - Other,1,00:02:49,2.36,38.88%
29,umontreal.ca,Science and Education > Science and Education - Other,1,00:07:58,9.09,23.26%
30,redalyc.org,Science and Education > Science and Education - Other,11,00:02:41,1.92,67.63%
31,bis.edu.iq,Science and Education > Science and Education - Other,3,00:05:55,4.03,29.1%
32,ted.com,Science and Education > Science and Education - Other,3,00:02:53,2.79,48.52%
33,howstuffworks.com,Science and Education > Science and Education - Other,=,00:01:23,1.70,65.32%
34,thecalculatorsite.com,Science and Education > Science and Education - Other,2,00:01:15,1.74,67.64%
35,brainly.ph,Science and Education > Science and Education - Other,5,00:04:08,2.42,53.68%
36,dergipark.org.tr,Science and Education > Science and Education - Other,5,00:03:17,3.39,39.63%
37,cnpq.br,Science and Education > Science and Education - Other,2,00:07:01,7.90,19.23%
38,u-tokyo.ac.jp,Science and Education > Science and Education - Other,1,00:04:28,4.36,47.01%
39,tudelft.nl,Science and Education > Science and Education - Other,3,00:08:14,9.07,25.95%
40,ugent.be,Science and Education > Science and Education - Other,13,00:08:14,7.76,22.49%
41,taylorfrancis.com,Science and Education > Science and Education - Other,5,00:01:51,2.36,50.75%
42,unitconverters.net,Science and Education > Science and Education - Other,6,00:00:53,1.52,71.57%
43,eduid.ch,Science and Education > Science and Education - Other,12,00:01:38,5.02,7.35%
44,muni.cz,Science and Education > Science and Education - Other,6,00:06:56,7.27,29.59%
45,scientificamerican.com,Science and Education > Science and Education - Other,2,00:01:02,1.58,69.5%
46,alldatasheet.com,Science and Education > Science and Education - Other,3,00:02:41,4.07,44.14%
47,tsinghua.edu.cn,Science and Education > Science and Education - Other,9,00:04:07,7.51,36.98%
48,bg.ac.rs,Science and Education > Science and Education - Other,4,00:01:35,3.85,13.33%
49,pku.edu.cn,Science and Education > Science and Education - Other,9,00:05:06,8.43,35.88%
50,researchmap.jp,Science and Education > Science and Education - Other,=,00:02:47,3.14,50.37%
