Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,elsevier.com,Science and Education > Social Sciences,=,00:03:36,4.29,50.6%
2,naurok.com.ua,Science and Education > Social Sciences,5,00:05:07,4.57,38.01%
3,nz.ua,Science and Education > Social Sciences,3,00:07:51,6.61,23.98%
4,jstor.org,Science and Education > Social Sciences,1,00:04:00,6.24,45.33%
5,ksu.edu.sa,Science and Education > Social Sciences,3,00:02:15,4.72,42.52%
6,sagepub.com,Science and Education > Social Sciences,2,00:02:57,2.85,55.57%
7,apa.org,Science and Education > Social Sciences,2,00:02:34,2.43,56.34%
8,vseosvita.ua,Science and Education > Social Sciences,4,00:04:12,3.73,48.47%
9,smhi.se,Science and Education > Social Sciences,4,00:01:20,2.29,47.24%
10,1lib.sk,Science and Education > Social Sciences,2,00:07:52,8.37,26.67%
11,mrkoll.se,Science and Education > Social Sciences,1,00:02:00,2.69,51.5%
12,timeedit.net,Science and Education > Social Sciences,2,00:04:38,4.57,36.44%
13,cloud.timeedit.net,Science and Education > Social Sciences,2,00:04:45,3.91,39.59%
14,geo.de,Science and Education > Social Sciences,1,00:01:02,1.84,45.63%
15,italki.com,Science and Education > Social Sciences,2,00:05:19,5.43,36.19%
16,cairn.info,Science and Education > Social Sciences,=,00:03:19,2.96,56.13%
17,duunitori.fi,Science and Education > Social Sciences,1,00:03:34,5.22,37.3%
18,human.ua,Science and Education > Social Sciences,12,00:09:05,9.04,25.25%
19,ssrn.com,Science and Education > Social Sciences,2,00:02:06,2.17,57.01%
20,grandid.com,Science and Education > Social Sciences,=,00:01:18,2.96,18.37%
21,shkola.in.ua,Science and Education > Social Sciences,12,00:02:11,2.27,34.52%
22,gramota.ru,Science and Education > Social Sciences,7,00:02:25,2.26,56.43%
23,weforum.org,Science and Education > Social Sciences,4,00:01:22,1.83,68.81%
24,uw.edu.pl,Science and Education > Social Sciences,=,00:04:02,6.32,24.99%
25,pidruchnyk.com.ua,Science and Education > Social Sciences,11,00:04:08,2.69,51.02%
26,fastighetsbyran.com,Science and Education > Social Sciences,3,00:03:20,2.55,55.13%
27,stockholm.se,Science and Education > Social Sciences,1,00:04:30,11.01,32.33%
28,eiken.or.jp,Science and Education > Social Sciences,6,00:05:29,5.83,36.65%
29,merinfo.se,Science and Education > Social Sciences,2,00:03:13,3.46,48.61%
30,oncf.ma,Science and Education > Social Sciences,1,00:02:39,3.39,27.39%
31,finna.fi,Science and Education > Social Sciences,5,00:03:02,4.86,27.74%
32,textometr.ru,Science and Education > Social Sciences,21,00:02:27,1.19,60.75%
33,psytests.org,Science and Education > Social Sciences,2,00:05:01,10.86,30.42%
34,elte.hu,Science and Education > Social Sciences,=,00:05:28,6.52,33.54%
35,trafikverket.se,Science and Education > Social Sciences,10,00:04:56,5.63,43.14%
36,schoolsoft.se,Science and Education > Social Sciences,4,00:04:02,4.88,30.67%
37,esri.com,Science and Education > Social Sciences,4,00:03:47,3.58,47.98%
38,helsinki.fi,Science and Education > Social Sciences,1,00:05:43,6.76,35.58%
39,unicaen.fr,Science and Education > Social Sciences,=,00:06:22,5.30,27.38%
40,8next.com,Science and Education > Social Sciences,35,00:03:26,2.99,43.71%
41,foreignaffairs.com,Science and Education > Social Sciences,13,00:01:45,2.09,55.61%
42,korean.go.kr,Science and Education > Social Sciences,4,00:05:12,3.98,48.03%
43,goteborg.se,Science and Education > Social Sciences,3,00:02:46,4.54,36.46%
44,bremen.de,Science and Education > Social Sciences,11,00:03:43,3.80,51.83%
45,nationalgeographic.fr,Science and Education > Social Sciences,7,00:00:52,1.77,49.59%
46,ourworldindata.org,Science and Education > Social Sciences,1,00:02:16,8.00,56.02%
47,tabroom.com,Science and Education > Social Sciences,15,00:11:50,14.39,15.86%
48,routledge.com,Science and Education > Social Sciences,4,00:01:13,1.96,63.03%
49,ine.es,Science and Education > Social Sciences,6,00:03:01,4.82,40.25%
50,persee.fr,Science and Education > Social Sciences,2,00:01:38,1.61,74.47%
