Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,cambridge.org,Science and Education > Universities and Colleges,=,00:04:29,3.86,53.2%
2,mit.edu,Science and Education > Universities and Colleges,1,00:08:57,9.30,34.67%
3,studentaid.gov,Science and Education > Universities and Colleges,1,00:07:01,11.71,27.84%
4,harvard.edu,Science and Education > Universities and Colleges,=,00:03:00,3.27,57.71%
5,shaalaa.com,Science and Education > Universities and Colleges,2,00:06:32,3.75,50.14%
6,iyf.tv,Science and Education > Universities and Colleges,1,00:07:39,3.95,39.68%
7,cuny.edu,Science and Education > Universities and Colleges,8,00:07:27,8.40,25.64%
8,stanford.edu,Science and Education > Universities and Colleges,1,00:03:39,4.01,47.16%
9,utoronto.ca,Science and Education > Universities and Colleges,1,00:07:43,7.15,24.48%
10,usg.edu,Science and Education > Universities and Colleges,7,00:09:33,8.15,15.5%
11,cornell.edu,Science and Education > Universities and Colleges,2,00:04:45,4.18,45.79%
12,estacio.br,Science and Education > Universities and Colleges,6,00:06:14,5.90,36.48%
13,berkeley.edu,Science and Education > Universities and Colleges,9,00:05:26,5.12,39.05%
14,elluciancloud.com,Science and Education > Universities and Colleges,4,00:02:02,3.01,21.96%
15,ubc.ca,Science and Education > Universities and Colleges,4,00:08:27,6.76,26.61%
16,purdue.edu,Science and Education > Universities and Colleges,5,00:03:20,3.86,41.89%
17,joinhandshake.com,Science and Education > Universities and Colleges,5,00:05:25,7.46,30.1%
18,umich.edu,Science and Education > Universities and Colleges,4,00:04:33,6.57,36.33%
19,columbia.edu,Science and Education > Universities and Colleges,5,00:04:41,4.63,45.48%
20,scribbr.com,Science and Education > Universities and Colleges,16,00:02:59,2.69,54.12%
21,asu.edu,Science and Education > Universities and Colleges,4,00:07:31,7.42,31.05%
22,byu.edu,Science and Education > Universities and Colleges,2,00:05:55,7.29,30.19%
23,anhanguera.com,Science and Education > Universities and Colleges,=,00:06:58,7.93,23.5%
24,ucla.edu,Science and Education > Universities and Colleges,2,00:07:04,7.17,32.24%
25,gptzero.me,Science and Education > Universities and Colleges,19,00:04:59,4.40,21.09%
26,illinois.edu,Science and Education > Universities and Colleges,30,00:06:27,6.08,34.81%
27,colorado.edu,Science and Education > Universities and Colleges,5,00:04:49,4.98,39.19%
28,ucsd.edu,Science and Education > Universities and Colleges,3,00:07:42,7.10,31.21%
29,nyu.edu,Science and Education > Universities and Colleges,5,00:06:01,6.36,35.35%
30,ucdavis.edu,Science and Education > Universities and Colleges,1,00:07:01,6.90,32.71%
31,fgv.br,Science and Education > Universities and Colleges,15,00:05:12,5.24,35.82%
32,tamu.edu,Science and Education > Universities and Colleges,15,00:07:52,6.72,30.15%
33,ufl.edu,Science and Education > Universities and Colleges,2,00:03:50,4.68,33.92%
34,upenn.edu,Science and Education > Universities and Colleges,4,00:05:07,5.34,41.17%
35,utexas.edu,Science and Education > Universities and Colleges,3,00:04:22,5.26,34.7%
36,panopto.com,Science and Education > Universities and Colleges,28,00:03:30,2.65,48.62%
37,umn.edu,Science and Education > Universities and Colleges,9,00:05:57,5.48,41.08%
38,unisa.ac.za,Science and Education > Universities and Colleges,7,00:07:30,10.74,16.68%
39,mcgill.ca,Science and Education > Universities and Colleges,4,00:07:17,7.48,28.37%
40,wgu.edu,Science and Education > Universities and Colleges,1,00:06:03,7.67,27.89%
41,unsw.edu.au,Science and Education > Universities and Colleges,67,00:08:27,8.60,27.59%
42,wisc.edu,Science and Education > Universities and Colleges,12,00:07:00,6.37,37.11%
43,ox.ac.uk,Science and Education > Universities and Colleges,3,00:07:43,5.01,42.46%
44,uw.edu,Science and Education > Universities and Colleges,3,00:08:36,10.94,29.35%
45,anthropic.com,Science and Education > Universities and Colleges,14,00:03:01,3.05,52.13%
46,rutgers.edu,Science and Education > Universities and Colleges,4,00:03:55,5.19,31.42%
47,uwaterloo.ca,Science and Education > Universities and Colleges,5,00:08:22,7.88,24.17%
48,libgen.li,Science and Education > Universities and Colleges,21,00:04:09,8.34,24.24%
49,uba.ar,Science and Education > Universities and Colleges,115,00:04:39,7.27,36.58%
50,desire2learn.com,Science and Education > Universities and Colleges,25,00:08:23,7.53,18.47%
