Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,weather.com,Science and Education > Weather,=,00:00:47,1.79,48.84%
2,accuweather.com,Science and Education > Weather,=,00:01:14,2.37,49.37%
3,gismeteo.ru,Science and Education > Weather,=,00:02:22,2.62,42.13%
4,weather.yahoo.co.jp,Science and Education > Weather,=,00:02:21,2.34,58.26%
5,weather.gov,Science and Education > Weather,=,00:02:52,2.77,49.41%
6,wunderground.com,Science and Education > Weather,=,00:03:07,2.77,41.96%
7,3bmeteo.com,Science and Education > Weather,1,00:01:43,2.62,39.31%
8,ilmeteo.it,Science and Education > Weather,1,00:00:48,3.04,32.59%
9,wetter.com,Science and Education > Weather,2,00:01:44,2.15,45.57%
10,sinoptik.ua,Science and Education > Weather,2,00:01:10,1.69,64.63%
11,theweathernetwork.com,Science and Education > Weather,6,00:01:56,2.30,44.62%
12,weathercn.com,Science and Education > Weather,2,00:00:18,1.64,68.21%
13,eltiempo.es,Science and Education > Weather,2,00:01:12,2.00,56.63%
14,wetteronline.de,Science and Education > Weather,3,00:02:26,2.82,54.5%
15,windy.com,Science and Education > Weather,1,00:03:16,15.86,17.82%
16,bom.gov.au,Science and Education > Weather,3,00:09:58,4.53,46.48%
17,metoffice.gov.uk,Science and Education > Weather,7,00:02:12,3.40,27.07%
18,weather.metoffice.gov.uk,Science and Education > Weather,=,00:02:55,3.39,28.41%
19,havadurumu15gunluk.xyz,Science and Education > Weather,7,00:00:17,1.68,60.79%
20,rp5.ru,Science and Education > Weather,1,00:01:29,1.59,74.59%
21,meteoblue.com,Science and Education > Weather,3,00:01:48,2.72,45.76%
22,weather.gc.ca,Science and Education > Weather,=,00:02:17,2.40,57.29%
23,meteociel.fr,Science and Education > Weather,3,00:03:18,3.44,33.02%
24,meteored.com.ar,Science and Education > Weather,4,00:01:11,2.15,53.18%
25,weather.naver.com,Science and Education > Weather,2,00:02:34,1.34,76.1%
26,meteomedia.com,Science and Education > Weather,4,00:01:52,2.26,45%
27,noaa.gov,Science and Education > Weather,3,00:04:02,3.56,55.27%
28,buienradar.nl,Science and Education > Weather,7,00:01:44,2.25,47.4%
29,idokep.hu,Science and Education > Weather,4,00:01:33,2.84,42.91%
30,gismeteo.by,Science and Education > Weather,1,00:02:13,2.37,45.99%
31,windguru.cz,Science and Education > Weather,2,00:01:21,1.93,65.68%
32,foreca.fi,Science and Education > Weather,5,00:01:36,2.28,42.95%
33,meteo.gr,Science and Education > Weather,2,00:01:39,1.77,71.15%
34,ipma.pt,Science and Education > Weather,2,00:01:23,2.16,43.14%
35,tameteo.com,Science and Education > Weather,1,00:00:53,1.86,51.82%
36,weather.com.cn,Science and Education > Weather,=,00:01:33,2.42,48.37%
37,weeronline.nl,Science and Education > Weather,2,00:01:35,2.10,53.55%
38,ventusky.com,Science and Education > Weather,2,00:02:18,12.47,24.3%
39,ilmatieteenlaitos.fi,Science and Education > Weather,6,00:01:36,2.16,54.4%
40,tiempo.com,Science and Education > Weather,2,00:01:04,2.01,47.8%
41,freemeteo.gr,Science and Education > Weather,11,00:01:24,2.57,38.51%
42,metservice.com,Science and Education > Weather,1,00:01:42,2.36,45.59%
43,wetter.de,Science and Education > Weather,=,00:01:11,1.79,48.96%
44,shmu.sk,Science and Education > Weather,2,00:02:16,2.92,34.11%
45,sinoptik.bg,Science and Education > Weather,5,00:01:16,2.71,30.84%
46,weatherbug.com,Science and Education > Weather,9,00:01:45,3.34,43.75%
47,weatherzone.com.au,Science and Education > Weather,2,00:19:06,3.44,55.4%
48,snow-forecast.com,Science and Education > Weather,1,00:01:21,2.26,58.23%
49,meteo.be,Science and Education > Weather,2,00:01:34,1.88,56.64%
50,weerplaza.nl,Science and Education > Weather,2,00:01:43,1.89,57.04%
