Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,nfl.com,Sports > American Football,=,00:02:22,2.41,48.93%
2,rugbyrama.fr,Sports > American Football,1,00:02:42,2.48,36.57%
3,atozsports.com,Sports > American Football,1,00:00:59,1.50,70.18%
4,newsnationnow.com,Sports > American Football,1,00:01:38,1.76,66.11%
5,pro-football-reference.com,Sports > American Football,3,00:03:55,5.04,51.46%
6,afl.com.au,Sports > American Football,15,00:03:47,3.53,41.95%
7,nrl.com,Sports > American Football,41,00:03:35,3.48,43.17%
8,philadelphiaeagles.com,Sports > American Football,6,00:02:00,3.13,60.18%
9,profootballnetwork.com,Sports > American Football,1,00:01:48,1.91,54.28%
10,dofustream.cloud,Sports > American Football,=,00:07:53,4.12,44.5%
11,globle-game.com,Sports > American Football,1,00:02:17,2.47,46%
12,elevenwarriors.com,Sports > American Football,6,00:07:42,3.47,36.34%
13,bleedinggreennation.com,Sports > American Football,=,00:03:20,2.43,47.69%
14,steelersdepot.com,Sports > American Football,3,00:03:17,1.93,51.94%
15,footballscoop.com,Sports > American Football,17,00:05:01,3.23,33.27%
16,identity.gov.au,Sports > American Football,6,00:03:32,5.56,18.06%
17,football.com,Sports > American Football,14,00:14:15,19.27,40.23%
18,profootballrumors.com,Sports > American Football,8,00:03:46,2.12,58.65%
19,sportsmockery.com,Sports > American Football,4,00:01:38,1.98,50.29%
20,prideofdetroit.com,Sports > American Football,10,00:03:12,1.84,51.46%
21,texags.com,Sports > American Football,3,00:10:21,10.06,29.72%
22,cougarboard.com,Sports > American Football,7,00:12:21,16.28,18.87%
23,arrowheadpride.com,Sports > American Football,5,00:02:46,1.98,54.71%
24,shawlocal.com,Sports > American Football,27,00:02:28,1.89,55.77%
25,bigfooty.com,Sports > American Football,11,00:13:05,10.22,22.6%
26,fieldgulls.com,Sports > American Football,3,00:04:37,2.37,43.02%
27,league-one.jp,Sports > American Football,25,00:05:12,4.08,38.05%
28,theplayoffs.news,Sports > American Football,37,00:01:09,1.48,68.31%
29,nfltraderumors.co,Sports > American Football,9,00:02:55,1.94,53.87%
30,nbcsportsphiladelphia.com,Sports > American Football,3,00:01:46,1.72,51.58%
31,mut.gg,Sports > American Football,14,00:05:29,7.97,35.94%
32,bloggingtheboys.com,Sports > American Football,15,00:03:41,2.17,51.56%
33,chiefs.com,Sports > American Football,8,00:01:10,2.15,58.33%
34,sspx.tech,Sports > American Football,100,00:35:07,4.65,32.67%
35,49erswebzone.com,Sports > American Football,8,00:02:20,2.18,49.69%
36,ninersnation.com,Sports > American Football,1,00:02:36,2.21,49.01%
37,sen.com.au,Sports > American Football,55,00:02:04,2.55,56.34%
38,extensions-hub.com,Sports > American Football,133,00:00:03,1.06,94.91%
39,tigernet.com,Sports > American Football,5,00:08:35,10.34,25.89%
40,nfldraftbuzz.com,Sports > American Football,6,00:05:49,6.14,40.15%
41,nflmockdraftdatabase.com,Sports > American Football,1,00:04:30,3.63,52.19%
42,fbschedules.com,Sports > American Football,26,00:01:48,2.34,52.68%
43,dallascowboys.com,Sports > American Football,15,00:01:59,1.98,55.79%
44,nfljapan.com,Sports > American Football,14,00:02:42,2.61,40.7%
45,searchthatweb.com,Sports > American Football,35,00:00:46,1.14,88.11%
46,overthecap.com,Sports > American Football,23,00:03:12,3.31,50.59%
47,bigblueview.com,Sports > American Football,3,00:03:32,2.53,43.19%
48,empiresportsmedia.com,Sports > American Football,7,00:01:15,1.57,61.28%
49,onrugby.it,Sports > American Football,99,00:02:39,2.09,61.21%
50,tarheeltimes.com,Sports > American Football,9,00:02:55,2.55,38.42%
