Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,hochi.news,Sports > Baseball,=,00:00:52,1.74,69.33%
2,mlb.com,Sports > Baseball,=,00:05:40,3.18,43.99%
3,mlbtraderumors.com,Sports > Baseball,=,00:04:25,2.40,56.18%
4,nanjpride.blog.jp,Sports > Baseball,=,00:03:03,2.39,50.34%
5,baseball-reference.com,Sports > Baseball,=,00:04:40,4.09,51.38%
6,betman.co.kr,Sports > Baseball,1,00:08:24,8.04,16.75%
7,lions-matome.com,Sports > Baseball,1,00:05:35,3.06,33.59%
8,livejupiter2.blog.jp,Sports > Baseball,2,00:02:39,2.13,47.21%
9,hanshintigers.jp,Sports > Baseball,12,00:04:04,4.56,30.17%
10,npb.jp,Sports > Baseball,1,00:01:23,2.93,45.33%
11,fangraphs.com,Sports > Baseball,1,00:05:20,5.23,40.91%
12,immaculategrid.com,Sports > Baseball,2,00:05:29,3.99,47.27%
13,baseball-mag.net,Sports > Baseball,2,00:04:28,2.42,44.4%
14,bleachernation.com,Sports > Baseball,1,00:02:18,2.07,59.41%
15,orical.jp,Sports > Baseball,7,00:01:30,2.26,83.49%
16,mlbshop.com,Sports > Baseball,2,00:02:58,4.63,45.72%
17,milb.com,Sports > Baseball,=,00:02:40,2.62,52.17%
18,yakult-swallows.co.jp,Sports > Baseball,21,00:03:38,3.84,44.36%
19,pilio.idv.tw,Sports > Baseball,3,00:02:11,2.55,47.55%
20,sports.ettoday.net,Sports > Baseball,4,00:01:39,1.84,63.21%
21,giants.jp,Sports > Baseball,4,00:04:10,4.07,38.26%
22,fighters.co.jp,Sports > Baseball,3,00:03:33,3.99,41.15%
23,baystars.co.jp,Sports > Baseball,=,00:04:40,5.54,42.04%
24,topps.com,Sports > Baseball,9,00:02:22,3.46,45.44%
25,softbankhawks.co.jp,Sports > Baseball,1,00:04:48,5.91,43.67%
26,perfectgame.org,Sports > Baseball,2,00:03:41,4.46,55.26%
27,sportsv.net,Sports > Baseball,4,00:03:23,3.04,38.44%
28,bluejaysinsider.com,Sports > Baseball,8,00:01:24,1.71,65.28%
29,fighters-kingdom.blog.jp,Sports > Baseball,=,00:01:53,2.38,31.01%
30,tsubamesoku.blog.jp,Sports > Baseball,3,00:03:08,1.56,64.88%
31,koshien-qr.com,Sports > Baseball,210,00:10:40,16.36,32.06%
32,amazinavenue.com,Sports > Baseball,=,00:07:04,2.85,33.06%
33,nanjde.blog.jp,Sports > Baseball,2,00:02:18,2.11,41.3%
34,sny.tv,Sports > Baseball,2,00:01:51,1.88,64.23%
35,baseballchannel.jp,Sports > Baseball,13,00:01:19,3.15,55.38%
36,buffaloes.co.jp,Sports > Baseball,7,00:02:49,3.41,36.09%
37,marines.co.jp,Sports > Baseball,12,00:03:20,4.15,35.41%
38,albat.com,Sports > Baseball,5,00:01:03,1.47,59.4%
39,dodgersnation.com,Sports > Baseball,9,00:01:16,1.99,67.03%
40,dragons.jp,Sports > Baseball,29,00:02:44,3.90,38.31%
41,seibulions.jp,Sports > Baseball,13,00:04:10,4.08,40.26%
42,d1baseball.com,Sports > Baseball,160,00:07:37,3.72,49.35%
43,doshinsports.com,Sports > Baseball,1,00:02:03,1.70,41.32%
44,yanksgoyard.com,Sports > Baseball,7,00:00:48,1.68,44.61%
45,rakuteneagles.jp,Sports > Baseball,=,00:02:54,4.24,34.51%
46,baseballamerica.com,Sports > Baseball,6,00:01:37,2.53,64.56%
47,carp.co.jp,Sports > Baseball,28,00:04:16,6.18,37.76%
48,gc.com,Sports > Baseball,18,00:03:43,7.13,44.84%
49,spocale.com,Sports > Baseball,2,00:00:57,1.52,68.7%
50,batterypower.com,Sports > Baseball,2,00:04:39,2.91,34.86%
