Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,nba.com,Sports > Basketball,=,00:02:53,3.04,39.58%
2,basketball-reference.com,Sports > Basketball,=,00:03:53,4.23,47.42%
3,hoopshype.com,Sports > Basketball,2,00:01:41,1.83,60.59%
4,titan007.com,Sports > Basketball,1,00:18:40,13.63,25.74%
5,basketusa.com,Sports > Basketball,1,00:03:06,2.84,33.76%
6,pirlotvonline.pl,Sports > Basketball,2,00:05:11,3.84,47.18%
7,basketballnetwork.net,Sports > Basketball,3,00:01:02,1.45,63.49%
8,yoozhibo.net,Sports > Basketball,1,00:05:15,3.63,31.69%
9,espn.com.au,Sports > Basketball,=,00:06:12,3.32,43.63%
10,offergate-ecommerce-update6.com,Sports > Basketball,90,00:00:50,1.14,88.58%
11,krepsinis.net,Sports > Basketball,3,00:04:50,2.83,30.18%
12,espn.ph,Sports > Basketball,3,00:06:03,6.61,37.15%
13,1stream.eu,Sports > Basketball,3,00:05:22,3.13,48.95%
14,acb.com,Sports > Basketball,4,00:03:14,4.90,19.99%
15,sportando.basketball,Sports > Basketball,1,00:03:49,2.84,32.42%
16,euroleaguebasketball.net,Sports > Basketball,5,00:01:48,3.55,21.79%
17,nbaanalysis.net,Sports > Basketball,18,00:00:55,1.43,67.44%
18,basketnews.lt,Sports > Basketball,4,00:03:49,2.57,40.72%
19,trashtalk.co,Sports > Basketball,6,00:01:49,2.64,53.03%
20,hoopsrumors.com,Sports > Basketball,12,00:02:16,2.23,60.71%
21,tankathon.com,Sports > Basketball,8,00:01:52,2.75,53.67%
22,playhq.com,Sports > Basketball,20,00:04:20,8.01,37.5%
23,sportsurge.to,Sports > Basketball,6,00:02:47,2.95,22.87%
24,nbcsportsbayarea.com,Sports > Basketball,9,00:00:53,1.44,51.66%
25,eurohoops.net,Sports > Basketball,6,00:01:22,3.20,29.58%
26,nbabite.com,Sports > Basketball,3,00:03:09,2.80,23.46%
27,bleague.jp,Sports > Basketball,7,00:04:42,3.20,47.07%
28,epe.es,Sports > Basketball,7,00:01:01,1.49,71.61%
29,parlons-basket.com,Sports > Basketball,17,00:00:41,1.88,25.87%
30,mirror1.live,Sports > Basketball,=,00:06:56,4.98,41%
31,fbref.com,Sports > Basketball,5,00:02:36,3.92,40.59%
32,bvmsports.com,Sports > Basketball,4,00:00:46,1.75,62.39%
33,basketfaul.com.tr,Sports > Basketball,9,00:02:25,1.99,43.64%
34,sports.sina.cn,Sports > Basketball,7,00:04:03,4.24,44.33%
35,gigantes.com,Sports > Basketball,6,00:00:16,1.54,18.88%
36,encestando.es,Sports > Basketball,6,00:01:59,2.08,27.8%
37,lakersnation.com,Sports > Basketball,55,00:01:03,1.54,67.85%
38,pianetabasket.com,Sports > Basketball,9,00:02:18,2.32,47.17%
39,silverscreenandroll.com,Sports > Basketball,32,00:02:07,2.11,54.06%
40,88kanqiu.me,Sports > Basketball,2,00:03:52,3.32,29.09%
41,rnbastreams.com,Sports > Basketball,12,00:03:32,2.95,20.65%
42,basketballking.jp,Sports > Basketball,2,00:01:06,1.58,64.63%
43,probasket.pl,Sports > Basketball,23,00:01:10,2.04,19.41%
44,basketball-video.com,Sports > Basketball,13,00:04:15,3.17,33.22%
45,nbamaniacs.com,Sports > Basketball,13,00:02:18,2.49,43%
46,lakersbrasil.com,Sports > Basketball,55,00:00:13,1.27,31.24%
47,thesmokingcuban.com,Sports > Basketball,34,00:00:53,1.50,41.95%
48,buffstream.io,Sports > Basketball,14,00:03:35,4.19,46.18%
49,basketnews.com,Sports > Basketball,10,00:02:10,2.94,50.41%
50,pickandroll.gr,Sports > Basketball,6,00:01:45,1.59,30.73%
