Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,boxrec.com,Sports > Boxing,=,00:03:07,4.95,37.7%
2,secondsout.com,Sports > Boxing,=,00:00:45,1.40,73.99%
3,boxingscene.com,Sports > Boxing,1,00:01:57,1.99,58.68%
4,boxingnews24.com,Sports > Boxing,1,00:01:38,1.87,55.97%
5,allboxing.ru,Sports > Boxing,2,00:01:50,2.29,40.19%
6,vringe.com,Sports > Boxing,=,00:02:22,2.66,41.27%
7,sportsurge.best,Sports > Boxing,=,00:02:13,1.51,77.02%
8,box.live,Sports > Boxing,=,00:01:15,2.04,53.17%
9,ringmagazine.com,Sports > Boxing,=,00:01:37,1.75,59.07%
10,box-core.net,Sports > Boxing,2,00:09:45,4.69,37.68%
11,badlefthook.com,Sports > Boxing,=,00:02:06,2.22,54.54%
12,bokser.org,Sports > Boxing,2,00:02:39,2.63,37.97%
13,fullfightreplays.com,Sports > Boxing,1,00:01:42,2.46,42.68%
14,mmastreams.me,Sports > Boxing,5,00:04:51,6.15,26.66%
15,boxmob.jp,Sports > Boxing,3,00:01:26,3.85,66.64%
16,boxing247.com,Sports > Boxing,1,00:00:47,1.63,50.03%
17,ringpolska.pl,Sports > Boxing,4,00:01:06,2.28,24.68%
18,boxingforum24.com,Sports > Boxing,5,00:04:49,5.23,42.73%
19,kbid.co.kr,Sports > Boxing,7,00:14:24,9.82,14.88%
20,boxraw.com,Sports > Boxing,1,00:02:08,3.44,37.66%
21,premierboxingchampions.com,Sports > Boxing,15,00:00:36,1.52,58.51%
22,titleboxing.com,Sports > Boxing,=,00:02:08,4.05,42.73%
23,fightnews.com,Sports > Boxing,1,00:01:19,3.13,34.29%
24,boxen1.com,Sports > Boxing,11,00:00:45,1.40,79.29%
25,boxingnewsonline.net,Sports > Boxing,8,00:00:45,1.67,58.02%
26,izquierdazo.com,Sports > Boxing,2,00:00:57,1.46,71.01%
27,boxing-master.com,Sports > Boxing,2,00:01:17,1.82,63.17%
28,boxing.jp,Sports > Boxing,5,00:03:43,1.85,54.04%
29,boxingstream.me,Sports > Boxing,12,00:03:25,7.46,31.43%
30,hayabusafight.com,Sports > Boxing,5,00:01:08,3.39,40.33%
31,ringside24.com,Sports > Boxing,1,00:01:38,2.13,41.98%
32,othboxing.com,Sports > Boxing,=,00:08:05,6.71,27.85%
33,boxingnews.jp,Sports > Boxing,1,00:01:06,2.22,61.49%
34,champinon.info,Sports > Boxing,8,00:00:28,3.24,40.03%
35,leone1947.com,Sports > Boxing,14,00:01:56,4.63,37.62%
36,wbaboxing.com,Sports > Boxing,3,00:01:00,3.52,42.01%
37,fightmag.com,Sports > Boxing,6,00:00:37,1.53,45.59%
38,bigfightweekend.com,Sports > Boxing,12,00:00:37,1.51,52.39%
39,rdxsports.com,Sports > Boxing,8,00:00:42,1.97,45.25%
40,wbcboxing.com,Sports > Boxing,4,00:00:35,2.00,43.26%
41,fightnews.info,Sports > Boxing,2,00:01:16,2.12,43.03%
42,soloboxeo.com,Sports > Boxing,3,00:01:06,1.82,58.75%
43,made4fighters.com,Sports > Boxing,5,00:00:41,2.35,47.36%
44,worldboxingnews.net,Sports > Boxing,6,00:00:23,1.69,51.06%
45,titleboxingclub.com,Sports > Boxing,6,00:00:52,1.79,62.08%
46,profiboksz.hu,Sports > Boxing,7,00:01:33,1.44,75.76%
47,versusbox.ru,Sports > Boxing,574,00:03:51,1.17,84.86%
48,karate.ru,Sports > Boxing,8,00:00:49,1.60,47.87%
49,keviniole.com,Sports > Boxing,21,00:02:58,2.07,40.17%
50,ppv.com,Sports > Boxing,4,00:00:52,2.14,45.53%
