Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,ukclimbing.com,Sports > Climbing,=,00:05:38,6.01,37.41%
2,gazzettadimodena.it,Sports > Climbing,2,00:01:18,1.52,68.85%
3,mountainproject.com,Sports > Climbing,1,00:03:44,8.46,43.21%
4,loto.lt,Sports > Climbing,1,00:04:44,5.10,24.06%
5,mountain-forecast.com,Sports > Climbing,=,00:01:24,2.05,54.76%
6,rockgympro.com,Sports > Climbing,1,00:03:04,3.38,43.23%
7,skitour.fr,Sports > Climbing,2,00:02:45,4.35,30.76%
8,camptocamp.org,Sports > Climbing,2,00:04:04,5.85,38.37%
9,thecrag.com,Sports > Climbing,1,00:03:25,8.62,35.8%
10,climbing.com,Sports > Climbing,2,00:01:19,1.88,51.05%
11,explorersweb.com,Sports > Climbing,=,00:01:08,1.55,59.84%
12,spotwx.com,Sports > Climbing,2,00:02:24,3.50,18.67%
13,asiago.it,Sports > Climbing,5,00:02:23,3.04,44.71%
14,grinnellplans.com,Sports > Climbing,8,00:13:09,13.71,5.91%
15,goodtrekking.it,Sports > Climbing,10,00:00:06,1.16,20.61%
16,petzl.com,Sports > Climbing,=,00:02:03,3.92,41.85%
17,gripped.com,Sports > Climbing,5,00:01:31,1.85,51.83%
18,sherpa-gate.com,Sports > Climbing,5,00:05:12,3.34,17.37%
19,sac-cas.ch,Sports > Climbing,4,00:02:52,3.98,43.14%
20,8a.nu,Sports > Climbing,3,00:03:20,3.97,43.48%
21,livemomentous.com,Sports > Climbing,8,00:02:04,2.87,43.13%
22,ortovox.com,Sports > Climbing,1,00:02:29,3.95,36.43%
23,lacrux.com,Sports > Climbing,4,00:01:55,1.87,40.83%
24,movementgyms.com,Sports > Climbing,4,00:01:41,2.64,57.61%
25,desnivel.com,Sports > Climbing,2,00:00:43,1.75,37.07%
26,alpin.de,Sports > Climbing,7,00:00:56,1.72,48.61%
27,skitourenguru.ch,Sports > Climbing,3,00:05:47,5.03,48.12%
28,outdoorprolink.com,Sports > Climbing,7,00:04:28,7.10,32.51%
29,summitpost.org,Sports > Climbing,3,00:01:42,3.27,48.44%
30,montagna.tv,Sports > Climbing,4,00:00:47,1.42,70.84%
31,hikr.org,Sports > Climbing,3,00:01:58,7.66,47.13%
32,gipfelbuch.ch,Sports > Climbing,8,00:03:01,4.30,38.1%
33,bergsteigen.com,Sports > Climbing,1,00:02:07,2.40,50.11%
34,whiterisk.ch,Sports > Climbing,4,00:02:37,4.43,26.06%
35,boulderingproject.com,Sports > Climbing,5,00:02:51,2.84,35.15%
36,rungne.com,Sports > Climbing,3,00:01:07,3.85,33.88%
37,vertical-life.info,Sports > Climbing,46,00:01:34,2.69,51.89%
38,avalanche.ca,Sports > Climbing,1,00:02:28,3.74,35.84%
39,ukbouldering.com,Sports > Climbing,29,00:08:50,6.08,22.53%
40,planetgrimpe.com,Sports > Climbing,39,00:01:09,1.74,35.13%
41,approach.app,Sports > Climbing,2,00:04:18,6.48,34.86%
42,planetmountain.com,Sports > Climbing,11,00:01:41,3.68,58.65%
43,ukhillwalking.com,Sports > Climbing,6,00:01:50,2.66,50.14%
44,touchstoneclimbing.com,Sports > Climbing,2,00:02:03,3.86,35.07%
45,ffcam.fr,Sports > Climbing,9,00:03:16,2.92,43.73%
46,peakvisor.com,Sports > Climbing,5,00:00:57,4.40,51.59%
47,nwac.us,Sports > Climbing,7,00:02:29,2.67,42.69%
48,grimper.com,Sports > Climbing,14,00:01:27,1.76,47.34%
49,27crags.com,Sports > Climbing,3,00:02:06,4.37,43.31%
50,bananafingers.co.uk,Sports > Climbing,5,00:02:36,4.58,37.34%
