Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,procyclingstats.com,Sports > Cycling and Biking,1,00:07:50,10.63,27.36%
2,komoot.com,Sports > Cycling and Biking,1,00:04:47,17.83,35.13%
3,wielerflits.nl,Sports > Cycling and Biking,=,00:03:59,3.63,27.64%
4,pinkbike.com,Sports > Cycling and Biking,=,00:03:38,3.77,41.19%
5,canyon.com,Sports > Cycling and Biking,1,00:04:03,5.42,30.18%
6,adnx.de,Sports > Cycling and Biking,1,00:02:09,1.31,78.61%
7,trekbikes.com,Sports > Cycling and Biking,=,00:03:23,4.15,40.3%
8,cyclingnews.com,Sports > Cycling and Biking,2,00:02:17,2.19,53.43%
9,specialized.com,Sports > Cycling and Biking,1,00:03:31,5.27,28.91%
10,road.cc,Sports > Cycling and Biking,1,00:01:41,2.00,45.2%
11,bikeradar.com,Sports > Cycling and Biking,=,00:01:18,1.55,54.92%
12,cyclingweekly.com,Sports > Cycling and Biking,=,00:01:09,1.74,49.57%
13,indeleiderstrui.nl,Sports > Cycling and Biking,=,00:02:18,2.09,33.2%
14,buycycle.com,Sports > Cycling and Biking,2,00:05:02,7.28,37.27%
15,mtb-news.de,Sports > Cycling and Biking,=,00:04:15,4.70,42.09%
16,cyclinguptodate.com,Sports > Cycling and Biking,1,00:02:26,1.95,53.34%
17,ysroad.co.jp,Sports > Cycling and Biking,3,00:03:12,2.97,53.69%
18,feltet.dk,Sports > Cycling and Biking,21,00:03:27,3.68,28.5%
19,giant-bicycles.com,Sports > Cycling and Biking,1,00:03:27,4.96,38.32%
20,directvelo.com,Sports > Cycling and Biking,18,00:03:23,2.60,40.02%
21,cyclismactu.net,Sports > Cycling and Biking,5,00:02:38,1.86,35.77%
22,wielerkrant.be,Sports > Cycling and Biking,2,00:00:39,1.74,53.88%
23,99bikes.com.au,Sports > Cycling and Biking,4,00:03:46,5.03,44.03%
24,ridewithgps.com,Sports > Cycling and Biking,1,00:04:37,4.80,42.04%
25,bikepacking.com,Sports > Cycling and Biking,2,00:02:57,2.73,52.16%
26,cube.eu,Sports > Cycling and Biking,4,00:03:32,4.61,35.73%
27,mtbr.com,Sports > Cycling and Biking,6,00:02:09,2.16,56.32%
28,rennrad-news.de,Sports > Cycling and Biking,4,00:05:08,3.52,51.07%
29,bikeforums.net,Sports > Cycling and Biking,7,00:02:04,2.93,61.07%
30,radsport-news.com,Sports > Cycling and Biking,10,00:03:33,2.64,44.01%
31,baseballholics.net,Sports > Cycling and Biking,20,00:00:57,2.73,59.25%
32,tuttobiciweb.it,Sports > Cycling and Biking,3,00:02:43,1.95,56.95%
33,bicycling.com,Sports > Cycling and Biking,6,00:01:06,1.58,63.23%
34,lectricebikes.com,Sports > Cycling and Biking,=,00:02:14,2.75,45.5%
35,scott-sports.com,Sports > Cycling and Biking,2,00:03:34,5.49,36.26%
36,mtbiker.sk,Sports > Cycling and Biking,1,00:09:54,10.60,31.59%
37,cyclowired.jp,Sports > Cycling and Biking,=,00:01:56,1.90,51.1%
38,trailforks.com,Sports > Cycling and Biking,10,00:02:54,15.23,34.43%
39,singletrackworld.com,Sports > Cycling and Biking,8,00:02:00,2.61,53.16%
40,wielernieuws.be,Sports > Cycling and Biking,12,00:01:17,1.55,65.38%
41,jensonusa.com,Sports > Cycling and Biking,5,00:02:47,4.62,45.99%
42,cannondale.com,Sports > Cycling and Biking,2,00:02:28,3.40,36.59%
43,wielerrevue.nl,Sports > Cycling and Biking,20,00:01:44,2.25,36.84%
44,bikerumor.com,Sports > Cycling and Biking,1,00:01:07,1.50,62.42%
45,idlprocycling.com,Sports > Cycling and Biking,4,00:02:02,1.86,50.7%
46,funq.jp,Sports > Cycling and Biking,1,00:01:16,1.65,74.89%
47,corearoadbike.com,Sports > Cycling and Biking,3,00:06:15,10.13,38.71%
48,segway.com,Sports > Cycling and Biking,7,00:01:41,3.07,44.08%
49,relive.cc,Sports > Cycling and Biking,7,00:00:46,1.76,52.56%
50,esciclismo.com,Sports > Cycling and Biking,77,00:01:07,1.96,71.03%
