Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,redbull.com,Sports > Extreme Sports,=,00:01:42,2.15,56.88%
2,ufanews.com,Sports > Extreme Sports,=,00:01:24,1.68,76.06%
3,techexpertsguide.com,Sports > Extreme Sports,=,00:02:10,1.99,49.64%
4,spard.dk,Sports > Extreme Sports,1,00:05:28,7.83,19.11%
5,warball.ru,Sports > Extreme Sports,2,00:00:44,1.96,70.8%
6,xcontest.org,Sports > Extreme Sports,3,00:02:33,4.86,40.5%
7,220triathlon.com,Sports > Extreme Sports,1,00:01:02,1.94,57.07%
8,redbullshopus.com,Sports > Extreme Sports,4,00:01:16,2.48,50.3%
9,fms.tv,Sports > Extreme Sports,1,00:01:50,2.18,46.3%
10,holfuy.com,Sports > Extreme Sports,3,00:01:12,2.47,58.75%
11,outside.fr,Sports > Extreme Sports,1,00:00:28,1.46,30.51%
12,paraglidingforum.com,Sports > Extreme Sports,2,00:03:24,5.30,37.28%
13,win.gs,Sports > Extreme Sports,3,00:00:16,1.13,78.85%
14,ifsc-climbing.org,Sports > Extreme Sports,3,00:01:15,2.61,47.94%
15,burnair.cloud,Sports > Extreme Sports,11,00:05:35,32.51,17.7%
16,civlcomps.org,Sports > Extreme Sports,54,00:05:51,2.75,39.35%
17,redbull.sharepoint.com,Sports > Extreme Sports,1,00:04:02,3.56,23.57%
18,iflyworld.co.uk,Sports > Extreme Sports,6,00:03:57,3.77,38.14%
19,atlantamotorspeedway.com,Sports > Extreme Sports,50,00:01:39,2.39,48.05%
20,fai.org,Sports > Extreme Sports,=,00:02:23,2.95,40.74%
21,burblesoft.com,Sports > Extreme Sports,8,00:01:43,3.06,42.48%
22,flybubble.com,Sports > Extreme Sports,15,00:01:15,2.39,45.25%
23,kairn.com,Sports > Extreme Sports,5,00:00:13,1.23,74%
24,shokz.com.au,Sports > Extreme Sports,3,00:02:25,3.38,41.98%
25,xcmag.com,Sports > Extreme Sports,6,00:01:01,2.01,44.36%
26,flyspot.com,Sports > Extreme Sports,9,00:01:38,3.54,54.55%
27,skydivedubai.ae,Sports > Extreme Sports,12,00:00:51,3.37,27.25%
28,adrenalinicsilence.kz,Sports > Extreme Sports,119,00:01:46,1.17,77.61%
29,meteo-parapente.com,Sports > Extreme Sports,7,00:02:08,5.17,35.09%
30,flyozone.com,Sports > Extreme Sports,3,00:01:43,5.43,37.4%
31,xcskies.com,Sports > Extreme Sports,80,00:04:12,3.83,26.23%
32,4camping.com.ua,Sports > Extreme Sports,3,00:05:26,3.70,39.22%
33,alphatauri.com,Sports > Extreme Sports,1,00:00:39,2.53,40.78%
34,ffvl.fr,Sports > Extreme Sports,10,00:02:02,5.87,31.11%
35,mpora.com,Sports > Extreme Sports,6,00:00:29,1.75,50.3%
36,f1aldia.com,Sports > Extreme Sports,11,00:01:26,1.82,49.92%
37,xcglobe.com,Sports > Extreme Sports,11,00:09:02,6.86,32.27%
38,mcla.us,Sports > Extreme Sports,13,00:02:52,6.56,42.51%
39,lu-glidz.blogspot.com,Sports > Extreme Sports,8,00:00:52,1.75,48.25%
40,bilet.bg,Sports > Extreme Sports,2,00:00:45,2.70,25.35%
41,territoriapoleta.ru,Sports > Extreme Sports,2,00:02:31,3.22,54.58%
42,airtribune.com,Sports > Extreme Sports,19,00:01:14,5.47,35.84%
43,redbull-my.sharepoint.com,Sports > Extreme Sports,4,00:03:42,3.07,43.48%
44,redbullcontentpool.com,Sports > Extreme Sports,11,00:04:57,6.55,34.8%
45,basecamp-shop.com,Sports > Extreme Sports,13,00:01:17,4.77,22.93%
46,morestuff.ru,Sports > Extreme Sports,384,00:00:09,1.05,97.97%
47,campingrocks.bg,Sports > Extreme Sports,9,00:13:34,13.69,28.83%
48,uspa.org,Sports > Extreme Sports,9,00:01:28,3.94,40.47%
49,360mag.bg,Sports > Extreme Sports,5,00:00:31,1.34,40.35%
50,skivitosha.com,Sports > Extreme Sports,14,00:01:26,2.37,40.09%
