Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,cricbuzz.com,Sports > Fantasy Sports,=,00:07:34,2.27,40.59%
2,fantacalcio.it,Sports > Fantasy Sports,=,00:04:45,2.67,65.4%
3,thesportstak.com,Sports > Fantasy Sports,3,00:01:22,1.39,67.17%
4,8ballpool.com,Sports > Fantasy Sports,3,00:01:34,2.32,51.02%
5,streameast.gd,Sports > Fantasy Sports,=,00:08:19,3.82,45.48%
6,realgm.com,Sports > Fantasy Sports,4,00:04:59,4.39,36.66%
7,toltogames.com,Sports > Fantasy Sports,4,00:05:27,4.59,13.97%
8,statmuse.com,Sports > Fantasy Sports,1,00:02:18,3.68,47.86%
9,rotowire.com,Sports > Fantasy Sports,1,00:03:59,3.46,47.02%
10,velkigames365.cc,Sports > Fantasy Sports,1,00:07:49,3.88,3.84%
11,multiversity.click,Sports > Fantasy Sports,1,00:17:00,12.18,27.66%
12,fancode.com,Sports > Fantasy Sports,1,00:02:08,3.73,26.22%
13,prizepicks.com,Sports > Fantasy Sports,1,00:09:12,9.70,28.74%
14,futbolfantasy.com,Sports > Fantasy Sports,2,00:04:59,4.47,29.02%
15,7xtream.com,Sports > Fantasy Sports,=,00:05:32,3.25,42.14%
16,pff.com,Sports > Fantasy Sports,1,00:03:40,3.44,48.57%
17,cricket.one,Sports > Fantasy Sports,1,00:01:34,1.54,60.93%
18,sosfanta.com,Sports > Fantasy Sports,6,00:05:08,3.65,37.65%
19,cricheroes.com,Sports > Fantasy Sports,4,00:06:18,5.76,43.87%
20,livefpl.net,Sports > Fantasy Sports,1,00:06:48,2.51,41.31%
21,crex.live,Sports > Fantasy Sports,6,00:08:20,7.25,31.91%
22,fantrax.com,Sports > Fantasy Sports,=,00:11:11,9.51,26.51%
23,actionnetwork.com,Sports > Fantasy Sports,3,00:02:04,2.23,52.55%
24,fantasypros.com,Sports > Fantasy Sports,7,00:02:49,2.77,53.94%
25,cricketaddictor.com,Sports > Fantasy Sports,6,00:00:47,2.14,25.96%
26,uniladtech.com,Sports > Fantasy Sports,13,00:01:14,1.64,61.78%
27,bookiemarket.com,Sports > Fantasy Sports,2,00:19:23,8.87,9.92%
28,hockey-reference.com,Sports > Fantasy Sports,2,00:03:54,5.25,43.01%
29,wplt20.com,Sports > Fantasy Sports,188,00:04:31,3.66,48.68%
30,fantamaster.it,Sports > Fantasy Sports,18,00:02:21,2.07,73.71%
31,supercoach.com.au,Sports > Fantasy Sports,13,00:10:51,6.74,30.31%
32,sombracycling.com,Sports > Fantasy Sports,28,00:06:52,5.10,34.05%
33,fantasyfootballscout.co.uk,Sports > Fantasy Sports,2,00:03:38,2.77,47.3%
34,underdogfantasy.com,Sports > Fantasy Sports,2,00:07:31,7.05,32.7%
35,comuniate.com,Sports > Fantasy Sports,10,00:05:09,3.14,55.04%
36,stathead.com,Sports > Fantasy Sports,3,00:01:27,3.16,57.13%
37,basketballmonster.com,Sports > Fantasy Sports,2,00:08:51,5.12,34.89%
38,bettingpros.com,Sports > Fantasy Sports,9,00:04:16,6.01,36.44%
39,khelnow.com,Sports > Fantasy Sports,5,00:01:19,1.66,61.03%
40,sleeper.com,Sports > Fantasy Sports,8,00:05:00,4.71,35.61%
41,cricxtasy.com,Sports > Fantasy Sports,20,00:01:37,1.19,43.98%
42,fantasyfootballhub.co.uk,Sports > Fantasy Sports,5,00:03:24,3.14,42.87%
43,fplgameweek.com,Sports > Fantasy Sports,5,00:06:42,3.38,43.37%
44,130point.com,Sports > Fantasy Sports,4,00:01:55,1.97,58.77%
45,analiticafantasy.com,Sports > Fantasy Sports,8,00:02:40,2.03,50.81%
46,reddybook.club,Sports > Fantasy Sports,3,00:32:16,21.63,20.97%
47,jefebet.com,Sports > Fantasy Sports,10,00:03:24,3.67,40.47%
48,hashtagbasketball.com,Sports > Fantasy Sports,1,00:01:29,1.77,63.79%
49,crichype.fun,Sports > Fantasy Sports,39,00:11:43,3.11,45.04%
50,myfantasyleague.com,Sports > Fantasy Sports,22,00:06:54,7.67,24.92%
